Date Time, Prediction, Type
2020-10-01 04:05,1.863,H
2020-10-01 10:01,0.578,L
2020-10-01 16:47,2.177,H
2020-10-01 22:50,0.759,L
2020-10-02 04:58,1.904,H
2020-10-02 10:36,0.765,L
2020-10-02 17:01,2.121,H
2020-10-02 23:17,0.587,L
2020-10-03 05:48,1.940,H
2020-10-03 11:10,0.965,L
2020-10-03 17:10,2.071,H
2020-10-03 23:44,0.438,L
2020-10-04 06:37,1.965,H
2020-10-04 11:44,1.172,L
2020-10-04 17:19,2.033,H
2020-10-05 00:14,0.319,L
2020-10-05 07:32,1.982,H
2020-10-05 12:20,1.377,L
2020-10-05 17:32,2.006,H
2020-10-06 00:48,0.232,L
2020-10-06 08:37,2.000,H
2020-10-06 13:02,1.571,L
2020-10-06 17:48,1.985,H
2020-10-07 01:27,0.174,L
2020-10-07 09:49,2.036,H
2020-10-07 13:54,1.740,L
2020-10-07 18:04,1.966,H
2020-10-08 02:11,0.140,L
2020-10-08 11:04,2.098,H
2020-10-08 15:04,1.865,L
2020-10-08 18:15,1.944,H
2020-10-09 03:01,0.119,L
2020-10-09 12:13,2.182,H
2020-10-10 03:56,0.111,L
2020-10-10 13:04,2.268,H
2020-10-11 04:55,0.115,L
2020-10-11 13:42,2.332,H
2020-10-12 05:59,0.137,L
2020-10-12 14:13,2.369,H
2020-10-12 20:14,1.502,L
2020-10-12 23:40,1.706,H
2020-10-13 07:01,0.191,L
2020-10-13 14:40,2.380,H
2020-10-13 20:37,1.225,L
2020-10-14 01:23,1.792,H
2020-10-14 07:56,0.301,L
2020-10-14 15:04,2.374,H
2020-10-14 21:09,0.886,L
2020-10-15 02:45,1.932,H
2020-10-15 08:49,0.485,L
2020-10-15 15:26,2.362,H
2020-10-15 21:45,0.514,L
2020-10-16 04:02,2.090,H
2020-10-16 09:40,0.736,L
2020-10-16 15:48,2.352,H
2020-10-16 22:24,0.151,L
2020-10-17 05:12,2.242,H
2020-10-17 10:30,1.030,L
2020-10-17 16:12,2.345,H
2020-10-17 23:06,-0.157,L
2020-10-18 06:18,2.360,H
2020-10-18 11:21,1.333,L
2020-10-18 16:37,2.334,H
2020-10-18 23:50,-0.371,L
2020-10-19 07:25,2.430,H
2020-10-19 12:13,1.615,L
2020-10-19 17:03,2.308,H
2020-10-20 00:36,-0.468,L
2020-10-20 08:37,2.465,H
2020-10-20 13:13,1.841,L
2020-10-20 17:31,2.253,H
2020-10-21 01:26,-0.450,L
2020-10-21 09:48,2.483,H
2020-10-21 14:37,1.976,L
2020-10-21 17:59,2.158,H
2020-10-22 02:20,-0.339,L
2020-10-22 10:57,2.488,H
2020-10-22 16:27,1.981,L
2020-10-22 18:25,2.020,H
2020-10-23 03:17,-0.167,L
2020-10-23 11:59,2.486,H
2020-10-24 04:16,0.037,L
2020-10-24 12:50,2.474,H
2020-10-25 05:17,0.248,L
2020-10-25 13:30,2.446,H
2020-10-25 20:09,1.406,L
2020-10-25 23:38,1.513,H
2020-10-26 06:20,0.447,L
2020-10-26 14:02,2.406,H
2020-10-26 20:35,1.170,L
2020-10-27 01:27,1.567,H
2020-10-27 07:16,0.632,L
2020-10-27 14:30,2.358,H
2020-10-27 21:02,0.932,L
2020-10-28 02:37,1.672,H
2020-10-28 08:03,0.814,L
2020-10-28 14:52,2.305,H
2020-10-28 21:27,0.702,L
2020-10-29 03:37,1.795,H
2020-10-29 08:45,0.998,L
2020-10-29 15:09,2.254,H
2020-10-29 21:52,0.486,L
2020-10-30 04:33,1.926,H
2020-10-30 09:26,1.182,L
2020-10-30 15:21,2.209,H
2020-10-30 22:17,0.292,L
2020-10-31 05:23,2.052,H
2020-10-31 10:06,1.361,L
2020-10-31 15:30,2.175,H
2020-10-31 22:43,0.129,L
