Date Time, Prediction, Type
2020-10-01 04:19,1.939,H
2020-10-01 10:18,0.562,L
2020-10-01 16:47,2.189,H
2020-10-01 22:53,0.653,L
2020-10-02 05:04,1.979,H
2020-10-02 10:53,0.740,L
2020-10-02 17:02,2.165,H
2020-10-02 23:21,0.478,L
2020-10-03 05:48,2.014,H
2020-10-03 11:28,0.939,L
2020-10-03 17:20,2.147,H
2020-10-03 23:51,0.322,L
2020-10-04 06:34,2.046,H
2020-10-04 12:06,1.149,L
2020-10-04 17:42,2.120,H
2020-10-05 00:25,0.199,L
2020-10-05 07:24,2.071,H
2020-10-05 12:47,1.358,L
2020-10-05 18:06,2.074,H
2020-10-06 01:01,0.115,L
2020-10-06 08:18,2.085,H
2020-10-06 13:33,1.552,L
2020-10-06 18:31,2.011,H
2020-10-07 01:40,0.074,L
2020-10-07 09:20,2.093,H
2020-10-07 14:31,1.714,L
2020-10-07 18:55,1.939,H
2020-10-08 02:26,0.069,L
2020-10-08 10:36,2.104,H
2020-10-08 15:54,1.820,L
2020-10-08 19:12,1.870,H
2020-10-09 03:18,0.086,L
2020-10-09 12:03,2.142,H
2020-10-10 04:19,0.106,L
2020-10-10 13:07,2.196,H
2020-10-11 05:25,0.112,L
2020-10-11 13:49,2.241,H
2020-10-11 20:04,1.613,L
2020-10-11 22:54,1.705,H
2020-10-12 06:28,0.108,L
2020-10-12 14:20,2.274,H
2020-10-12 20:10,1.418,L
2020-10-13 00:25,1.750,H
2020-10-13 07:26,0.124,L
2020-10-13 14:47,2.303,H
2020-10-13 20:36,1.141,L
2020-10-14 01:44,1.856,H
2020-10-14 08:18,0.194,L
2020-10-14 15:12,2.336,H
2020-10-14 21:10,0.803,L
2020-10-15 02:55,1.992,H
2020-10-15 09:06,0.336,L
2020-10-15 15:38,2.371,H
2020-10-15 21:47,0.434,L
2020-10-16 04:00,2.129,H
2020-10-16 09:52,0.552,L
2020-10-16 16:06,2.404,H
2020-10-16 22:27,0.078,L
2020-10-17 05:03,2.247,H
2020-10-17 10:38,0.823,L
2020-10-17 16:35,2.422,H
2020-10-17 23:10,-0.219,L
2020-10-18 06:06,2.336,H
2020-10-18 11:26,1.117,L
2020-10-18 17:06,2.411,H
2020-10-18 23:55,-0.418,L
2020-10-19 07:09,2.390,H
2020-10-19 12:18,1.399,L
2020-10-19 17:40,2.360,H
2020-10-20 00:42,-0.499,L
2020-10-20 08:16,2.412,H
2020-10-20 13:16,1.633,L
2020-10-20 18:16,2.261,H
2020-10-21 01:33,-0.461,L
2020-10-21 09:27,2.415,H
2020-10-21 14:30,1.787,L
2020-10-21 18:57,2.117,H
2020-10-22 02:27,-0.325,L
2020-10-22 10:43,2.415,H
2020-10-22 16:28,1.816,L
2020-10-22 19:48,1.940,H
2020-10-23 03:27,-0.128,L
2020-10-23 11:54,2.420,H
2020-10-23 18:44,1.674,L
2020-10-23 20:56,1.756,H
2020-10-24 04:32,0.086,L
2020-10-24 12:53,2.421,H
2020-10-24 19:48,1.468,L
2020-10-24 22:28,1.611,H
2020-10-25 05:42,0.282,L
2020-10-25 13:41,2.407,H
2020-10-25 20:29,1.252,L
2020-10-26 00:16,1.570,H
2020-10-26 06:47,0.452,L
2020-10-26 14:18,2.376,H
2020-10-26 21:00,1.040,L
2020-10-27 01:50,1.638,H
2020-10-27 07:43,0.610,L
2020-10-27 14:47,2.329,H
2020-10-27 21:23,0.834,L
2020-10-28 02:58,1.753,H
2020-10-28 08:30,0.774,L
2020-10-28 15:08,2.280,H
2020-10-28 21:41,0.630,L
2020-10-29 03:53,1.876,H
2020-10-29 09:11,0.948,L
2020-10-29 15:23,2.242,H
2020-10-29 22:00,0.428,L
2020-10-30 04:40,1.992,H
2020-10-30 09:50,1.129,L
2020-10-30 15:37,2.222,H
2020-10-30 22:23,0.233,L
2020-10-31 05:24,2.100,H
2020-10-31 10:27,1.309,L
2020-10-31 15:53,2.209,H
2020-10-31 22:49,0.061,L
