Date Time, Prediction, Type
2020-10-01 03:55,1.754,H
2020-10-01 09:39,0.579,L
2020-10-01 16:32,2.080,H
2020-10-01 22:26,0.787,L
2020-10-02 04:46,1.787,H
2020-10-02 10:15,0.772,L
2020-10-02 16:42,2.047,H
2020-10-02 22:51,0.595,L
2020-10-03 05:38,1.826,H
2020-10-03 10:52,0.986,L
2020-10-03 16:55,2.022,H
2020-10-03 23:19,0.410,L
2020-10-04 06:32,1.869,H
2020-10-04 11:32,1.209,L
2020-10-04 17:14,1.992,H
2020-10-04 23:51,0.251,L
2020-10-05 07:31,1.913,H
2020-10-05 12:15,1.427,L
2020-10-05 17:35,1.954,H
2020-10-06 00:27,0.131,L
2020-10-06 08:39,1.956,H
2020-10-06 13:03,1.625,L
2020-10-06 17:57,1.911,H
2020-10-07 01:06,0.058,L
2020-10-07 09:57,2.002,H
2020-10-07 14:06,1.788,L
2020-10-07 18:13,1.874,H
2020-10-08 01:50,0.031,L
2020-10-08 11:17,2.057,H
2020-10-09 02:41,0.038,L
2020-10-09 12:27,2.117,H
2020-10-10 03:38,0.063,L
2020-10-10 13:18,2.164,H
2020-10-11 04:41,0.089,L
2020-10-11 13:54,2.190,H
2020-10-12 05:45,0.117,L
2020-10-12 14:21,2.198,H
2020-10-12 20:01,1.552,L
2020-10-12 23:32,1.731,H
2020-10-13 06:43,0.169,L
2020-10-13 14:43,2.195,H
2020-10-13 20:10,1.303,L
2020-10-14 00:59,1.789,H
2020-10-14 07:35,0.276,L
2020-10-14 15:01,2.196,H
2020-10-14 20:37,0.973,L
2020-10-15 02:21,1.884,H
2020-10-15 08:23,0.456,L
2020-10-15 15:18,2.206,H
2020-10-15 21:12,0.598,L
2020-10-16 03:37,1.998,H
2020-10-16 09:10,0.705,L
2020-10-16 15:39,2.226,H
2020-10-16 21:51,0.222,L
2020-10-17 04:48,2.112,H
2020-10-17 09:58,1.003,L
2020-10-17 16:02,2.244,H
2020-10-17 22:34,-0.107,L
2020-10-18 05:58,2.210,H
2020-10-18 10:47,1.312,L
2020-10-18 16:28,2.249,H
2020-10-18 23:20,-0.346,L
2020-10-19 07:09,2.284,H
2020-10-19 11:41,1.593,L
2020-10-19 16:57,2.226,H
2020-10-20 00:07,-0.468,L
2020-10-20 08:22,2.332,H
2020-10-20 12:44,1.813,L
2020-10-20 17:27,2.166,H
2020-10-21 00:58,-0.465,L
2020-10-21 09:36,2.358,H
2020-10-21 14:14,1.941,L
2020-10-21 17:58,2.063,H
2020-10-22 01:52,-0.355,L
2020-10-22 10:48,2.370,H
2020-10-23 02:50,-0.169,L
2020-10-23 11:52,2.369,H
2020-10-24 03:54,0.047,L
2020-10-24 12:45,2.355,H
2020-10-25 05:02,0.258,L
2020-10-25 13:29,2.329,H
2020-10-25 20:07,1.335,L
2020-10-25 23:30,1.471,H
2020-10-26 06:07,0.447,L
2020-10-26 14:04,2.291,H
2020-10-26 20:34,1.124,L
2020-10-27 01:28,1.509,H
2020-10-27 07:03,0.624,L
2020-10-27 14:31,2.244,H
2020-10-27 20:57,0.917,L
2020-10-28 02:43,1.608,H
2020-10-28 07:51,0.802,L
2020-10-28 14:50,2.193,H
2020-10-28 21:17,0.711,L
2020-10-29 03:43,1.726,H
2020-10-29 08:34,0.991,L
2020-10-29 15:00,2.149,H
2020-10-29 21:34,0.505,L
2020-10-30 04:35,1.848,H
2020-10-30 09:14,1.187,L
2020-10-30 15:07,2.122,H
2020-10-30 21:53,0.303,L
2020-10-31 05:24,1.968,H
2020-10-31 09:54,1.385,L
2020-10-31 15:20,2.103,H
2020-10-31 22:15,0.116,L
