Date Time, Prediction, Type
2020-11-01 06:27,2.181,H
2020-11-01 11:02,1.620,L
2020-11-01 15:57,2.104,H
2020-11-01 23:12,-0.043,L
2020-11-02 07:10,2.281,H
2020-11-02 11:46,1.774,L
2020-11-02 16:13,2.088,H
2020-11-02 23:43,-0.139,L
2020-11-03 07:54,2.353,H
2020-11-03 12:34,1.898,L
2020-11-03 16:29,2.064,H
2020-11-04 00:17,-0.188,L
2020-11-04 08:43,2.396,H
2020-11-04 13:33,1.988,L
2020-11-04 16:36,2.036,H
2020-11-05 00:55,-0.191,L
2020-11-05 09:37,2.414,H
2020-11-06 01:38,-0.152,L
2020-11-06 10:34,2.420,H
2020-11-07 02:27,-0.075,L
2020-11-07 11:27,2.419,H
2020-11-08 03:22,0.035,L
2020-11-08 12:14,2.415,H
2020-11-09 04:22,0.180,L
2020-11-09 12:52,2.407,H
2020-11-09 19:54,1.461,L
2020-11-09 22:17,1.520,H
2020-11-10 05:24,0.362,L
2020-11-10 13:22,2.401,H
2020-11-10 20:00,1.157,L
2020-11-11 00:30,1.528,H
2020-11-11 06:26,0.586,L
2020-11-11 13:47,2.402,H
2020-11-11 20:22,0.775,L
2020-11-12 02:17,1.684,H
2020-11-12 07:27,0.847,L
2020-11-12 14:10,2.416,H
2020-11-12 20:52,0.356,L
2020-11-13 03:38,1.918,H
2020-11-13 08:23,1.134,L
2020-11-13 14:32,2.441,H
2020-11-13 21:27,-0.050,L
2020-11-14 04:48,2.170,H
2020-11-14 09:17,1.429,L
2020-11-14 14:56,2.467,H
2020-11-14 22:05,-0.391,L
2020-11-15 05:51,2.399,H
2020-11-15 10:12,1.700,L
2020-11-15 15:21,2.475,H
2020-11-15 22:46,-0.627,L
2020-11-16 06:49,2.574,H
2020-11-16 11:10,1.919,L
2020-11-16 15:50,2.448,H
2020-11-16 23:29,-0.735,L
2020-11-17 07:45,2.678,H
2020-11-17 12:16,2.061,L
2020-11-17 16:21,2.373,H
2020-11-18 00:14,-0.713,L
2020-11-18 08:42,2.717,H
2020-11-18 13:37,2.113,L
2020-11-18 16:55,2.249,H
2020-11-19 01:00,-0.577,L
2020-11-19 09:39,2.706,H
2020-11-20 01:49,-0.355,L
2020-11-20 10:34,2.665,H
2020-11-21 02:41,-0.080,L
2020-11-21 11:25,2.606,H
2020-11-22 03:36,0.220,L
2020-11-22 12:10,2.539,H
2020-11-22 19:26,1.367,L
2020-11-22 21:30,1.397,H
2020-11-23 04:33,0.526,L
2020-11-23 12:47,2.468,H
2020-11-23 19:54,1.100,L
2020-11-24 00:20,1.345,H
2020-11-24 05:32,0.825,L
2020-11-24 13:17,2.396,H
2020-11-24 20:21,0.835,L
2020-11-25 02:14,1.482,H
2020-11-25 06:34,1.106,L
2020-11-25 13:38,2.331,H
2020-11-25 20:45,0.581,L
2020-11-26 03:30,1.693,H
2020-11-26 07:34,1.362,L
2020-11-26 13:52,2.282,H
2020-11-26 21:07,0.346,L
2020-11-27 04:30,1.916,H
2020-11-27 08:28,1.587,L
2020-11-27 14:01,2.255,H
2020-11-27 21:28,0.133,L
2020-11-28 05:19,2.124,H
2020-11-28 09:17,1.779,L
2020-11-28 14:12,2.245,H
2020-11-28 21:50,-0.051,L
2020-11-29 06:00,2.301,H
2020-11-29 10:05,1.932,L
2020-11-29 14:26,2.241,H
2020-11-29 22:15,-0.202,L
2020-11-30 06:38,2.437,H
2020-11-30 10:55,2.046,L
2020-11-30 14:44,2.232,H
2020-11-30 22:43,-0.313,L
