Date Time, Prediction, Type
2020-10-01 04:22,1.844,H
2020-10-01 10:12,0.626,L
2020-10-01 17:00,2.103,H
2020-10-01 22:56,0.749,L
2020-10-02 05:14,1.886,H
2020-10-02 10:46,0.825,L
2020-10-02 17:12,2.062,H
2020-10-02 23:22,0.564,L
2020-10-03 06:03,1.935,H
2020-10-03 11:20,1.039,L
2020-10-03 17:23,2.038,H
2020-10-03 23:50,0.395,L
2020-10-04 06:52,1.985,H
2020-10-04 11:57,1.255,L
2020-10-04 17:36,2.021,H
2020-10-05 00:20,0.258,L
2020-10-05 07:44,2.032,H
2020-10-05 12:36,1.463,L
2020-10-05 17:52,2.000,H
2020-10-06 00:54,0.160,L
2020-10-06 08:41,2.071,H
2020-10-06 13:21,1.651,L
2020-10-06 18:10,1.975,H
2020-10-07 01:33,0.105,L
2020-10-07 09:48,2.106,H
2020-10-07 14:17,1.806,L
2020-10-07 18:26,1.946,H
2020-10-08 02:17,0.086,L
2020-10-08 11:02,2.144,H
2020-10-08 15:56,1.907,L
2020-10-08 18:23,1.918,H
2020-10-09 03:08,0.091,L
2020-10-09 12:17,2.189,H
2020-10-10 04:07,0.103,L
2020-10-10 13:17,2.234,H
2020-10-11 05:10,0.112,L
2020-10-11 14:00,2.265,H
2020-10-11 20:20,1.705,L
2020-10-11 22:15,1.736,H
2020-10-12 06:14,0.126,L
2020-10-12 14:33,2.278,H
2020-10-12 20:23,1.526,L
2020-10-13 00:01,1.733,H
2020-10-13 07:14,0.166,L
2020-10-13 14:59,2.280,H
2020-10-13 20:42,1.261,L
2020-10-14 01:37,1.795,H
2020-10-14 08:07,0.265,L
2020-10-14 15:23,2.281,H
2020-10-14 21:12,0.926,L
2020-10-15 02:58,1.904,H
2020-10-15 08:56,0.441,L
2020-10-15 15:45,2.290,H
2020-10-15 21:47,0.553,L
2020-10-16 04:12,2.032,H
2020-10-16 09:44,0.693,L
2020-10-16 16:08,2.306,H
2020-10-16 22:27,0.186,L
2020-10-17 05:22,2.164,H
2020-10-17 10:31,0.996,L
2020-10-17 16:31,2.324,H
2020-10-17 23:10,-0.130,L
2020-10-18 06:28,2.284,H
2020-10-18 11:21,1.311,L
2020-10-18 16:56,2.328,H
2020-10-18 23:54,-0.354,L
2020-10-19 07:35,2.376,H
2020-10-19 12:16,1.599,L
2020-10-19 17:24,2.303,H
2020-10-20 00:41,-0.460,L
2020-10-20 08:44,2.435,H
2020-10-20 13:19,1.826,L
2020-10-20 17:53,2.237,H
2020-10-21 01:30,-0.445,L
2020-10-21 09:56,2.470,H
2020-10-21 14:47,1.955,L
2020-10-21 18:24,2.125,H
2020-10-22 02:23,-0.327,L
2020-10-22 11:07,2.486,H
2020-10-22 16:58,1.935,L
2020-10-22 18:57,1.970,H
2020-10-23 03:21,-0.142,L
2020-10-23 12:12,2.484,H
2020-10-24 04:24,0.070,L
2020-10-24 13:07,2.463,H
2020-10-25 05:30,0.279,L
2020-10-25 13:51,2.422,H
2020-10-25 20:22,1.346,L
2020-10-26 00:01,1.508,H
2020-10-26 06:35,0.472,L
2020-10-26 14:26,2.363,H
2020-10-26 20:51,1.120,L
2020-10-27 01:48,1.556,H
2020-10-27 07:34,0.655,L
2020-10-27 14:54,2.293,H
2020-10-27 21:17,0.897,L
2020-10-28 03:02,1.665,H
2020-10-28 08:23,0.842,L
2020-10-28 15:13,2.223,H
2020-10-28 21:40,0.679,L
2020-10-29 04:02,1.793,H
2020-10-29 09:05,1.040,L
2020-10-29 15:27,2.167,H
2020-10-29 22:01,0.468,L
2020-10-30 04:55,1.927,H
2020-10-30 09:43,1.242,L
2020-10-30 15:35,2.132,H
2020-10-30 22:22,0.271,L
2020-10-31 05:43,2.059,H
2020-10-31 10:22,1.440,L
2020-10-31 15:44,2.115,H
2020-10-31 22:46,0.097,L
