Date Time, Prediction, Type
2020-11-01 06:07,2.150,H
2020-11-01 10:44,1.521,L
2020-11-01 15:44,2.135,H
2020-11-01 23:07,0.006,L
2020-11-02 06:55,2.230,H
2020-11-02 11:25,1.681,L
2020-11-02 16:01,2.113,H
2020-11-02 23:37,-0.077,L
2020-11-03 07:47,2.290,H
2020-11-03 12:10,1.827,L
2020-11-03 16:18,2.091,H
2020-11-04 00:11,-0.120,L
2020-11-04 08:42,2.338,H
2020-11-04 13:05,1.948,L
2020-11-04 16:31,2.069,H
2020-11-05 00:48,-0.128,L
2020-11-05 09:40,2.382,H
2020-11-05 14:20,2.026,L
2020-11-05 16:24,2.046,H
2020-11-06 01:30,-0.102,L
2020-11-06 10:37,2.426,H
2020-11-07 02:17,-0.043,L
2020-11-07 11:28,2.466,H
2020-11-08 03:09,0.055,L
2020-11-08 12:08,2.493,H
2020-11-09 04:05,0.200,L
2020-11-09 12:39,2.501,H
2020-11-09 19:39,1.469,L
2020-11-09 21:46,1.517,H
2020-11-10 05:07,0.390,L
2020-11-10 13:05,2.495,H
2020-11-10 19:46,1.150,L
2020-11-11 00:13,1.540,H
2020-11-11 06:12,0.619,L
2020-11-11 13:27,2.485,H
2020-11-11 20:10,0.758,L
2020-11-12 02:02,1.732,H
2020-11-12 07:15,0.879,L
2020-11-12 13:48,2.481,H
2020-11-12 20:43,0.334,L
2020-11-13 03:25,1.992,H
2020-11-13 08:15,1.161,L
2020-11-13 14:11,2.487,H
2020-11-13 21:20,-0.073,L
2020-11-14 04:34,2.256,H
2020-11-14 09:13,1.446,L
2020-11-14 14:36,2.496,H
2020-11-14 22:00,-0.412,L
2020-11-15 05:36,2.479,H
2020-11-15 10:10,1.708,L
2020-11-15 15:05,2.495,H
2020-11-15 22:42,-0.644,L
2020-11-16 06:36,2.634,H
2020-11-16 11:08,1.925,L
2020-11-16 15:36,2.470,H
2020-11-16 23:25,-0.746,L
2020-11-17 07:35,2.719,H
2020-11-17 12:11,2.078,L
2020-11-17 16:07,2.408,H
2020-11-18 00:10,-0.717,L
2020-11-18 08:35,2.746,H
2020-11-18 13:30,2.148,L
2020-11-18 16:39,2.300,H
2020-11-19 00:57,-0.577,L
2020-11-19 09:33,2.733,H
2020-11-19 15:14,2.109,L
2020-11-19 17:06,2.144,H
2020-11-20 01:46,-0.356,L
2020-11-20 10:27,2.698,H
2020-11-21 02:35,-0.084,L
2020-11-21 11:16,2.650,H
2020-11-22 03:24,0.213,L
2020-11-22 11:58,2.595,H
2020-11-23 04:14,0.515,L
2020-11-23 12:32,2.536,H
2020-11-23 19:45,1.176,L
2020-11-24 00:07,1.365,H
2020-11-24 05:08,0.806,L
2020-11-24 13:00,2.474,H
2020-11-24 20:08,0.907,L
2020-11-25 01:43,1.492,H
2020-11-25 06:06,1.072,L
2020-11-25 13:21,2.416,H
2020-11-25 20:31,0.646,L
2020-11-26 02:56,1.676,H
2020-11-26 07:02,1.308,L
2020-11-26 13:36,2.369,H
2020-11-26 20:55,0.400,L
2020-11-27 03:57,1.880,H
2020-11-27 07:55,1.514,L
2020-11-27 13:46,2.338,H
2020-11-27 21:19,0.179,L
2020-11-28 04:47,2.076,H
2020-11-28 08:46,1.692,L
2020-11-28 13:59,2.322,H
2020-11-28 21:44,-0.010,L
2020-11-29 05:33,2.248,H
2020-11-29 09:36,1.841,L
2020-11-29 14:17,2.310,H
2020-11-29 22:11,-0.159,L
2020-11-30 06:17,2.387,H
2020-11-30 10:25,1.965,L
2020-11-30 14:38,2.294,H
2020-11-30 22:41,-0.264,L
