Date Time, Prediction, Type
2020-11-01 06:12,2.218,H
2020-11-01 10:37,1.663,L
2020-11-01 15:41,2.220,H
2020-11-01 22:47,-0.045,L
2020-11-02 06:56,2.310,H
2020-11-02 11:17,1.828,L
2020-11-02 16:01,2.194,H
2020-11-02 23:18,-0.155,L
2020-11-03 07:43,2.381,H
2020-11-03 12:03,1.967,L
2020-11-03 16:19,2.147,H
2020-11-03 23:53,-0.211,L
2020-11-04 08:34,2.428,H
2020-11-04 13:05,2.071,L
2020-11-04 16:18,2.091,H
2020-11-05 00:33,-0.213,L
2020-11-05 09:31,2.453,H
2020-11-06 01:17,-0.165,L
2020-11-06 10:30,2.465,H
2020-11-07 02:06,-0.076,L
2020-11-07 11:26,2.470,H
2020-11-08 03:00,0.049,L
2020-11-08 12:10,2.466,H
2020-11-09 04:00,0.205,L
2020-11-09 12:45,2.454,H
2020-11-09 19:49,1.463,L
2020-11-09 22:10,1.533,H
2020-11-10 05:02,0.392,L
2020-11-10 13:11,2.444,H
2020-11-10 19:50,1.171,L
2020-11-11 00:14,1.556,H
2020-11-11 06:05,0.610,L
2020-11-11 13:31,2.448,H
2020-11-11 20:04,0.786,L
2020-11-12 02:01,1.710,H
2020-11-12 07:04,0.862,L
2020-11-12 13:49,2.477,H
2020-11-12 20:31,0.348,L
2020-11-13 03:24,1.939,H
2020-11-13 07:59,1.142,L
2020-11-13 14:08,2.527,H
2020-11-13 21:04,-0.085,L
2020-11-14 04:33,2.187,H
2020-11-14 08:52,1.431,L
2020-11-14 14:31,2.578,H
2020-11-14 21:41,-0.455,L
2020-11-15 05:35,2.412,H
2020-11-15 09:45,1.705,L
2020-11-15 14:57,2.605,H
2020-11-15 22:21,-0.714,L
2020-11-16 06:33,2.586,H
2020-11-16 10:39,1.934,L
2020-11-16 15:28,2.584,H
2020-11-16 23:04,-0.831,L
2020-11-17 07:31,2.697,H
2020-11-17 11:40,2.096,L
2020-11-17 16:02,2.503,H
2020-11-17 23:49,-0.802,L
2020-11-18 08:28,2.745,H
2020-11-18 12:59,2.170,L
2020-11-18 16:38,2.360,H
2020-11-19 00:35,-0.646,L
2020-11-19 09:26,2.745,H
2020-11-19 15:06,2.117,L
2020-11-19 17:18,2.166,H
2020-11-20 01:25,-0.395,L
2020-11-20 10:22,2.711,H
2020-11-21 02:18,-0.087,L
2020-11-21 11:15,2.660,H
2020-11-22 03:14,0.243,L
2020-11-22 12:01,2.598,H
2020-11-22 18:54,1.403,L
2020-11-22 21:21,1.467,H
2020-11-23 04:15,0.571,L
2020-11-23 12:39,2.530,H
2020-11-23 19:29,1.133,L
2020-11-24 00:14,1.425,H
2020-11-24 05:21,0.877,L
2020-11-24 13:08,2.460,H
2020-11-24 19:59,0.872,L
2020-11-25 02:02,1.561,H
2020-11-25 06:26,1.154,L
2020-11-25 13:28,2.398,H
2020-11-25 20:25,0.624,L
2020-11-26 03:18,1.760,H
2020-11-26 07:25,1.403,L
2020-11-26 13:38,2.358,H
2020-11-26 20:47,0.391,L
2020-11-27 04:17,1.969,H
2020-11-27 08:17,1.624,L
2020-11-27 13:44,2.348,H
2020-11-27 21:06,0.171,L
2020-11-28 05:05,2.160,H
2020-11-28 09:03,1.815,L
2020-11-28 13:55,2.356,H
2020-11-28 21:26,-0.031,L
2020-11-29 05:47,2.323,H
2020-11-29 09:45,1.971,L
2020-11-29 14:14,2.359,H
2020-11-29 21:50,-0.205,L
2020-11-30 06:26,2.452,H
2020-11-30 10:27,2.092,L
2020-11-30 14:35,2.345,H
2020-11-30 22:18,-0.338,L
