Date Time, Prediction, Type
2020-10-01 04:07,1.926,H
2020-10-01 09:54,0.655,L
2020-10-01 16:45,2.151,H
2020-10-01 22:30,0.763,L
2020-10-02 04:54,1.963,H
2020-10-02 10:26,0.853,L
2020-10-02 16:53,2.126,H
2020-10-02 22:54,0.579,L
2020-10-03 05:42,2.000,H
2020-10-03 10:59,1.068,L
2020-10-03 17:03,2.117,H
2020-10-03 23:22,0.407,L
2020-10-04 06:31,2.036,H
2020-10-04 11:33,1.291,L
2020-10-04 17:18,2.104,H
2020-10-04 23:54,0.262,L
2020-10-05 07:24,2.070,H
2020-10-05 12:11,1.510,L
2020-10-05 17:38,2.073,H
2020-10-06 00:30,0.155,L
2020-10-06 08:25,2.101,H
2020-10-06 12:55,1.711,L
2020-10-06 18:00,2.023,H
2020-10-07 01:09,0.093,L
2020-10-07 09:38,2.132,H
2020-10-07 13:53,1.878,L
2020-10-07 18:18,1.966,H
2020-10-08 01:54,0.073,L
2020-10-08 11:03,2.176,H
2020-10-09 02:45,0.082,L
2020-10-09 12:20,2.233,H
2020-10-10 03:42,0.106,L
2020-10-10 13:15,2.281,H
2020-10-11 04:45,0.130,L
2020-10-11 13:55,2.306,H
2020-10-11 20:21,1.689,L
2020-10-11 22:17,1.731,H
2020-10-12 05:50,0.151,L
2020-10-12 14:24,2.311,H
2020-10-12 20:21,1.525,L
2020-10-12 23:52,1.756,H
2020-10-13 06:50,0.192,L
2020-10-13 14:48,2.308,H
2020-10-13 20:29,1.264,L
2020-10-14 01:19,1.835,H
2020-10-14 07:44,0.285,L
2020-10-14 15:07,2.314,H
2020-10-14 20:52,0.919,L
2020-10-15 02:39,1.948,H
2020-10-15 08:33,0.452,L
2020-10-15 15:25,2.338,H
2020-10-15 21:25,0.527,L
2020-10-16 03:52,2.074,H
2020-10-16 09:19,0.694,L
2020-10-16 15:44,2.378,H
2020-10-16 22:03,0.138,L
2020-10-17 05:02,2.198,H
2020-10-17 10:06,0.992,L
2020-10-17 16:05,2.419,H
2020-10-17 22:44,-0.197,L
2020-10-18 06:10,2.308,H
2020-10-18 10:53,1.314,L
2020-10-18 16:30,2.439,H
2020-10-18 23:28,-0.432,L
2020-10-19 07:19,2.395,H
2020-10-19 11:45,1.617,L
2020-10-19 16:59,2.416,H
2020-10-20 00:15,-0.541,L
2020-10-20 08:29,2.457,H
2020-10-20 12:47,1.863,L
2020-10-20 17:31,2.338,H
2020-10-21 01:04,-0.518,L
2020-10-21 09:43,2.499,H
2020-10-21 14:16,2.011,L
2020-10-21 18:07,2.206,H
2020-10-22 01:57,-0.382,L
2020-10-22 10:55,2.526,H
2020-10-22 16:45,1.982,L
2020-10-22 18:49,2.028,H
2020-10-23 02:55,-0.169,L
2020-10-23 12:00,2.534,H
2020-10-24 03:59,0.076,L
2020-10-24 12:55,2.518,H
2020-10-24 19:17,1.584,L
2020-10-24 21:34,1.643,H
2020-10-25 05:09,0.311,L
2020-10-25 13:40,2.478,H
2020-10-25 19:56,1.355,L
2020-10-25 23:55,1.576,H
2020-10-26 06:19,0.516,L
2020-10-26 14:16,2.418,H
2020-10-26 20:28,1.132,L
2020-10-27 01:38,1.638,H
2020-10-27 07:20,0.702,L
2020-10-27 14:44,2.348,H
2020-10-27 20:56,0.917,L
2020-10-28 02:51,1.751,H
2020-10-28 08:09,0.888,L
2020-10-28 15:03,2.282,H
2020-10-28 21:19,0.708,L
2020-10-29 03:50,1.874,H
2020-10-29 08:51,1.083,L
2020-10-29 15:13,2.236,H
2020-10-29 21:39,0.503,L
2020-10-30 04:41,1.995,H
2020-10-30 09:27,1.282,L
2020-10-30 15:17,2.220,H
2020-10-30 21:58,0.300,L
2020-10-31 05:27,2.111,H
2020-10-31 10:02,1.479,L
2020-10-31 15:25,2.223,H
2020-10-31 22:20,0.112,L
