Date Time, Prediction, Type
2020-11-01 05:23,1.976,H
2020-11-01 09:45,1.534,L
2020-11-01 15:03,2.092,H
2020-11-01 22:17,-0.006,L
2020-11-02 06:06,2.065,H
2020-11-02 10:22,1.688,L
2020-11-02 15:23,2.064,H
2020-11-02 22:51,-0.105,L
2020-11-03 06:51,2.134,H
2020-11-03 11:04,1.817,L
2020-11-03 15:31,2.025,H
2020-11-03 23:29,-0.153,L
2020-11-04 07:42,2.179,H
2020-11-04 11:54,1.918,L
2020-11-04 14:47,2.006,H
2020-11-05 00:10,-0.156,L
2020-11-05 08:42,2.204,H
2020-11-06 00:56,-0.122,L
2020-11-06 09:48,2.219,H
2020-11-07 01:46,-0.059,L
2020-11-07 10:45,2.229,H
2020-11-08 02:40,0.032,L
2020-11-08 11:27,2.232,H
2020-11-09 03:36,0.155,L
2020-11-09 11:55,2.231,H
2020-11-10 04:34,0.315,L
2020-11-10 12:15,2.240,H
2020-11-10 19:08,1.182,L
2020-11-10 23:13,1.452,H
2020-11-11 05:31,0.517,L
2020-11-11 12:35,2.270,H
2020-11-11 19:20,0.805,L
2020-11-12 00:52,1.554,H
2020-11-12 06:27,0.758,L
2020-11-12 12:58,2.322,H
2020-11-12 19:51,0.381,L
2020-11-13 02:22,1.734,H
2020-11-13 07:20,1.028,L
2020-11-13 13:23,2.386,H
2020-11-13 20:27,-0.037,L
2020-11-14 03:39,1.946,H
2020-11-14 08:11,1.307,L
2020-11-14 13:52,2.441,H
2020-11-14 21:07,-0.393,L
2020-11-15 04:46,2.145,H
2020-11-15 09:01,1.568,L
2020-11-15 14:22,2.467,H
2020-11-15 21:48,-0.644,L
2020-11-16 05:48,2.302,H
2020-11-16 09:53,1.789,L
2020-11-16 14:55,2.446,H
2020-11-16 22:32,-0.762,L
2020-11-17 06:48,2.404,H
2020-11-17 10:50,1.952,L
2020-11-17 15:28,2.370,H
2020-11-17 23:19,-0.746,L
2020-11-18 07:48,2.453,H
2020-11-18 11:57,2.042,L
2020-11-18 16:03,2.239,H
2020-11-19 00:07,-0.615,L
2020-11-19 08:49,2.460,H
2020-11-19 13:47,2.041,L
2020-11-19 16:33,2.062,H
2020-11-20 00:58,-0.400,L
2020-11-20 09:48,2.441,H
2020-11-21 01:51,-0.133,L
2020-11-21 10:41,2.408,H
2020-11-22 02:45,0.160,L
2020-11-22 11:26,2.364,H
2020-11-23 03:41,0.459,L
2020-11-23 12:02,2.311,H
2020-11-23 19:19,1.119,L
2020-11-23 22:53,1.284,H
2020-11-24 04:37,0.753,L
2020-11-24 12:27,2.257,H
2020-11-24 19:44,0.879,L
2020-11-25 01:22,1.380,H
2020-11-25 05:33,1.030,L
2020-11-25 12:39,2.215,H
2020-11-25 20:05,0.649,L
2020-11-26 02:42,1.555,H
2020-11-26 06:27,1.282,L
2020-11-26 12:46,2.199,H
2020-11-26 20:20,0.425,L
2020-11-27 03:42,1.744,H
2020-11-27 07:16,1.504,L
2020-11-27 12:59,2.207,H
2020-11-27 20:35,0.206,L
2020-11-28 04:31,1.920,H
2020-11-28 07:59,1.688,L
2020-11-28 13:18,2.220,H
2020-11-28 20:55,0.003,L
2020-11-29 05:12,2.069,H
2020-11-29 08:40,1.835,L
2020-11-29 13:39,2.226,H
2020-11-29 21:20,-0.169,L
2020-11-30 05:48,2.188,H
2020-11-30 09:19,1.944,L
2020-11-30 14:00,2.218,H
2020-11-30 21:51,-0.296,L
