Date Time, Prediction, Type
2020-10-01 03:02,1.760,H
2020-10-01 09:12,0.563,L
2020-10-01 15:48,1.976,H
2020-10-01 21:50,0.772,L
2020-10-02 03:50,1.783,H
2020-10-02 09:43,0.757,L
2020-10-02 15:57,1.978,H
2020-10-02 22:17,0.590,L
2020-10-03 04:39,1.809,H
2020-10-03 10:15,0.966,L
2020-10-03 16:15,1.980,H
2020-10-03 22:49,0.425,L
2020-10-04 05:29,1.837,H
2020-10-04 10:48,1.179,L
2020-10-04 16:37,1.964,H
2020-10-04 23:25,0.291,L
2020-10-05 06:23,1.866,H
2020-10-05 11:25,1.384,L
2020-10-05 17:00,1.927,H
2020-10-06 00:04,0.197,L
2020-10-06 07:24,1.892,H
2020-10-06 12:06,1.570,L
2020-10-06 17:18,1.879,H
2020-10-07 00:46,0.140,L
2020-10-07 08:38,1.916,H
2020-10-07 12:56,1.723,L
2020-10-07 16:44,1.842,H
2020-10-08 01:34,0.113,L
2020-10-08 10:23,1.954,H
2020-10-08 14:01,1.833,L
2020-10-08 16:01,1.864,H
2020-10-09 02:27,0.104,L
2020-10-09 11:46,2.008,H
2020-10-10 03:24,0.098,L
2020-10-10 12:39,2.051,H
2020-10-11 04:25,0.090,L
2020-10-11 13:13,2.073,H
2020-10-12 05:24,0.089,L
2020-10-12 13:36,2.083,H
2020-10-12 19:24,1.509,L
2020-10-12 23:07,1.667,H
2020-10-13 06:19,0.118,L
2020-10-13 13:51,2.097,H
2020-10-13 19:32,1.247,L
2020-10-14 00:25,1.732,H
2020-10-14 07:10,0.204,L
2020-10-14 14:07,2.128,H
2020-10-14 20:04,0.911,L
2020-10-15 01:38,1.818,H
2020-10-15 07:57,0.366,L
2020-10-15 14:28,2.179,H
2020-10-15 20:43,0.536,L
2020-10-16 02:49,1.910,H
2020-10-16 08:42,0.601,L
2020-10-16 14:52,2.237,H
2020-10-16 21:24,0.166,L
2020-10-17 03:58,1.999,H
2020-10-17 09:26,0.890,L
2020-10-17 15:20,2.283,H
2020-10-17 22:08,-0.151,L
2020-10-18 05:09,2.077,H
2020-10-18 10:12,1.199,L
2020-10-18 15:50,2.300,H
2020-10-18 22:54,-0.375,L
2020-10-19 06:22,2.141,H
2020-10-19 11:02,1.491,L
2020-10-19 16:22,2.274,H
2020-10-19 23:43,-0.484,L
2020-10-20 07:41,2.190,H
2020-10-20 11:58,1.731,L
2020-10-20 16:55,2.198,H
2020-10-21 00:34,-0.474,L
2020-10-21 09:04,2.230,H
2020-10-21 13:11,1.888,L
2020-10-21 17:30,2.076,H
2020-10-22 01:29,-0.366,L
2020-10-22 10:23,2.264,H
2020-10-23 02:28,-0.191,L
2020-10-23 11:30,2.280,H
2020-10-24 03:31,0.013,L
2020-10-24 12:23,2.272,H
2020-10-25 04:36,0.218,L
2020-10-25 13:06,2.240,H
2020-10-25 19:44,1.331,L
2020-10-25 22:43,1.471,H
2020-10-26 05:40,0.411,L
2020-10-26 13:39,2.192,H
2020-10-26 20:12,1.132,L
2020-10-27 00:39,1.487,H
2020-10-27 06:36,0.596,L
2020-10-27 14:02,2.137,H
2020-10-27 20:35,0.936,L
2020-10-28 02:01,1.567,H
2020-10-28 07:24,0.784,L
2020-10-28 14:13,2.093,H
2020-10-28 20:51,0.739,L
2020-10-29 03:03,1.665,H
2020-10-29 08:03,0.979,L
2020-10-29 14:16,2.078,H
2020-10-29 21:05,0.533,L
2020-10-30 03:54,1.770,H
2020-10-30 08:38,1.174,L
2020-10-30 14:25,2.088,H
2020-10-30 21:23,0.328,L
2020-10-31 04:40,1.875,H
2020-10-31 09:11,1.361,L
2020-10-31 14:42,2.098,H
2020-10-31 21:48,0.142,L
