Date Time, Prediction, Type
2020-11-01 05:47,1.687,H
2020-11-01 09:59,1.245,L
2020-11-01 15:10,1.750,H
2020-11-01 22:35,0.002,L
2020-11-02 06:37,1.748,H
2020-11-02 10:40,1.378,L
2020-11-02 15:27,1.739,H
2020-11-02 23:07,-0.070,L
2020-11-03 07:31,1.796,H
2020-11-03 11:23,1.499,L
2020-11-03 15:41,1.728,H
2020-11-03 23:43,-0.107,L
2020-11-04 08:32,1.838,H
2020-11-04 12:11,1.602,L
2020-11-04 15:39,1.722,H
2020-11-05 00:21,-0.113,L
2020-11-05 09:33,1.880,H
2020-11-05 13:10,1.678,L
2020-11-05 15:27,1.723,H
2020-11-06 01:04,-0.091,L
2020-11-06 10:30,1.921,H
2020-11-07 01:53,-0.042,L
2020-11-07 11:18,1.954,H
2020-11-08 02:45,0.036,L
2020-11-08 11:55,1.972,H
2020-11-09 03:40,0.149,L
2020-11-09 12:22,1.975,H
2020-11-10 04:38,0.303,L
2020-11-10 12:40,1.971,H
2020-11-10 19:12,0.983,L
2020-11-10 23:29,1.249,H
2020-11-11 05:38,0.495,L
2020-11-11 12:56,1.976,H
2020-11-11 19:33,0.652,L
2020-11-12 01:27,1.374,H
2020-11-12 06:37,0.716,L
2020-11-12 13:13,1.997,H
2020-11-12 20:07,0.296,L
2020-11-13 02:55,1.562,H
2020-11-13 07:34,0.953,L
2020-11-13 13:35,2.030,H
2020-11-13 20:45,-0.044,L
2020-11-14 04:09,1.758,H
2020-11-14 08:28,1.192,L
2020-11-14 14:01,2.063,H
2020-11-14 21:26,-0.325,L
2020-11-15 05:14,1.927,H
2020-11-15 09:21,1.412,L
2020-11-15 14:30,2.083,H
2020-11-15 22:10,-0.517,L
2020-11-16 06:15,2.049,H
2020-11-16 10:16,1.591,L
2020-11-16 15:02,2.074,H
2020-11-16 22:54,-0.603,L
2020-11-17 07:16,2.118,H
2020-11-17 11:11,1.719,L
2020-11-17 15:34,2.028,H
2020-11-17 23:40,-0.582,L
2020-11-18 08:17,2.146,H
2020-11-18 12:14,1.788,L
2020-11-18 16:07,1.939,H
2020-11-19 00:27,-0.469,L
2020-11-19 09:15,2.147,H
2020-11-19 13:54,1.785,L
2020-11-19 16:33,1.808,H
2020-11-20 01:15,-0.290,L
2020-11-20 10:08,2.131,H
2020-11-21 02:04,-0.072,L
2020-11-21 10:56,2.103,H
2020-11-22 02:54,0.163,L
2020-11-22 11:36,2.069,H
2020-11-23 03:42,0.403,L
2020-11-23 12:10,2.030,H
2020-11-23 19:25,0.992,L
2020-11-23 23:25,1.111,H
2020-11-24 04:32,0.636,L
2020-11-24 12:36,1.989,H
2020-11-24 19:47,0.772,L
2020-11-25 01:18,1.201,H
2020-11-25 05:23,0.855,L
2020-11-25 12:54,1.951,H
2020-11-25 20:07,0.559,L
2020-11-26 02:30,1.341,H
2020-11-26 06:16,1.054,L
2020-11-26 13:04,1.927,H
2020-11-26 20:27,0.357,L
2020-11-27 03:32,1.494,H
2020-11-27 07:07,1.228,L
2020-11-27 13:12,1.919,H
2020-11-27 20:47,0.172,L
2020-11-28 04:26,1.644,H
2020-11-28 07:56,1.380,L
2020-11-28 13:27,1.920,H
2020-11-28 21:11,0.013,L
2020-11-29 05:14,1.778,H
2020-11-29 08:43,1.510,L
2020-11-29 13:47,1.920,H
2020-11-29 21:39,-0.114,L
2020-11-30 05:59,1.887,H
2020-11-30 09:31,1.619,L
2020-11-30 14:07,1.914,H
2020-11-30 22:10,-0.205,L
