Date Time, Prediction, Type
2020-11-01 06:07,2.389,H
2020-11-01 10:28,1.514,L
2020-11-01 16:15,2.381,H
2020-11-01 22:40,-0.076,L
2020-11-02 06:49,2.475,H
2020-11-02 11:09,1.673,L
2020-11-02 16:37,2.338,H
2020-11-02 23:12,-0.170,L
2020-11-03 07:33,2.535,H
2020-11-03 11:55,1.809,L
2020-11-03 16:59,2.276,H
2020-11-03 23:47,-0.213,L
2020-11-04 08:20,2.569,H
2020-11-04 12:48,1.913,L
2020-11-04 17:15,2.202,H
2020-11-05 00:27,-0.210,L
2020-11-05 09:13,2.578,H
2020-11-05 13:57,1.974,L
2020-11-05 16:30,2.133,H
2020-11-06 01:11,-0.164,L
2020-11-06 10:10,2.576,H
2020-11-07 02:02,-0.081,L
2020-11-07 11:08,2.576,H
2020-11-08 02:59,0.029,L
2020-11-08 11:58,2.582,H
2020-11-08 19:43,1.644,L
2020-11-08 20:44,1.752,H
2020-11-09 04:02,0.163,L
2020-11-09 12:39,2.594,H
2020-11-09 18:56,1.428,L
2020-11-09 22:49,1.681,H
2020-11-10 05:06,0.316,L
2020-11-10 13:12,2.613,H
2020-11-10 19:07,1.110,L
2020-11-11 00:33,1.736,H
2020-11-11 06:07,0.500,L
2020-11-11 13:42,2.641,H
2020-11-11 19:36,0.719,L
2020-11-12 02:04,1.909,H
2020-11-12 07:03,0.720,L
2020-11-12 14:10,2.679,H
2020-11-12 20:10,0.297,L
2020-11-13 03:20,2.148,H
2020-11-13 07:56,0.972,L
2020-11-13 14:39,2.719,H
2020-11-13 20:48,-0.109,L
2020-11-14 04:25,2.394,H
2020-11-14 08:47,1.238,L
2020-11-14 15:09,2.746,H
2020-11-14 21:28,-0.448,L
2020-11-15 05:25,2.605,H
2020-11-15 09:38,1.493,L
2020-11-15 15:40,2.743,H
2020-11-15 22:10,-0.678,L
2020-11-16 06:23,2.758,H
2020-11-16 10:31,1.711,L
2020-11-16 16:14,2.694,H
2020-11-16 22:54,-0.776,L
2020-11-17 07:20,2.846,H
2020-11-17 11:29,1.870,L
2020-11-17 16:51,2.591,H
2020-11-17 23:40,-0.742,L
2020-11-18 08:17,2.873,H
2020-11-18 12:35,1.958,L
2020-11-18 17:31,2.434,H
2020-11-19 00:28,-0.593,L
2020-11-19 09:15,2.857,H
2020-11-19 14:04,1.954,L
2020-11-19 18:18,2.230,H
2020-11-20 01:19,-0.362,L
2020-11-20 10:13,2.816,H
2020-11-20 16:34,1.817,L
2020-11-20 19:16,1.997,H
2020-11-21 02:14,-0.083,L
2020-11-21 11:09,2.767,H
2020-11-21 17:54,1.584,L
2020-11-21 20:33,1.763,H
2020-11-22 03:12,0.215,L
2020-11-22 11:59,2.715,H
2020-11-22 18:44,1.328,L
2020-11-22 22:11,1.585,H
2020-11-23 04:14,0.507,L
2020-11-23 12:40,2.661,H
2020-11-23 19:21,1.070,L
2020-11-24 00:18,1.550,H
2020-11-24 05:17,0.780,L
2020-11-24 13:13,2.606,H
2020-11-24 19:50,0.819,L
2020-11-25 02:06,1.691,H
2020-11-25 06:16,1.032,L
2020-11-25 13:36,2.555,H
2020-11-25 20:12,0.579,L
2020-11-26 03:17,1.902,H
2020-11-26 07:09,1.264,L
2020-11-26 13:54,2.518,H
2020-11-26 20:31,0.351,L
2020-11-27 04:11,2.118,H
2020-11-27 07:58,1.472,L
2020-11-27 14:11,2.498,H
2020-11-27 20:51,0.136,L
2020-11-28 04:58,2.311,H
2020-11-28 08:44,1.653,L
2020-11-28 14:30,2.487,H
2020-11-28 21:15,-0.055,L
2020-11-29 05:38,2.473,H
2020-11-29 09:28,1.802,L
2020-11-29 14:52,2.474,H
2020-11-29 21:42,-0.213,L
2020-11-30 06:16,2.597,H
2020-11-30 10:11,1.917,L
2020-11-30 15:16,2.445,H
2020-11-30 22:12,-0.330,L
