Date Time, Prediction, Type
2021-10-01 05:35,0.208,L
2021-10-01 14:24,2.355,H
2021-10-01 20:05,1.520,L
2021-10-01 23:30,1.790,H
2021-10-02 06:31,0.172,L
2021-10-02 14:48,2.366,H
2021-10-02 20:07,1.379,L
2021-10-03 00:45,1.860,H
2021-10-03 07:19,0.156,L
2021-10-03 15:07,2.375,H
2021-10-03 20:22,1.172,L
2021-10-04 01:52,1.964,H
2021-10-04 08:03,0.192,L
2021-10-04 15:27,2.392,H
2021-10-04 20:48,0.902,L
2021-10-05 02:52,2.078,H
2021-10-05 08:43,0.300,L
2021-10-05 15:48,2.419,H
2021-10-05 21:20,0.590,L
2021-10-06 03:51,2.185,H
2021-10-06 09:24,0.484,L
2021-10-06 16:11,2.449,H
2021-10-06 21:56,0.265,L
2021-10-07 04:50,2.277,H
2021-10-07 10:05,0.733,L
2021-10-07 16:37,2.473,H
2021-10-07 22:37,-0.032,L
2021-10-08 05:51,2.346,H
2021-10-08 10:49,1.020,L
2021-10-08 17:04,2.478,H
2021-10-08 23:20,-0.262,L
2021-10-09 06:55,2.387,H
2021-10-09 11:36,1.310,L
2021-10-09 17:35,2.453,H
2021-10-10 00:07,-0.396,L
2021-10-10 08:04,2.406,H
2021-10-10 12:30,1.569,L
2021-10-10 18:08,2.389,H
2021-10-11 00:59,-0.423,L
2021-10-11 09:21,2.416,H
2021-10-11 13:37,1.760,L
2021-10-11 18:46,2.283,H
2021-10-12 01:56,-0.355,L
2021-10-12 10:46,2.441,H
2021-10-12 15:15,1.841,L
2021-10-12 19:35,2.136,H
2021-10-13 03:00,-0.224,L
2021-10-13 12:02,2.483,H
2021-10-13 17:53,1.749,L
2021-10-13 20:48,1.967,H
2021-10-14 04:09,-0.070,L
2021-10-14 13:00,2.518,H
2021-10-14 19:03,1.547,L
2021-10-14 22:24,1.834,H
2021-10-15 05:20,0.077,L
2021-10-15 13:45,2.531,H
2021-10-15 19:43,1.315,L
2021-10-16 00:07,1.800,H
2021-10-16 06:25,0.220,L
2021-10-16 14:22,2.519,H
2021-10-16 20:14,1.072,L
2021-10-17 01:36,1.862,H
2021-10-17 07:19,0.376,L
2021-10-17 14:52,2.488,H
2021-10-17 20:40,0.828,L
2021-10-18 02:45,1.964,H
2021-10-18 08:06,0.559,L
2021-10-18 15:15,2.445,H
2021-10-18 21:05,0.592,L
2021-10-19 03:44,2.067,H
2021-10-19 08:47,0.766,L
2021-10-19 15:33,2.401,H
2021-10-19 21:30,0.373,L
2021-10-20 04:36,2.163,H
2021-10-20 09:26,0.988,L
2021-10-20 15:49,2.361,H
2021-10-20 21:57,0.181,L
2021-10-21 05:25,2.251,H
2021-10-21 10:05,1.210,L
2021-10-21 16:05,2.325,H
2021-10-21 22:26,0.030,L
2021-10-22 06:13,2.327,H
2021-10-22 10:47,1.418,L
2021-10-22 16:24,2.281,H
2021-10-22 22:58,-0.071,L
2021-10-23 07:01,2.384,H
2021-10-23 11:32,1.599,L
2021-10-23 16:44,2.222,H
2021-10-23 23:32,-0.116,L
2021-10-24 07:51,2.419,H
2021-10-24 12:26,1.742,L
2021-10-24 17:05,2.145,H
2021-10-25 00:09,-0.105,L
2021-10-25 08:46,2.429,H
2021-10-25 13:37,1.836,L
2021-10-25 17:20,2.055,H
2021-10-26 00:51,-0.048,L
2021-10-26 09:49,2.425,H
2021-10-27 01:39,0.040,L
2021-10-27 10:57,2.423,H
2021-10-28 02:34,0.137,L
2021-10-28 11:55,2.428,H
2021-10-29 03:36,0.229,L
2021-10-29 12:37,2.434,H
2021-10-29 19:44,1.482,L
2021-10-29 21:32,1.624,H
2021-10-30 04:40,0.308,L
2021-10-30 13:07,2.440,H
2021-10-30 19:32,1.318,L
2021-10-30 23:15,1.616,H
2021-10-31 05:39,0.392,L
2021-10-31 13:31,2.449,H
2021-10-31 19:32,1.076,L
