Date Time, Prediction, Type
2021-11-01 00:54,1.672,H
2021-11-01 06:59,0.585,L
2021-11-01 14:02,2.417,H
2021-11-01 20:16,0.876,L
2021-11-02 02:11,1.837,H
2021-11-02 07:48,0.772,L
2021-11-02 14:25,2.450,H
2021-11-02 20:44,0.448,L
2021-11-03 03:17,2.038,H
2021-11-03 08:34,1.013,L
2021-11-03 14:49,2.490,H
2021-11-03 21:18,0.007,L
2021-11-04 04:19,2.240,H
2021-11-04 09:20,1.293,L
2021-11-04 15:15,2.525,H
2021-11-04 21:56,-0.387,L
2021-11-05 05:18,2.419,H
2021-11-05 10:07,1.584,L
2021-11-05 15:43,2.543,H
2021-11-05 22:37,-0.683,L
2021-11-06 06:16,2.551,H
2021-11-06 10:56,1.851,L
2021-11-06 16:14,2.527,H
2021-11-06 23:21,-0.844,L
2021-11-07 07:16,2.628,H
2021-11-07 11:51,2.066,L
2021-11-07 16:48,2.464,H
2021-11-08 00:09,-0.855,L
2021-11-08 08:19,2.653,H
2021-11-08 12:54,2.200,L
2021-11-08 17:27,2.345,H
2021-11-09 01:00,-0.729,L
2021-11-09 09:23,2.645,H
2021-11-09 14:19,2.228,L
2021-11-09 18:15,2.170,H
2021-11-10 01:56,-0.497,L
2021-11-10 10:28,2.623,H
2021-11-10 17:05,2.088,L
2021-11-10 19:22,1.951,H
2021-11-11 02:57,-0.200,L
2021-11-11 11:28,2.599,H
2021-11-11 18:28,1.801,L
2021-11-11 20:52,1.730,H
2021-11-12 04:02,0.120,L
2021-11-12 12:18,2.576,H
2021-11-12 19:15,1.474,L
2021-11-12 22:42,1.583,H
2021-11-13 05:09,0.435,L
2021-11-13 12:59,2.548,H
2021-11-13 19:52,1.138,L
2021-11-14 00:42,1.594,H
2021-11-14 06:13,0.738,L
2021-11-14 13:33,2.510,H
2021-11-14 20:21,0.814,L
2021-11-15 02:14,1.741,H
2021-11-15 07:09,1.032,L
2021-11-15 13:59,2.465,H
2021-11-15 20:45,0.516,L
2021-11-16 03:23,1.933,H
2021-11-16 08:00,1.315,L
2021-11-16 14:18,2.419,H
2021-11-16 21:07,0.251,L
2021-11-17 04:19,2.121,H
2021-11-17 08:46,1.578,L
2021-11-17 14:34,2.381,H
2021-11-17 21:30,0.023,L
2021-11-18 05:08,2.286,H
2021-11-18 09:31,1.807,L
2021-11-18 14:50,2.348,H
2021-11-18 21:55,-0.157,L
2021-11-19 05:52,2.417,H
2021-11-19 10:15,1.995,L
2021-11-19 15:08,2.314,H
2021-11-19 22:23,-0.284,L
2021-11-20 06:34,2.510,H
2021-11-20 11:02,2.134,L
2021-11-20 15:28,2.268,H
2021-11-20 22:54,-0.351,L
2021-11-21 07:14,2.565,H
2021-11-21 11:53,2.226,L
2021-11-21 15:48,2.207,H
2021-11-21 23:28,-0.359,L
2021-11-22 07:55,2.586,H
2021-11-22 12:52,2.273,L
2021-11-22 15:59,2.132,H
2021-11-23 00:05,-0.315,L
2021-11-23 08:37,2.582,H
2021-11-24 00:46,-0.228,L
2021-11-24 09:22,2.563,H
2021-11-25 01:31,-0.105,L
2021-11-25 10:07,2.542,H
2021-11-26 02:20,0.055,L
2021-11-26 10:48,2.523,H
2021-11-27 03:13,0.253,L
2021-11-27 11:24,2.512,H
2021-11-27 19:14,1.572,L
2021-11-27 21:24,1.485,H
2021-11-28 04:10,0.491,L
2021-11-28 11:55,2.510,H
2021-11-28 19:00,1.263,L
2021-11-28 23:16,1.462,H
2021-11-29 05:09,0.764,L
2021-11-29 12:23,2.521,H
2021-11-29 19:14,0.859,L
2021-11-30 01:04,1.594,H
2021-11-30 06:08,1.063,L
2021-11-30 12:50,2.546,H
2021-11-30 19:42,0.395,L
