Date Time, Prediction, Type
2021-11-01 01:10,1.708,H
2021-11-01 07:22,0.545,L
2021-11-01 14:18,2.469,H
2021-11-01 20:39,0.816,L
2021-11-02 02:27,1.876,H
2021-11-02 08:11,0.719,L
2021-11-02 14:41,2.502,H
2021-11-02 21:07,0.417,L
2021-11-03 03:33,2.081,H
2021-11-03 08:57,0.943,L
2021-11-03 15:05,2.543,H
2021-11-03 21:41,0.007,L
2021-11-04 04:35,2.289,H
2021-11-04 09:43,1.205,L
2021-11-04 15:31,2.579,H
2021-11-04 22:19,-0.360,L
2021-11-05 05:34,2.471,H
2021-11-05 10:30,1.475,L
2021-11-05 15:59,2.597,H
2021-11-05 23:00,-0.637,L
2021-11-06 06:32,2.606,H
2021-11-06 11:19,1.724,L
2021-11-06 16:30,2.581,H
2021-11-06 23:44,-0.786,L
2021-11-07 07:32,2.685,H
2021-11-07 12:14,1.924,L
2021-11-07 17:04,2.517,H
2021-11-08 00:32,-0.796,L
2021-11-08 08:35,2.710,H
2021-11-08 13:17,2.049,L
2021-11-08 17:43,2.396,H
2021-11-09 01:23,-0.679,L
2021-11-09 09:39,2.702,H
2021-11-09 14:42,2.075,L
2021-11-09 18:31,2.216,H
2021-11-10 02:19,-0.463,L
2021-11-10 10:44,2.679,H
2021-11-10 17:28,1.945,L
2021-11-10 19:38,1.993,H
2021-11-11 03:20,-0.186,L
2021-11-11 11:44,2.655,H
2021-11-11 18:51,1.678,L
2021-11-11 21:08,1.767,H
2021-11-12 04:25,0.112,L
2021-11-12 12:34,2.632,H
2021-11-12 19:38,1.373,L
2021-11-12 22:58,1.617,H
2021-11-13 05:32,0.405,L
2021-11-13 13:15,2.603,H
2021-11-13 20:15,1.060,L
2021-11-14 00:58,1.628,H
2021-11-14 06:36,0.688,L
2021-11-14 13:49,2.564,H
2021-11-14 20:44,0.758,L
2021-11-15 02:30,1.778,H
2021-11-15 07:32,0.961,L
2021-11-15 14:15,2.518,H
2021-11-15 21:08,0.481,L
2021-11-16 03:39,1.974,H
2021-11-16 08:23,1.225,L
2021-11-16 14:34,2.471,H
2021-11-16 21:30,0.234,L
2021-11-17 04:35,2.167,H
2021-11-17 09:09,1.470,L
2021-11-17 14:50,2.432,H
2021-11-17 21:53,0.022,L
2021-11-18 05:24,2.335,H
2021-11-18 09:54,1.683,L
2021-11-18 15:06,2.399,H
2021-11-18 22:18,-0.146,L
2021-11-19 06:08,2.469,H
2021-11-19 10:38,1.858,L
2021-11-19 15:24,2.364,H
2021-11-19 22:46,-0.264,L
2021-11-20 06:50,2.564,H
2021-11-20 11:25,1.987,L
2021-11-20 15:44,2.317,H
2021-11-20 23:17,-0.327,L
2021-11-21 07:30,2.620,H
2021-11-21 12:16,2.073,L
2021-11-21 16:04,2.254,H
2021-11-21 23:51,-0.334,L
2021-11-22 08:11,2.642,H
2021-11-22 13:15,2.117,L
2021-11-22 16:15,2.177,H
2021-11-23 00:28,-0.294,L
2021-11-23 08:53,2.637,H
2021-11-24 01:09,-0.213,L
2021-11-24 09:38,2.618,H
2021-11-25 01:54,-0.098,L
2021-11-25 10:23,2.596,H
2021-11-26 02:43,0.051,L
2021-11-26 11:04,2.577,H
2021-11-27 03:36,0.236,L
2021-11-27 11:40,2.566,H
2021-11-27 19:37,1.464,L
2021-11-27 21:40,1.517,H
2021-11-28 04:33,0.457,L
2021-11-28 12:11,2.564,H
2021-11-28 19:23,1.176,L
2021-11-28 23:32,1.493,H
2021-11-29 05:32,0.712,L
2021-11-29 12:39,2.575,H
2021-11-29 19:37,0.800,L
2021-11-30 01:20,1.628,H
2021-11-30 06:31,0.990,L
2021-11-30 13:06,2.601,H
2021-11-30 20:05,0.368,L
