Date Time, Prediction, Type
2021-10-01 06:24,0.224,L
2021-10-01 14:49,2.355,H
2021-10-01 20:54,1.641,L
2021-10-01 23:55,1.790,H
2021-10-02 07:20,0.185,L
2021-10-02 15:13,2.366,H
2021-10-02 20:56,1.489,L
2021-10-03 01:10,1.860,H
2021-10-03 08:08,0.168,L
2021-10-03 15:32,2.375,H
2021-10-03 21:11,1.265,L
2021-10-04 02:17,1.964,H
2021-10-04 08:52,0.207,L
2021-10-04 15:52,2.392,H
2021-10-04 21:37,0.974,L
2021-10-05 03:17,2.078,H
2021-10-05 09:32,0.324,L
2021-10-05 16:13,2.419,H
2021-10-05 22:09,0.637,L
2021-10-06 04:16,2.185,H
2021-10-06 10:13,0.523,L
2021-10-06 16:36,2.449,H
2021-10-06 22:45,0.286,L
2021-10-07 05:15,2.277,H
2021-10-07 10:54,0.791,L
2021-10-07 17:02,2.473,H
2021-10-07 23:26,-0.034,L
2021-10-08 06:16,2.346,H
2021-10-08 11:38,1.101,L
2021-10-08 17:29,2.478,H
2021-10-09 00:09,-0.283,L
2021-10-09 07:20,2.387,H
2021-10-09 12:25,1.415,L
2021-10-09 18:00,2.453,H
2021-10-10 00:56,-0.428,L
2021-10-10 08:29,2.406,H
2021-10-10 13:19,1.694,L
2021-10-10 18:33,2.389,H
2021-10-11 01:48,-0.457,L
2021-10-11 09:46,2.416,H
2021-10-11 14:26,1.900,L
2021-10-11 19:11,2.283,H
2021-10-12 02:45,-0.383,L
2021-10-12 11:11,2.441,H
2021-10-12 16:04,1.987,L
2021-10-12 20:00,2.136,H
2021-10-13 03:49,-0.241,L
2021-10-13 12:27,2.483,H
2021-10-13 18:42,1.888,L
2021-10-13 21:13,1.967,H
2021-10-14 04:58,-0.075,L
2021-10-14 13:25,2.518,H
2021-10-14 19:52,1.670,L
2021-10-14 22:49,1.834,H
2021-10-15 06:09,0.084,L
2021-10-15 14:10,2.531,H
2021-10-15 20:32,1.419,L
2021-10-16 00:32,1.800,H
2021-10-16 07:14,0.238,L
2021-10-16 14:47,2.519,H
2021-10-16 21:03,1.157,L
2021-10-17 02:01,1.862,H
2021-10-17 08:08,0.406,L
2021-10-17 15:17,2.488,H
2021-10-17 21:29,0.894,L
2021-10-18 03:10,1.964,H
2021-10-18 08:55,0.603,L
2021-10-18 15:40,2.445,H
2021-10-18 21:54,0.639,L
2021-10-19 04:09,2.067,H
2021-10-19 09:36,0.827,L
2021-10-19 15:58,2.401,H
2021-10-19 22:19,0.403,L
2021-10-20 05:01,2.163,H
2021-10-20 10:15,1.067,L
2021-10-20 16:14,2.361,H
2021-10-20 22:46,0.196,L
2021-10-21 05:50,2.251,H
2021-10-21 10:54,1.306,L
2021-10-21 16:30,2.325,H
2021-10-21 23:15,0.032,L
2021-10-22 06:38,2.327,H
2021-10-22 11:36,1.530,L
2021-10-22 16:49,2.281,H
2021-10-22 23:47,-0.077,L
2021-10-23 07:26,2.384,H
2021-10-23 12:21,1.726,L
2021-10-23 17:09,2.222,H
2021-10-24 00:21,-0.125,L
2021-10-24 08:16,2.419,H
2021-10-24 13:15,1.880,L
2021-10-24 17:30,2.145,H
2021-10-25 00:58,-0.113,L
2021-10-25 09:11,2.429,H
2021-10-25 14:26,1.982,L
2021-10-25 17:45,2.055,H
2021-10-26 01:40,-0.051,L
2021-10-26 10:14,2.425,H
2021-10-27 02:28,0.043,L
2021-10-27 11:22,2.423,H
2021-10-28 03:23,0.148,L
2021-10-28 12:20,2.428,H
2021-10-29 04:25,0.247,L
2021-10-29 13:02,2.434,H
2021-10-30 05:29,0.332,L
2021-10-30 13:32,2.440,H
2021-10-30 20:21,1.423,L
2021-10-30 23:40,1.616,H
2021-10-31 06:28,0.423,L
2021-10-31 13:56,2.449,H
2021-10-31 20:21,1.162,L
