Date Time, Prediction, Type
2021-11-01 01:30,1.632,H
2021-11-01 07:19,0.615,L
2021-11-01 14:24,2.668,H
2021-11-01 21:05,0.771,L
2021-11-02 02:47,1.878,H
2021-11-02 08:16,0.822,L
2021-11-02 14:47,2.666,H
2021-11-02 21:31,0.372,L
2021-11-03 03:55,2.174,H
2021-11-03 09:11,1.074,L
2021-11-03 15:11,2.662,H
2021-11-03 22:03,-0.033,L
2021-11-04 04:57,2.474,H
2021-11-04 10:05,1.356,L
2021-11-04 15:36,2.656,H
2021-11-04 22:40,-0.400,L
2021-11-05 05:55,2.737,H
2021-11-05 11:00,1.643,L
2021-11-05 16:03,2.642,H
2021-11-05 23:19,-0.685,L
2021-11-06 06:53,2.930,H
2021-11-06 11:57,1.904,L
2021-11-06 16:31,2.611,H
2021-11-07 00:02,-0.854,L
2021-11-07 07:53,3.039,H
2021-11-07 12:58,2.109,L
2021-11-07 17:00,2.546,H
2021-11-08 00:48,-0.888,L
2021-11-08 08:56,3.078,H
2021-11-08 14:12,2.224,L
2021-11-08 17:29,2.432,H
2021-11-09 01:37,-0.791,L
2021-11-09 09:59,3.066,H
2021-11-09 15:50,2.206,L
2021-11-09 17:56,2.256,H
2021-11-10 02:31,-0.585,L
2021-11-10 10:59,3.025,H
2021-11-11 03:28,-0.300,L
2021-11-11 11:54,2.969,H
2021-11-12 04:28,0.030,L
2021-11-12 12:40,2.905,H
2021-11-12 19:58,1.369,L
2021-11-12 23:04,1.506,H
2021-11-13 05:31,0.377,L
2021-11-13 13:18,2.836,H
2021-11-13 20:25,1.017,L
2021-11-14 01:09,1.552,H
2021-11-14 06:36,0.712,L
2021-11-14 13:49,2.766,H
2021-11-14 20:53,0.679,L
2021-11-15 02:37,1.738,H
2021-11-15 07:38,1.023,L
2021-11-15 14:16,2.696,H
2021-11-15 21:21,0.376,L
2021-11-16 03:47,1.972,H
2021-11-16 08:34,1.304,L
2021-11-16 14:39,2.627,H
2021-11-16 21:48,0.123,L
2021-11-17 04:46,2.209,H
2021-11-17 09:26,1.553,L
2021-11-17 14:59,2.558,H
2021-11-17 22:15,-0.076,L
2021-11-18 05:35,2.422,H
2021-11-18 10:17,1.763,L
2021-11-18 15:18,2.490,H
2021-11-18 22:42,-0.220,L
2021-11-19 06:19,2.593,H
2021-11-19 11:07,1.932,L
2021-11-19 15:34,2.422,H
2021-11-19 23:09,-0.313,L
2021-11-20 07:01,2.717,H
2021-11-20 11:57,2.062,L
2021-11-20 15:48,2.355,H
2021-11-20 23:38,-0.359,L
2021-11-21 07:43,2.792,H
2021-11-21 12:51,2.154,L
2021-11-21 15:58,2.290,H
2021-11-22 00:08,-0.362,L
2021-11-22 08:28,2.830,H
2021-11-23 00:40,-0.329,L
2021-11-23 09:14,2.841,H
2021-11-24 01:14,-0.259,L
2021-11-24 09:59,2.839,H
2021-11-25 01:51,-0.152,L
2021-11-25 10:42,2.832,H
2021-11-26 02:33,-0.001,L
2021-11-26 11:20,2.821,H
2021-11-27 03:19,0.202,L
2021-11-27 11:52,2.806,H
2021-11-28 04:11,0.464,L
2021-11-28 12:20,2.792,H
2021-11-28 19:50,1.133,L
2021-11-28 23:52,1.380,H
2021-11-29 05:11,0.778,L
2021-11-29 12:45,2.780,H
2021-11-29 20:01,0.746,L
2021-11-30 01:46,1.628,H
2021-11-30 06:20,1.119,L
2021-11-30 13:10,2.776,H
2021-11-30 20:26,0.305,L
