Date Time, Prediction, Type
2021-11-01 01:37,1.828,H
2021-11-01 08:04,0.574,L
2021-11-01 14:45,2.629,H
2021-11-01 21:21,0.859,L
2021-11-02 02:54,2.005,H
2021-11-02 08:53,0.757,L
2021-11-02 15:08,2.664,H
2021-11-02 21:49,0.439,L
2021-11-03 04:00,2.221,H
2021-11-03 09:39,0.993,L
2021-11-03 15:32,2.707,H
2021-11-03 22:23,0.007,L
2021-11-04 05:02,2.439,H
2021-11-04 10:25,1.268,L
2021-11-04 15:58,2.745,H
2021-11-04 23:01,-0.379,L
2021-11-05 06:01,2.631,H
2021-11-05 11:12,1.553,L
2021-11-05 16:26,2.764,H
2021-11-05 23:42,-0.670,L
2021-11-06 06:59,2.773,H
2021-11-06 12:01,1.815,L
2021-11-06 16:57,2.747,H
2021-11-07 00:26,-0.827,L
2021-11-07 07:59,2.856,H
2021-11-07 12:56,2.025,L
2021-11-07 17:31,2.679,H
2021-11-08 01:14,-0.838,L
2021-11-08 09:02,2.883,H
2021-11-08 13:59,2.157,L
2021-11-08 18:10,2.552,H
2021-11-09 02:05,-0.715,L
2021-11-09 10:06,2.874,H
2021-11-09 15:24,2.184,L
2021-11-09 18:58,2.363,H
2021-11-10 03:01,-0.487,L
2021-11-10 11:11,2.850,H
2021-11-10 18:10,2.047,L
2021-11-10 20:05,2.128,H
2021-11-11 04:02,-0.196,L
2021-11-11 12:11,2.825,H
2021-11-11 19:33,1.766,L
2021-11-11 21:35,1.890,H
2021-11-12 05:07,0.118,L
2021-11-12 13:01,2.800,H
2021-11-12 20:20,1.445,L
2021-11-12 23:25,1.732,H
2021-11-13 06:14,0.426,L
2021-11-13 13:42,2.770,H
2021-11-13 20:57,1.116,L
2021-11-14 01:25,1.744,H
2021-11-14 07:18,0.724,L
2021-11-14 14:16,2.729,H
2021-11-14 21:26,0.798,L
2021-11-15 02:57,1.902,H
2021-11-15 08:14,1.012,L
2021-11-15 14:42,2.681,H
2021-11-15 21:50,0.506,L
2021-11-16 04:06,2.108,H
2021-11-16 09:05,1.289,L
2021-11-16 15:01,2.631,H
2021-11-16 22:12,0.246,L
2021-11-17 05:02,2.311,H
2021-11-17 09:51,1.547,L
2021-11-17 15:17,2.590,H
2021-11-17 22:35,0.023,L
2021-11-18 05:51,2.488,H
2021-11-18 10:36,1.772,L
2021-11-18 15:33,2.555,H
2021-11-18 23:00,-0.154,L
2021-11-19 06:35,2.629,H
2021-11-19 11:20,1.956,L
2021-11-19 15:51,2.518,H
2021-11-19 23:28,-0.278,L
2021-11-20 07:17,2.729,H
2021-11-20 12:07,2.092,L
2021-11-20 16:11,2.469,H
2021-11-20 23:59,-0.344,L
2021-11-21 07:57,2.788,H
2021-11-21 12:58,2.182,L
2021-11-21 16:31,2.403,H
2021-11-22 00:33,-0.352,L
2021-11-22 08:38,2.811,H
2021-11-22 13:57,2.228,L
2021-11-22 16:42,2.322,H
2021-11-23 01:10,-0.309,L
2021-11-23 09:20,2.806,H
2021-11-24 01:51,-0.224,L
2021-11-24 10:05,2.786,H
2021-11-25 02:36,-0.103,L
2021-11-25 10:50,2.763,H
2021-11-26 03:25,0.054,L
2021-11-26 11:31,2.743,H
2021-11-27 04:18,0.248,L
2021-11-27 12:07,2.731,H
2021-11-27 20:19,1.541,L
2021-11-27 22:07,1.627,H
2021-11-28 05:15,0.481,L
2021-11-28 12:38,2.729,H
2021-11-28 20:05,1.238,L
2021-11-28 23:59,1.602,H
2021-11-29 06:14,0.749,L
2021-11-29 13:06,2.741,H
2021-11-29 20:19,0.842,L
2021-11-30 01:47,1.744,H
2021-11-30 07:13,1.042,L
2021-11-30 13:33,2.768,H
2021-11-30 20:47,0.387,L
