Date Time, Prediction, Type
2021-10-01 07:06,0.236,L
2021-10-01 15:16,2.509,H
2021-10-01 21:36,1.727,L
2021-10-02 00:22,1.914,H
2021-10-02 08:02,0.195,L
2021-10-02 15:40,2.521,H
2021-10-02 21:38,1.567,L
2021-10-03 01:37,1.988,H
2021-10-03 08:50,0.177,L
2021-10-03 15:59,2.530,H
2021-10-03 21:53,1.332,L
2021-10-04 02:44,2.097,H
2021-10-04 09:34,0.218,L
2021-10-04 16:19,2.548,H
2021-10-04 22:19,1.025,L
2021-10-05 03:44,2.217,H
2021-10-05 10:14,0.341,L
2021-10-05 16:40,2.576,H
2021-10-05 22:51,0.670,L
2021-10-06 04:43,2.330,H
2021-10-06 10:55,0.550,L
2021-10-06 17:03,2.608,H
2021-10-06 23:27,0.301,L
2021-10-07 05:42,2.427,H
2021-10-07 11:36,0.833,L
2021-10-07 17:29,2.633,H
2021-10-08 00:08,-0.036,L
2021-10-08 06:43,2.499,H
2021-10-08 12:20,1.159,L
2021-10-08 17:56,2.638,H
2021-10-09 00:51,-0.298,L
2021-10-09 07:47,2.543,H
2021-10-09 13:07,1.489,L
2021-10-09 18:27,2.612,H
2021-10-10 01:38,-0.450,L
2021-10-10 08:56,2.563,H
2021-10-10 14:01,1.783,L
2021-10-10 19:00,2.545,H
2021-10-11 02:30,-0.481,L
2021-10-11 10:13,2.573,H
2021-10-11 15:08,2.000,L
2021-10-11 19:38,2.433,H
2021-10-12 03:27,-0.403,L
2021-10-12 11:38,2.599,H
2021-10-12 16:46,2.092,L
2021-10-12 20:27,2.278,H
2021-10-13 04:31,-0.254,L
2021-10-13 12:54,2.644,H
2021-10-13 19:24,1.987,L
2021-10-13 21:40,2.101,H
2021-10-14 05:40,-0.079,L
2021-10-14 13:52,2.681,H
2021-10-14 20:34,1.758,L
2021-10-14 23:16,1.961,H
2021-10-15 06:51,0.088,L
2021-10-15 14:37,2.694,H
2021-10-15 21:14,1.494,L
2021-10-16 00:59,1.925,H
2021-10-16 07:56,0.250,L
2021-10-16 15:14,2.682,H
2021-10-16 21:45,1.218,L
2021-10-17 02:28,1.990,H
2021-10-17 08:50,0.427,L
2021-10-17 15:44,2.649,H
2021-10-17 22:11,0.941,L
2021-10-18 03:37,2.097,H
2021-10-18 09:37,0.635,L
2021-10-18 16:07,2.604,H
2021-10-18 22:36,0.673,L
2021-10-19 04:36,2.206,H
2021-10-19 10:18,0.870,L
2021-10-19 16:25,2.557,H
2021-10-19 23:01,0.424,L
2021-10-20 05:28,2.307,H
2021-10-20 10:57,1.123,L
2021-10-20 16:41,2.515,H
2021-10-20 23:28,0.206,L
2021-10-21 06:17,2.399,H
2021-10-21 11:36,1.375,L
2021-10-21 16:57,2.477,H
2021-10-21 23:57,0.034,L
2021-10-22 07:05,2.479,H
2021-10-22 12:18,1.611,L
2021-10-22 17:16,2.431,H
2021-10-23 00:29,-0.081,L
2021-10-23 07:53,2.540,H
2021-10-23 13:03,1.817,L
2021-10-23 17:36,2.369,H
2021-10-24 01:03,-0.132,L
2021-10-24 08:43,2.576,H
2021-10-24 13:57,1.979,L
2021-10-24 17:57,2.288,H
2021-10-25 01:40,-0.119,L
2021-10-25 09:38,2.587,H
2021-10-25 15:08,2.086,L
2021-10-25 18:12,2.193,H
2021-10-26 02:22,-0.054,L
2021-10-26 10:41,2.583,H
2021-10-27 03:10,0.045,L
2021-10-27 11:49,2.580,H
2021-10-28 04:05,0.156,L
2021-10-28 12:47,2.586,H
2021-10-29 05:07,0.260,L
2021-10-29 13:29,2.592,H
2021-10-29 21:15,1.684,L
2021-10-29 22:24,1.739,H
2021-10-30 06:11,0.350,L
2021-10-30 13:59,2.598,H
2021-10-30 21:03,1.498,L
2021-10-31 00:07,1.731,H
2021-10-31 07:10,0.445,L
2021-10-31 14:23,2.608,H
2021-10-31 21:03,1.223,L
