Date Time, Prediction, Type
2021-11-01 01:28,1.645,H
2021-11-01 07:17,0.650,L
2021-11-01 14:26,2.517,H
2021-11-01 20:59,0.830,L
2021-11-02 02:49,1.855,H
2021-11-02 08:13,0.859,L
2021-11-02 14:47,2.513,H
2021-11-02 21:27,0.438,L
2021-11-03 03:59,2.113,H
2021-11-03 09:08,1.113,L
2021-11-03 15:07,2.517,H
2021-11-03 22:00,0.044,L
2021-11-04 05:02,2.379,H
2021-11-04 10:01,1.396,L
2021-11-04 15:29,2.531,H
2021-11-04 22:38,-0.308,L
2021-11-05 06:03,2.612,H
2021-11-05 10:55,1.682,L
2021-11-05 15:53,2.547,H
2021-11-05 23:18,-0.576,L
2021-11-06 07:02,2.781,H
2021-11-06 11:50,1.940,L
2021-11-06 16:19,2.551,H
2021-11-07 00:02,-0.727,L
2021-11-07 08:04,2.877,H
2021-11-07 12:49,2.142,L
2021-11-07 16:48,2.522,H
2021-11-08 00:48,-0.748,L
2021-11-08 09:07,2.910,H
2021-11-08 14:02,2.257,L
2021-11-08 17:17,2.441,H
2021-11-09 01:39,-0.646,L
2021-11-09 10:10,2.897,H
2021-11-09 15:40,2.246,L
2021-11-09 17:46,2.294,H
2021-11-10 02:32,-0.445,L
2021-11-10 11:09,2.856,H
2021-11-11 03:29,-0.175,L
2021-11-11 12:01,2.800,H
2021-11-12 04:28,0.135,L
2021-11-12 12:45,2.738,H
2021-11-12 19:54,1.462,L
2021-11-12 22:54,1.541,H
2021-11-13 05:29,0.458,L
2021-11-13 13:20,2.673,H
2021-11-13 20:19,1.120,L
2021-11-14 01:07,1.564,H
2021-11-14 06:32,0.772,L
2021-11-14 13:50,2.610,H
2021-11-14 20:47,0.788,L
2021-11-15 02:34,1.715,H
2021-11-15 07:31,1.063,L
2021-11-15 14:15,2.551,H
2021-11-15 21:16,0.489,L
2021-11-16 03:44,1.914,H
2021-11-16 08:25,1.327,L
2021-11-16 14:36,2.496,H
2021-11-16 21:43,0.236,L
2021-11-17 04:43,2.123,H
2021-11-17 09:16,1.562,L
2021-11-17 14:54,2.445,H
2021-11-17 22:10,0.036,L
2021-11-18 05:34,2.316,H
2021-11-18 10:05,1.761,L
2021-11-18 15:08,2.402,H
2021-11-18 22:37,-0.110,L
2021-11-19 06:19,2.476,H
2021-11-19 10:54,1.924,L
2021-11-19 15:20,2.365,H
2021-11-19 23:05,-0.206,L
2021-11-20 07:03,2.592,H
2021-11-20 11:42,2.052,L
2021-11-20 15:33,2.332,H
2021-11-20 23:34,-0.253,L
2021-11-21 07:47,2.666,H
2021-11-21 12:33,2.147,L
2021-11-21 15:48,2.298,H
2021-11-22 00:06,-0.258,L
2021-11-22 08:33,2.703,H
2021-11-22 13:35,2.205,L
2021-11-22 15:59,2.256,H
2021-11-23 00:39,-0.225,L
2021-11-23 09:21,2.715,H
2021-11-24 01:16,-0.158,L
2021-11-24 10:07,2.713,H
2021-11-25 01:55,-0.057,L
2021-11-25 10:51,2.704,H
2021-11-26 02:38,0.082,L
2021-11-26 11:29,2.689,H
2021-11-27 03:25,0.270,L
2021-11-27 12:00,2.669,H
2021-11-28 04:16,0.513,L
2021-11-28 12:26,2.647,H
2021-11-28 19:40,1.195,L
2021-11-28 23:48,1.416,H
2021-11-29 05:14,0.809,L
2021-11-29 12:48,2.632,H
2021-11-29 19:55,0.810,L
2021-11-30 01:51,1.632,H
2021-11-30 06:19,1.136,L
2021-11-30 13:09,2.632,H
2021-11-30 20:22,0.379,L
