Date Time, Prediction, Type
2021-10-01 06:23,0.229,L
2021-10-01 14:47,2.399,H
2021-10-01 20:54,1.752,L
2021-10-01 23:10,1.796,H
2021-10-02 07:20,0.204,L
2021-10-02 15:16,2.431,H
2021-10-02 21:09,1.565,L
2021-10-03 01:05,1.816,H
2021-10-03 08:10,0.212,L
2021-10-03 15:42,2.445,H
2021-10-03 21:32,1.321,L
2021-10-04 02:24,1.905,H
2021-10-04 08:57,0.282,L
2021-10-04 16:05,2.443,H
2021-10-04 22:00,1.026,L
2021-10-05 03:33,2.027,H
2021-10-05 09:42,0.432,L
2021-10-05 16:26,2.433,H
2021-10-05 22:32,0.696,L
2021-10-06 04:38,2.166,H
2021-10-06 10:27,0.661,L
2021-10-06 16:46,2.420,H
2021-10-06 23:07,0.359,L
2021-10-07 05:41,2.303,H
2021-10-07 11:12,0.954,L
2021-10-07 17:06,2.413,H
2021-10-07 23:45,0.051,L
2021-10-08 06:44,2.416,H
2021-10-08 11:58,1.282,L
2021-10-08 17:26,2.412,H
2021-10-09 00:27,-0.192,L
2021-10-09 07:51,2.493,H
2021-10-09 12:47,1.608,L
2021-10-09 17:47,2.410,H
2021-10-10 01:13,-0.343,L
2021-10-10 09:03,2.542,H
2021-10-10 13:43,1.892,L
2021-10-10 18:11,2.391,H
2021-10-11 02:04,-0.392,L
2021-10-11 10:20,2.576,H
2021-10-11 14:53,2.091,L
2021-10-11 18:37,2.334,H
2021-10-12 03:00,-0.349,L
2021-10-12 11:37,2.605,H
2021-10-12 16:34,2.161,L
2021-10-12 19:04,2.223,H
2021-10-13 04:02,-0.236,L
2021-10-13 12:44,2.626,H
2021-10-14 05:08,-0.082,L
2021-10-14 13:36,2.626,H
2021-10-15 06:16,0.087,L
2021-10-15 14:17,2.601,H
2021-10-15 20:39,1.541,L
2021-10-16 00:30,1.753,H
2021-10-16 07:20,0.263,L
2021-10-16 14:51,2.559,H
2021-10-16 21:10,1.243,L
2021-10-17 02:03,1.804,H
2021-10-17 08:16,0.456,L
2021-10-17 15:20,2.509,H
2021-10-17 21:41,0.945,L
2021-10-18 03:16,1.902,H
2021-10-18 09:04,0.670,L
2021-10-18 15:45,2.455,H
2021-10-18 22:11,0.671,L
2021-10-19 04:18,2.018,H
2021-10-19 09:48,0.900,L
2021-10-19 16:07,2.397,H
2021-10-19 22:40,0.436,L
2021-10-20 05:14,2.138,H
2021-10-20 10:30,1.136,L
2021-10-20 16:26,2.338,H
2021-10-20 23:08,0.249,L
2021-10-21 06:05,2.249,H
2021-10-21 11:10,1.364,L
2021-10-21 16:40,2.280,H
2021-10-21 23:36,0.113,L
2021-10-22 06:54,2.338,H
2021-10-22 11:50,1.578,L
2021-10-22 16:51,2.230,H
2021-10-23 00:05,0.027,L
2021-10-23 07:44,2.401,H
2021-10-23 12:32,1.767,L
2021-10-23 17:01,2.191,H
2021-10-24 00:36,-0.010,L
2021-10-24 08:38,2.437,H
2021-10-24 13:20,1.925,L
2021-10-24 17:12,2.159,H
2021-10-25 01:10,-0.005,L
2021-10-25 09:36,2.455,H
2021-10-25 14:22,2.041,L
2021-10-25 17:20,2.127,H
2021-10-26 01:49,0.033,L
2021-10-26 10:36,2.467,H
2021-10-27 02:34,0.093,L
2021-10-27 11:36,2.483,H
2021-10-28 03:23,0.168,L
2021-10-28 12:28,2.504,H
2021-10-29 04:17,0.256,L
2021-10-29 13:08,2.521,H
2021-10-30 05:16,0.360,L
2021-10-30 13:39,2.528,H
2021-10-30 20:31,1.471,L
2021-10-30 23:17,1.545,H
2021-10-31 06:17,0.488,L
2021-10-31 14:04,2.525,H
2021-10-31 20:38,1.183,L
