Date Time, Prediction, Type
2021-10-01 06:01,0.182,L
2021-10-01 14:32,2.264,H
2021-10-01 20:34,1.670,L
2021-10-01 22:43,1.719,H
2021-10-02 06:58,0.170,L
2021-10-02 15:01,2.294,H
2021-10-02 20:50,1.507,L
2021-10-03 00:28,1.731,H
2021-10-03 07:48,0.189,L
2021-10-03 15:26,2.303,H
2021-10-03 21:12,1.286,L
2021-10-04 01:50,1.802,H
2021-10-04 08:34,0.266,L
2021-10-04 15:47,2.295,H
2021-10-04 21:39,1.010,L
2021-10-05 03:02,1.898,H
2021-10-05 09:18,0.415,L
2021-10-05 16:04,2.279,H
2021-10-05 22:10,0.694,L
2021-10-06 04:12,2.007,H
2021-10-06 10:02,0.636,L
2021-10-06 16:21,2.266,H
2021-10-06 22:45,0.365,L
2021-10-07 05:19,2.119,H
2021-10-07 10:47,0.913,L
2021-10-07 16:38,2.262,H
2021-10-07 23:24,0.059,L
2021-10-08 06:24,2.210,H
2021-10-08 11:32,1.221,L
2021-10-08 16:58,2.267,H
2021-10-09 00:05,-0.187,L
2021-10-09 07:34,2.273,H
2021-10-09 12:20,1.528,L
2021-10-09 17:21,2.270,H
2021-10-10 00:51,-0.344,L
2021-10-10 08:53,2.322,H
2021-10-10 13:14,1.796,L
2021-10-10 17:47,2.257,H
2021-10-11 01:43,-0.403,L
2021-10-11 10:12,2.371,H
2021-10-11 14:27,1.988,L
2021-10-11 18:14,2.208,H
2021-10-12 02:40,-0.372,L
2021-10-12 11:28,2.420,H
2021-10-12 16:14,2.056,L
2021-10-12 18:42,2.109,H
2021-10-13 03:41,-0.270,L
2021-10-13 12:33,2.459,H
2021-10-14 04:46,-0.120,L
2021-10-14 13:22,2.473,H
2021-10-15 05:54,0.052,L
2021-10-15 14:01,2.458,H
2021-10-15 20:17,1.490,L
2021-10-15 23:50,1.654,H
2021-10-16 06:58,0.232,L
2021-10-16 14:34,2.423,H
2021-10-16 20:49,1.213,L
2021-10-17 01:39,1.695,H
2021-10-17 07:53,0.427,L
2021-10-17 15:02,2.376,H
2021-10-17 21:20,0.934,L
2021-10-18 02:53,1.781,H
2021-10-18 08:39,0.641,L
2021-10-18 15:26,2.322,H
2021-10-18 21:51,0.671,L
2021-10-19 03:59,1.880,H
2021-10-19 09:22,0.867,L
2021-10-19 15:45,2.263,H
2021-10-19 22:20,0.439,L
2021-10-20 04:57,1.984,H
2021-10-20 10:03,1.092,L
2021-10-20 15:59,2.205,H
2021-10-20 22:47,0.248,L
2021-10-21 05:49,2.078,H
2021-10-21 10:43,1.306,L
2021-10-21 16:09,2.154,H
2021-10-21 23:15,0.103,L
2021-10-22 06:39,2.153,H
2021-10-22 11:22,1.504,L
2021-10-22 16:20,2.113,H
2021-10-22 23:43,0.007,L
2021-10-23 07:32,2.206,H
2021-10-23 12:03,1.680,L
2021-10-23 16:34,2.078,H
2021-10-24 00:14,-0.039,L
2021-10-24 08:29,2.243,H
2021-10-24 12:49,1.830,L
2021-10-24 16:50,2.045,H
2021-10-25 00:49,-0.041,L
2021-10-25 09:30,2.273,H
2021-10-25 13:54,1.943,L
2021-10-25 17:01,2.011,H
2021-10-26 01:29,-0.006,L
2021-10-26 10:31,2.303,H
2021-10-27 02:15,0.054,L
2021-10-27 11:31,2.339,H
2021-10-28 03:05,0.129,L
2021-10-28 12:20,2.376,H
2021-10-29 03:57,0.218,L
2021-10-29 12:58,2.402,H
2021-10-30 04:53,0.327,L
2021-10-30 13:26,2.412,H
2021-10-30 20:15,1.427,L
2021-10-30 22:35,1.491,H
2021-10-31 05:54,0.460,L
2021-10-31 13:48,2.406,H
2021-10-31 20:21,1.163,L
