Date Time, Prediction, Type
2021-10-01 06:28,0.212,L
2021-10-01 14:48,2.231,H
2021-10-01 20:58,1.554,L
2021-10-01 23:54,1.696,H
2021-10-02 07:24,0.176,L
2021-10-02 15:12,2.242,H
2021-10-02 21:00,1.410,L
2021-10-03 01:09,1.762,H
2021-10-03 08:12,0.159,L
2021-10-03 15:31,2.250,H
2021-10-03 21:15,1.199,L
2021-10-04 02:16,1.860,H
2021-10-04 08:56,0.196,L
2021-10-04 15:51,2.266,H
2021-10-04 21:41,0.923,L
2021-10-05 03:16,1.968,H
2021-10-05 09:36,0.307,L
2021-10-05 16:12,2.291,H
2021-10-05 22:13,0.603,L
2021-10-06 04:15,2.070,H
2021-10-06 10:17,0.495,L
2021-10-06 16:35,2.320,H
2021-10-06 22:49,0.271,L
2021-10-07 05:14,2.157,H
2021-10-07 10:58,0.750,L
2021-10-07 17:01,2.343,H
2021-10-07 23:30,-0.032,L
2021-10-08 06:15,2.222,H
2021-10-08 11:42,1.043,L
2021-10-08 17:28,2.347,H
2021-10-09 00:13,-0.268,L
2021-10-09 07:19,2.262,H
2021-10-09 12:29,1.340,L
2021-10-09 17:59,2.324,H
2021-10-10 01:00,-0.405,L
2021-10-10 08:28,2.280,H
2021-10-10 13:23,1.605,L
2021-10-10 18:32,2.264,H
2021-10-11 01:52,-0.433,L
2021-10-11 09:45,2.289,H
2021-10-11 14:30,1.800,L
2021-10-11 19:10,2.163,H
2021-10-12 02:49,-0.363,L
2021-10-12 11:10,2.312,H
2021-10-12 16:08,1.883,L
2021-10-12 19:59,2.023,H
2021-10-13 03:53,-0.229,L
2021-10-13 12:26,2.353,H
2021-10-13 18:46,1.788,L
2021-10-13 21:12,1.864,H
2021-10-14 05:02,-0.071,L
2021-10-14 13:24,2.386,H
2021-10-14 19:56,1.582,L
2021-10-14 22:48,1.738,H
2021-10-15 06:13,0.079,L
2021-10-15 14:09,2.398,H
2021-10-15 20:36,1.345,L
2021-10-16 00:31,1.706,H
2021-10-16 07:18,0.225,L
2021-10-16 14:46,2.387,H
2021-10-16 21:07,1.096,L
2021-10-17 02:00,1.764,H
2021-10-17 08:12,0.384,L
2021-10-17 15:16,2.357,H
2021-10-17 21:33,0.847,L
2021-10-18 03:09,1.860,H
2021-10-18 08:59,0.572,L
2021-10-18 15:39,2.317,H
2021-10-18 21:58,0.606,L
2021-10-19 04:08,1.958,H
2021-10-19 09:40,0.783,L
2021-10-19 15:57,2.274,H
2021-10-19 22:23,0.382,L
2021-10-20 05:00,2.049,H
2021-10-20 10:19,1.011,L
2021-10-20 16:13,2.237,H
2021-10-20 22:50,0.185,L
2021-10-21 05:49,2.132,H
2021-10-21 10:58,1.238,L
2021-10-21 16:29,2.202,H
2021-10-21 23:19,0.031,L
2021-10-22 06:37,2.204,H
2021-10-22 11:40,1.450,L
2021-10-22 16:48,2.161,H
2021-10-22 23:51,-0.073,L
2021-10-23 07:25,2.259,H
2021-10-23 12:25,1.635,L
2021-10-23 17:08,2.105,H
2021-10-24 00:25,-0.119,L
2021-10-24 08:15,2.291,H
2021-10-24 13:19,1.781,L
2021-10-24 17:29,2.032,H
2021-10-25 01:02,-0.107,L
2021-10-25 09:10,2.301,H
2021-10-25 14:30,1.877,L
2021-10-25 17:44,1.947,H
2021-10-26 01:44,-0.049,L
2021-10-26 10:13,2.298,H
2021-10-27 02:32,0.041,L
2021-10-27 11:21,2.295,H
2021-10-28 03:27,0.140,L
2021-10-28 12:19,2.300,H
2021-10-29 04:29,0.234,L
2021-10-29 13:01,2.306,H
2021-10-30 05:33,0.315,L
2021-10-30 13:31,2.311,H
2021-10-30 20:25,1.348,L
2021-10-30 23:39,1.531,H
2021-10-31 06:32,0.401,L
2021-10-31 13:55,2.320,H
2021-10-31 20:25,1.101,L
