Date Time, Prediction, Type
2021-10-01 05:50,0.155,L
2021-10-01 14:53,2.174,H
2021-10-01 20:49,1.658,L
2021-10-01 22:53,1.703,H
2021-10-02 06:45,0.160,L
2021-10-02 15:16,2.154,H
2021-10-02 20:50,1.551,L
2021-10-03 00:14,1.728,H
2021-10-03 07:32,0.192,L
2021-10-03 15:32,2.128,H
2021-10-03 20:52,1.365,L
2021-10-04 01:28,1.777,H
2021-10-04 08:13,0.275,L
2021-10-04 15:44,2.115,H
2021-10-04 21:09,1.096,L
2021-10-05 02:39,1.841,H
2021-10-05 08:53,0.422,L
2021-10-05 15:55,2.125,H
2021-10-05 21:38,0.769,L
2021-10-06 03:47,1.913,H
2021-10-06 09:32,0.636,L
2021-10-06 16:09,2.152,H
2021-10-06 22:13,0.420,L
2021-10-07 04:54,1.990,H
2021-10-07 10:14,0.905,L
2021-10-07 16:30,2.183,H
2021-10-07 22:54,0.088,L
2021-10-08 06:03,2.066,H
2021-10-08 10:59,1.202,L
2021-10-08 16:53,2.202,H
2021-10-08 23:39,-0.184,L
2021-10-09 07:15,2.134,H
2021-10-09 11:48,1.494,L
2021-10-09 17:20,2.200,H
2021-10-10 00:26,-0.363,L
2021-10-10 08:34,2.194,H
2021-10-10 12:44,1.748,L
2021-10-10 17:48,2.170,H
2021-10-11 01:18,-0.431,L
2021-10-11 09:57,2.250,H
2021-10-11 13:56,1.932,L
2021-10-11 18:17,2.105,H
2021-10-12 02:15,-0.392,L
2021-10-12 11:16,2.301,H
2021-10-13 03:17,-0.274,L
2021-10-13 12:24,2.337,H
2021-10-14 04:26,-0.116,L
2021-10-14 13:18,2.347,H
2021-10-14 19:46,1.672,L
2021-10-14 21:43,1.709,H
2021-10-15 05:36,0.051,L
2021-10-15 14:01,2.333,H
2021-10-15 20:16,1.456,L
2021-10-15 23:41,1.627,H
2021-10-16 06:40,0.223,L
2021-10-16 14:35,2.298,H
2021-10-16 20:43,1.218,L
2021-10-17 01:31,1.640,H
2021-10-17 07:34,0.411,L
2021-10-17 15:02,2.251,H
2021-10-17 21:08,0.970,L
2021-10-18 02:51,1.708,H
2021-10-18 08:20,0.623,L
2021-10-18 15:22,2.201,H
2021-10-18 21:31,0.722,L
2021-10-19 03:55,1.791,H
2021-10-19 09:01,0.852,L
2021-10-19 15:34,2.156,H
2021-10-19 21:54,0.484,L
2021-10-20 04:52,1.881,H
2021-10-20 09:41,1.088,L
2021-10-20 15:42,2.123,H
2021-10-20 22:18,0.267,L
2021-10-21 05:46,1.974,H
2021-10-21 10:22,1.318,L
2021-10-21 15:54,2.096,H
2021-10-21 22:45,0.083,L
2021-10-22 06:39,2.066,H
2021-10-22 11:08,1.529,L
2021-10-22 16:11,2.060,H
2021-10-22 23:15,-0.053,L
2021-10-23 07:33,2.148,H
2021-10-23 12:02,1.710,L
2021-10-23 16:31,2.012,H
2021-10-23 23:49,-0.132,L
2021-10-24 08:31,2.211,H
2021-10-24 13:16,1.848,L
2021-10-24 16:49,1.956,H
2021-10-25 00:26,-0.150,L
2021-10-25 09:33,2.252,H
2021-10-26 01:07,-0.111,L
2021-10-26 10:38,2.276,H
2021-10-27 01:54,-0.028,L
2021-10-27 11:40,2.288,H
2021-10-28 02:46,0.082,L
2021-10-28 12:31,2.290,H
2021-10-29 03:44,0.202,L
2021-10-29 13:09,2.276,H
2021-10-30 04:46,0.325,L
2021-10-30 13:35,2.251,H
2021-10-30 20:21,1.437,L
2021-10-30 22:44,1.506,H
2021-10-31 05:45,0.457,L
2021-10-31 13:52,2.225,H
2021-10-31 20:13,1.217,L
