Date Time, Prediction, Type
2021-10-01 06:19,0.234,L
2021-10-01 14:48,2.231,H
2021-10-01 20:49,1.710,L
2021-10-01 23:54,1.696,H
2021-10-02 07:15,0.193,L
2021-10-02 15:12,2.242,H
2021-10-02 20:51,1.551,L
2021-10-03 01:09,1.762,H
2021-10-03 08:03,0.175,L
2021-10-03 15:31,2.250,H
2021-10-03 21:06,1.319,L
2021-10-04 02:16,1.860,H
2021-10-04 08:47,0.216,L
2021-10-04 15:51,2.266,H
2021-10-04 21:32,1.015,L
2021-10-05 03:16,1.968,H
2021-10-05 09:27,0.338,L
2021-10-05 16:12,2.291,H
2021-10-05 22:04,0.663,L
2021-10-06 04:15,2.070,H
2021-10-06 10:08,0.545,L
2021-10-06 16:35,2.320,H
2021-10-06 22:40,0.298,L
2021-10-07 05:14,2.157,H
2021-10-07 10:49,0.825,L
2021-10-07 17:01,2.343,H
2021-10-07 23:21,-0.036,L
2021-10-08 06:15,2.222,H
2021-10-08 11:33,1.147,L
2021-10-08 17:28,2.347,H
2021-10-09 00:04,-0.295,L
2021-10-09 07:19,2.262,H
2021-10-09 12:20,1.474,L
2021-10-09 17:59,2.324,H
2021-10-10 00:51,-0.446,L
2021-10-10 08:28,2.280,H
2021-10-10 13:14,1.765,L
2021-10-10 18:32,2.264,H
2021-10-11 01:43,-0.476,L
2021-10-11 09:45,2.289,H
2021-10-11 14:21,1.980,L
2021-10-11 19:10,2.163,H
2021-10-12 02:40,-0.399,L
2021-10-12 11:10,2.312,H
2021-10-12 15:59,2.071,L
2021-10-12 19:59,2.023,H
2021-10-13 03:44,-0.251,L
2021-10-13 12:26,2.353,H
2021-10-13 18:37,1.967,L
2021-10-13 21:12,1.864,H
2021-10-14 04:53,-0.078,L
2021-10-14 13:24,2.386,H
2021-10-14 19:47,1.740,L
2021-10-14 22:48,1.738,H
2021-10-15 06:04,0.087,L
2021-10-15 14:09,2.398,H
2021-10-15 20:27,1.479,L
2021-10-16 00:31,1.706,H
2021-10-16 07:09,0.248,L
2021-10-16 14:46,2.387,H
2021-10-16 20:58,1.206,L
2021-10-17 02:00,1.764,H
2021-10-17 08:03,0.423,L
2021-10-17 15:16,2.357,H
2021-10-17 21:24,0.932,L
2021-10-18 03:09,1.860,H
2021-10-18 08:50,0.629,L
2021-10-18 15:39,2.317,H
2021-10-18 21:49,0.666,L
2021-10-19 04:08,1.958,H
2021-10-19 09:31,0.861,L
2021-10-19 15:57,2.274,H
2021-10-19 22:14,0.420,L
2021-10-20 05:00,2.049,H
2021-10-20 10:10,1.112,L
2021-10-20 16:13,2.237,H
2021-10-20 22:41,0.204,L
2021-10-21 05:49,2.132,H
2021-10-21 10:49,1.361,L
2021-10-21 16:29,2.202,H
2021-10-21 23:10,0.034,L
2021-10-22 06:37,2.204,H
2021-10-22 11:31,1.595,L
2021-10-22 16:48,2.161,H
2021-10-22 23:42,-0.080,L
2021-10-23 07:25,2.259,H
2021-10-23 12:16,1.799,L
2021-10-23 17:08,2.105,H
2021-10-24 00:16,-0.131,L
2021-10-24 08:15,2.291,H
2021-10-24 13:10,1.959,L
2021-10-24 17:29,2.032,H
2021-10-25 00:53,-0.118,L
2021-10-25 09:10,2.301,H
2021-10-25 14:21,2.065,L
2021-10-25 17:44,1.947,H
2021-10-26 01:35,-0.053,L
2021-10-26 10:13,2.298,H
2021-10-27 02:23,0.045,L
2021-10-27 11:21,2.295,H
2021-10-28 03:18,0.154,L
2021-10-28 12:19,2.300,H
2021-10-29 04:20,0.257,L
2021-10-29 13:01,2.306,H
2021-10-29 20:28,1.667,L
2021-10-29 21:56,1.538,H
2021-10-30 05:24,0.347,L
2021-10-30 13:31,2.311,H
2021-10-30 20:16,1.483,L
2021-10-30 23:39,1.531,H
2021-10-31 06:23,0.441,L
2021-10-31 13:55,2.320,H
2021-10-31 20:16,1.211,L
