Date Time, Prediction, Type
2021-11-01 01:05,1.557,H
2021-11-01 07:08,0.588,L
2021-11-01 14:24,2.297,H
2021-11-01 20:47,0.849,L
2021-11-02 02:35,1.706,H
2021-11-02 08:00,0.788,L
2021-11-02 14:41,2.307,H
2021-11-02 21:12,0.469,L
2021-11-03 03:49,1.908,H
2021-11-03 08:49,1.039,L
2021-11-03 14:59,2.334,H
2021-11-03 21:44,0.076,L
2021-11-04 04:57,2.128,H
2021-11-04 09:37,1.323,L
2021-11-04 15:19,2.372,H
2021-11-04 22:20,-0.281,L
2021-11-05 05:59,2.337,H
2021-11-05 10:27,1.609,L
2021-11-05 15:41,2.405,H
2021-11-05 23:01,-0.554,L
2021-11-06 06:59,2.501,H
2021-11-06 11:21,1.860,L
2021-11-06 16:08,2.415,H
2021-11-06 23:45,-0.710,L
2021-11-07 08:00,2.605,H
2021-11-07 12:21,2.047,L
2021-11-07 16:37,2.383,H
2021-11-08 00:32,-0.735,L
2021-11-08 09:03,2.649,H
2021-11-08 13:35,2.148,L
2021-11-08 17:09,2.297,H
2021-11-09 01:22,-0.635,L
2021-11-09 10:07,2.652,H
2021-11-10 02:16,-0.438,L
2021-11-10 11:08,2.628,H
2021-11-11 03:14,-0.176,L
2021-11-11 12:01,2.588,H
2021-11-12 04:17,0.117,L
2021-11-12 12:47,2.540,H
2021-11-12 19:43,1.385,L
2021-11-12 22:33,1.464,H
2021-11-13 05:20,0.422,L
2021-11-13 13:25,2.484,H
2021-11-13 20:13,1.070,L
2021-11-14 01:01,1.454,H
2021-11-14 06:24,0.724,L
2021-11-14 13:54,2.422,H
2021-11-14 20:42,0.760,L
2021-11-15 02:40,1.600,H
2021-11-15 07:25,1.016,L
2021-11-15 14:17,2.357,H
2021-11-15 21:09,0.473,L
2021-11-16 03:54,1.803,H
2021-11-16 08:20,1.293,L
2021-11-16 14:32,2.297,H
2021-11-16 21:34,0.223,L
2021-11-17 04:55,2.015,H
2021-11-17 09:09,1.546,L
2021-11-17 14:40,2.253,H
2021-11-17 21:57,0.017,L
2021-11-18 05:46,2.210,H
2021-11-18 09:58,1.763,L
2021-11-18 14:47,2.226,H
2021-11-18 22:20,-0.142,L
2021-11-19 06:30,2.368,H
2021-11-19 10:50,1.932,L
2021-11-19 14:56,2.206,H
2021-11-19 22:46,-0.250,L
2021-11-20 07:11,2.479,H
2021-11-20 11:47,2.047,L
2021-11-20 15:10,2.182,H
2021-11-20 23:15,-0.306,L
2021-11-21 07:50,2.543,H
2021-11-21 12:56,2.108,L
2021-11-21 15:21,2.146,H
2021-11-21 23:47,-0.312,L
2021-11-22 08:30,2.565,H
2021-11-23 00:22,-0.276,L
2021-11-23 09:14,2.557,H
2021-11-24 01:01,-0.202,L
2021-11-24 09:59,2.535,H
2021-11-25 01:43,-0.094,L
2021-11-25 10:42,2.508,H
2021-11-26 02:29,0.049,L
2021-11-26 11:21,2.481,H
2021-11-27 03:19,0.233,L
2021-11-27 11:53,2.458,H
2021-11-28 04:12,0.466,L
2021-11-28 12:20,2.440,H
2021-11-28 19:41,1.158,L
2021-11-28 23:24,1.354,H
2021-11-29 05:08,0.747,L
2021-11-29 12:41,2.436,H
2021-11-29 19:51,0.800,L
2021-11-30 01:40,1.493,H
2021-11-30 06:09,1.064,L
2021-11-30 13:01,2.451,H
2021-11-30 20:13,0.386,L
