Date Time, Prediction, Type
2021-11-01 01:07,1.618,H
2021-11-01 07:26,0.568,L
2021-11-01 14:15,2.339,H
2021-11-01 20:43,0.850,L
2021-11-02 02:24,1.778,H
2021-11-02 08:15,0.749,L
2021-11-02 14:38,2.371,H
2021-11-02 21:11,0.435,L
2021-11-03 03:30,1.972,H
2021-11-03 09:01,0.983,L
2021-11-03 15:02,2.409,H
2021-11-03 21:45,0.007,L
2021-11-04 04:32,2.168,H
2021-11-04 09:47,1.255,L
2021-11-04 15:28,2.444,H
2021-11-04 22:23,-0.375,L
2021-11-05 05:31,2.341,H
2021-11-05 10:34,1.537,L
2021-11-05 15:56,2.461,H
2021-11-05 23:04,-0.663,L
2021-11-06 06:29,2.469,H
2021-11-06 11:23,1.797,L
2021-11-06 16:27,2.445,H
2021-11-06 23:48,-0.819,L
2021-11-07 07:29,2.543,H
2021-11-07 12:18,2.005,L
2021-11-07 17:01,2.384,H
2021-11-08 00:36,-0.830,L
2021-11-08 08:32,2.568,H
2021-11-08 13:21,2.135,L
2021-11-08 17:40,2.270,H
2021-11-09 01:27,-0.708,L
2021-11-09 09:36,2.560,H
2021-11-09 14:46,2.162,L
2021-11-09 18:28,2.100,H
2021-11-10 02:23,-0.482,L
2021-11-10 10:41,2.538,H
2021-11-10 17:32,2.027,L
2021-11-10 19:35,1.888,H
2021-11-11 03:24,-0.194,L
2021-11-11 11:41,2.516,H
2021-11-11 18:55,1.748,L
2021-11-11 21:05,1.674,H
2021-11-12 04:29,0.117,L
2021-11-12 12:31,2.493,H
2021-11-12 19:42,1.431,L
2021-11-12 22:55,1.532,H
2021-11-13 05:36,0.422,L
2021-11-13 13:12,2.466,H
2021-11-13 20:19,1.105,L
2021-11-14 00:55,1.543,H
2021-11-14 06:40,0.717,L
2021-11-14 13:46,2.429,H
2021-11-14 20:48,0.790,L
2021-11-15 02:27,1.685,H
2021-11-15 07:36,1.002,L
2021-11-15 14:12,2.386,H
2021-11-15 21:12,0.501,L
2021-11-16 03:36,1.870,H
2021-11-16 08:27,1.276,L
2021-11-16 14:31,2.341,H
2021-11-16 21:34,0.244,L
2021-11-17 04:32,2.053,H
2021-11-17 09:13,1.532,L
2021-11-17 14:47,2.304,H
2021-11-17 21:57,0.023,L
2021-11-18 05:21,2.212,H
2021-11-18 09:58,1.754,L
2021-11-18 15:03,2.273,H
2021-11-18 22:22,-0.152,L
2021-11-19 06:05,2.339,H
2021-11-19 10:42,1.936,L
2021-11-19 15:21,2.239,H
2021-11-19 22:50,-0.275,L
2021-11-20 06:47,2.429,H
2021-11-20 11:29,2.071,L
2021-11-20 15:41,2.195,H
2021-11-20 23:21,-0.341,L
2021-11-21 07:27,2.482,H
2021-11-21 12:20,2.160,L
2021-11-21 16:01,2.136,H
2021-11-21 23:55,-0.348,L
2021-11-22 08:08,2.503,H
2021-11-22 13:19,2.206,L
2021-11-22 16:12,2.063,H
2021-11-23 00:32,-0.306,L
2021-11-23 08:50,2.498,H
2021-11-24 01:13,-0.222,L
2021-11-24 09:35,2.480,H
2021-11-25 01:58,-0.102,L
2021-11-25 10:20,2.460,H
2021-11-26 02:47,0.053,L
2021-11-26 11:01,2.442,H
2021-11-27 03:40,0.246,L
2021-11-27 11:37,2.431,H
2021-11-27 19:41,1.526,L
2021-11-27 21:37,1.437,H
2021-11-28 04:37,0.476,L
2021-11-28 12:08,2.429,H
2021-11-28 19:27,1.226,L
2021-11-28 23:29,1.415,H
2021-11-29 05:36,0.742,L
2021-11-29 12:36,2.440,H
2021-11-29 19:41,0.834,L
2021-11-30 01:17,1.543,H
2021-11-30 06:35,1.032,L
2021-11-30 13:03,2.464,H
2021-11-30 20:09,0.383,L
