Date Time, Prediction, Type
2021-10-01 06:28,0.234,L
2021-10-01 14:46,2.231,H
2021-10-01 20:58,1.710,L
2021-10-01 23:52,1.696,H
2021-10-02 07:24,0.193,L
2021-10-02 15:10,2.242,H
2021-10-02 21:00,1.551,L
2021-10-03 01:07,1.762,H
2021-10-03 08:12,0.175,L
2021-10-03 15:29,2.250,H
2021-10-03 21:15,1.319,L
2021-10-04 02:14,1.860,H
2021-10-04 08:56,0.216,L
2021-10-04 15:49,2.266,H
2021-10-04 21:41,1.015,L
2021-10-05 03:14,1.968,H
2021-10-05 09:36,0.338,L
2021-10-05 16:10,2.291,H
2021-10-05 22:13,0.663,L
2021-10-06 04:13,2.070,H
2021-10-06 10:17,0.545,L
2021-10-06 16:33,2.320,H
2021-10-06 22:49,0.298,L
2021-10-07 05:12,2.157,H
2021-10-07 10:58,0.825,L
2021-10-07 16:59,2.343,H
2021-10-07 23:30,-0.036,L
2021-10-08 06:13,2.222,H
2021-10-08 11:42,1.147,L
2021-10-08 17:26,2.347,H
2021-10-09 00:13,-0.295,L
2021-10-09 07:17,2.262,H
2021-10-09 12:29,1.474,L
2021-10-09 17:57,2.324,H
2021-10-10 01:00,-0.446,L
2021-10-10 08:26,2.280,H
2021-10-10 13:23,1.765,L
2021-10-10 18:30,2.264,H
2021-10-11 01:52,-0.476,L
2021-10-11 09:43,2.289,H
2021-10-11 14:30,1.980,L
2021-10-11 19:08,2.163,H
2021-10-12 02:49,-0.399,L
2021-10-12 11:08,2.312,H
2021-10-12 16:08,2.071,L
2021-10-12 19:57,2.023,H
2021-10-13 03:53,-0.251,L
2021-10-13 12:24,2.353,H
2021-10-13 18:46,1.967,L
2021-10-13 21:10,1.864,H
2021-10-14 05:02,-0.078,L
2021-10-14 13:22,2.386,H
2021-10-14 19:56,1.740,L
2021-10-14 22:46,1.738,H
2021-10-15 06:13,0.087,L
2021-10-15 14:07,2.398,H
2021-10-15 20:36,1.479,L
2021-10-16 00:29,1.706,H
2021-10-16 07:18,0.248,L
2021-10-16 14:44,2.387,H
2021-10-16 21:07,1.206,L
2021-10-17 01:58,1.764,H
2021-10-17 08:12,0.423,L
2021-10-17 15:14,2.357,H
2021-10-17 21:33,0.932,L
2021-10-18 03:07,1.860,H
2021-10-18 08:59,0.629,L
2021-10-18 15:37,2.317,H
2021-10-18 21:58,0.666,L
2021-10-19 04:06,1.958,H
2021-10-19 09:40,0.861,L
2021-10-19 15:55,2.274,H
2021-10-19 22:23,0.420,L
2021-10-20 04:58,2.049,H
2021-10-20 10:19,1.112,L
2021-10-20 16:11,2.237,H
2021-10-20 22:50,0.204,L
2021-10-21 05:47,2.132,H
2021-10-21 10:58,1.361,L
2021-10-21 16:27,2.202,H
2021-10-21 23:19,0.034,L
2021-10-22 06:35,2.204,H
2021-10-22 11:40,1.595,L
2021-10-22 16:46,2.161,H
2021-10-22 23:51,-0.080,L
2021-10-23 07:23,2.259,H
2021-10-23 12:25,1.799,L
2021-10-23 17:06,2.105,H
2021-10-24 00:25,-0.131,L
2021-10-24 08:13,2.291,H
2021-10-24 13:19,1.959,L
2021-10-24 17:27,2.032,H
2021-10-25 01:02,-0.118,L
2021-10-25 09:08,2.301,H
2021-10-25 14:30,2.065,L
2021-10-25 17:42,1.947,H
2021-10-26 01:44,-0.053,L
2021-10-26 10:11,2.298,H
2021-10-27 02:32,0.045,L
2021-10-27 11:19,2.295,H
2021-10-28 03:27,0.154,L
2021-10-28 12:17,2.300,H
2021-10-29 04:29,0.257,L
2021-10-29 12:59,2.306,H
2021-10-29 20:37,1.667,L
2021-10-29 21:54,1.538,H
2021-10-30 05:33,0.347,L
2021-10-30 13:29,2.311,H
2021-10-30 20:25,1.483,L
2021-10-30 23:37,1.531,H
2021-10-31 06:32,0.441,L
2021-10-31 13:53,2.320,H
2021-10-31 20:25,1.211,L
