Date Time, Prediction, Type
2021-11-01 00:48,1.557,H
2021-11-01 06:53,0.607,L
2021-11-01 14:04,2.375,H
2021-11-01 20:37,0.829,L
2021-11-02 02:21,1.732,H
2021-11-02 07:48,0.809,L
2021-11-02 14:20,2.370,H
2021-11-02 21:04,0.447,L
2021-11-03 03:37,1.958,H
2021-11-03 08:41,1.053,L
2021-11-03 14:38,2.377,H
2021-11-03 21:37,0.060,L
2021-11-04 04:43,2.194,H
2021-11-04 09:33,1.325,L
2021-11-04 15:00,2.395,H
2021-11-04 22:14,-0.289,L
2021-11-05 05:45,2.401,H
2021-11-05 10:26,1.600,L
2021-11-05 15:25,2.414,H
2021-11-05 22:55,-0.557,L
2021-11-06 06:47,2.554,H
2021-11-06 11:19,1.852,L
2021-11-06 15:53,2.421,H
2021-11-06 23:39,-0.711,L
2021-11-07 07:52,2.648,H
2021-11-07 12:19,2.052,L
2021-11-07 16:22,2.397,H
2021-11-08 00:26,-0.737,L
2021-11-08 08:57,2.693,H
2021-11-08 13:34,2.169,L
2021-11-08 16:52,2.327,H
2021-11-09 01:17,-0.644,L
2021-11-09 10:01,2.701,H
2021-11-10 02:11,-0.452,L
2021-11-10 11:00,2.685,H
2021-11-11 03:07,-0.191,L
2021-11-11 11:50,2.651,H
2021-11-12 04:05,0.113,L
2021-11-12 12:31,2.604,H
2021-11-12 19:33,1.430,L
2021-11-12 21:52,1.477,H
2021-11-13 05:05,0.429,L
2021-11-13 13:05,2.548,H
2021-11-13 19:59,1.110,L
2021-11-14 00:46,1.482,H
2021-11-14 06:07,0.734,L
2021-11-14 13:33,2.487,H
2021-11-14 20:27,0.794,L
2021-11-15 02:15,1.622,H
2021-11-15 07:04,1.017,L
2021-11-15 13:55,2.426,H
2021-11-15 20:56,0.503,L
2021-11-16 03:27,1.803,H
2021-11-16 07:57,1.272,L
2021-11-16 14:12,2.370,H
2021-11-16 21:23,0.253,L
2021-11-17 04:26,1.991,H
2021-11-17 08:46,1.495,L
2021-11-17 14:23,2.324,H
2021-11-17 21:49,0.051,L
2021-11-18 05:17,2.161,H
2021-11-18 09:34,1.685,L
2021-11-18 14:34,2.289,H
2021-11-18 22:15,-0.102,L
2021-11-19 06:04,2.300,H
2021-11-19 10:20,1.840,L
2021-11-19 14:49,2.260,H
2021-11-19 22:42,-0.203,L
2021-11-20 06:49,2.403,H
2021-11-20 11:07,1.964,L
2021-11-20 15:07,2.230,H
2021-11-20 23:11,-0.255,L
2021-11-21 07:36,2.473,H
2021-11-21 11:58,2.061,L
2021-11-21 15:25,2.196,H
2021-11-21 23:43,-0.262,L
2021-11-22 08:24,2.515,H
2021-11-22 13:05,2.125,L
2021-11-22 15:35,2.160,H
2021-11-23 00:17,-0.228,L
2021-11-23 09:13,2.541,H
2021-11-24 00:55,-0.159,L
2021-11-24 10:01,2.557,H
2021-11-25 01:35,-0.057,L
2021-11-25 10:45,2.565,H
2021-11-26 02:19,0.081,L
2021-11-26 11:22,2.562,H
2021-11-27 03:05,0.263,L
2021-11-27 11:50,2.547,H
2021-11-28 03:55,0.496,L
2021-11-28 12:10,2.527,H
2021-11-28 19:26,1.197,L
2021-11-28 22:57,1.367,H
2021-11-29 04:52,0.776,L
2021-11-29 12:25,2.513,H
2021-11-29 19:37,0.828,L
2021-11-30 01:27,1.536,H
2021-11-30 05:55,1.084,L
2021-11-30 12:41,2.518,H
2021-11-30 20:01,0.407,L
