Date Time, Prediction, Type
2021-11-01 00:52,1.616,H
2021-11-01 06:48,0.627,L
2021-11-01 14:09,2.349,H
2021-11-01 20:30,0.865,L
2021-11-02 02:19,1.759,H
2021-11-02 07:39,0.818,L
2021-11-02 14:22,2.374,H
2021-11-02 20:51,0.468,L
2021-11-03 03:33,1.949,H
2021-11-03 08:27,1.060,L
2021-11-03 14:36,2.425,H
2021-11-03 21:21,0.047,L
2021-11-04 04:40,2.155,H
2021-11-04 09:13,1.337,L
2021-11-04 14:55,2.485,H
2021-11-04 21:57,-0.338,L
2021-11-05 05:43,2.350,H
2021-11-05 10:00,1.623,L
2021-11-05 15:18,2.532,H
2021-11-05 22:37,-0.634,L
2021-11-06 06:44,2.508,H
2021-11-06 10:50,1.883,L
2021-11-06 15:46,2.543,H
2021-11-06 23:20,-0.802,L
2021-11-07 07:47,2.614,H
2021-11-07 11:47,2.086,L
2021-11-07 16:16,2.500,H
2021-11-08 00:06,-0.824,L
2021-11-08 08:50,2.669,H
2021-11-08 12:57,2.205,L
2021-11-08 16:49,2.393,H
2021-11-09 00:56,-0.711,L
2021-11-09 09:54,2.682,H
2021-11-09 15:17,2.195,L
2021-11-09 17:24,2.221,H
2021-11-10 01:50,-0.488,L
2021-11-10 10:55,2.669,H
2021-11-11 02:48,-0.195,L
2021-11-11 11:49,2.637,H
2021-11-12 03:52,0.128,L
2021-11-12 12:35,2.594,H
2021-11-12 19:14,1.407,L
2021-11-12 22:18,1.522,H
2021-11-13 05:00,0.450,L
2021-11-13 13:13,2.542,H
2021-11-13 19:48,1.089,L
2021-11-14 00:50,1.527,H
2021-11-14 06:09,0.756,L
2021-11-14 13:43,2.483,H
2021-11-14 20:19,0.781,L
2021-11-15 02:27,1.677,H
2021-11-15 07:12,1.045,L
2021-11-15 14:05,2.425,H
2021-11-15 20:47,0.497,L
2021-11-16 03:40,1.875,H
2021-11-16 08:07,1.318,L
2021-11-16 14:18,2.375,H
2021-11-16 21:12,0.247,L
2021-11-17 04:40,2.075,H
2021-11-17 08:56,1.571,L
2021-11-17 14:23,2.347,H
2021-11-17 21:34,0.036,L
2021-11-18 05:32,2.253,H
2021-11-18 09:42,1.792,L
2021-11-18 14:29,2.337,H
2021-11-18 21:57,-0.133,L
2021-11-19 06:18,2.397,H
2021-11-19 10:28,1.971,L
2021-11-19 14:43,2.324,H
2021-11-19 22:21,-0.254,L
2021-11-20 07:00,2.500,H
2021-11-20 11:19,2.101,L
2021-11-20 15:02,2.291,H
2021-11-20 22:50,-0.320,L
2021-11-21 07:41,2.564,H
2021-11-21 12:32,2.179,L
2021-11-21 15:20,2.236,H
2021-11-21 23:22,-0.330,L
2021-11-22 08:23,2.591,H
2021-11-22 23:59,-0.288,L
2021-11-23 09:07,2.592,H
2021-11-24 00:39,-0.203,L
2021-11-24 09:54,2.578,H
2021-11-25 01:23,-0.082,L
2021-11-25 10:38,2.557,H
2021-11-26 02:09,0.074,L
2021-11-26 11:17,2.535,H
2021-11-27 02:59,0.267,L
2021-11-27 11:48,2.512,H
2021-11-28 03:53,0.503,L
2021-11-28 12:11,2.494,H
2021-11-28 19:33,1.180,L
2021-11-28 23:12,1.393,H
2021-11-29 04:50,0.781,L
2021-11-29 12:28,2.493,H
2021-11-29 19:37,0.824,L
2021-11-30 01:28,1.525,H
2021-11-30 05:50,1.088,L
2021-11-30 12:44,2.520,H
2021-11-30 19:54,0.395,L
