Date Time, Prediction, Type
2021-11-01 06:13,0.521,L
2021-11-01 13:13,2.180,H
2021-11-01 19:45,0.879,L
2021-11-02 01:13,1.610,H
2021-11-02 07:02,0.706,L
2021-11-02 13:30,2.228,H
2021-11-02 20:10,0.490,L
2021-11-03 02:28,1.763,H
2021-11-03 07:48,0.940,L
2021-11-03 13:52,2.288,H
2021-11-03 20:44,0.085,L
2021-11-04 03:38,1.937,H
2021-11-04 08:33,1.207,L
2021-11-04 14:16,2.348,H
2021-11-04 21:22,-0.282,L
2021-11-05 04:45,2.104,H
2021-11-05 09:18,1.480,L
2021-11-05 14:43,2.391,H
2021-11-05 22:04,-0.564,L
2021-11-06 05:51,2.241,H
2021-11-06 10:06,1.728,L
2021-11-06 15:11,2.401,H
2021-11-06 22:48,-0.727,L
2021-11-07 06:57,2.333,H
2021-11-07 10:58,1.926,L
2021-11-07 15:39,2.365,H
2021-11-07 23:36,-0.759,L
2021-11-08 08:07,2.380,H
2021-11-08 12:00,2.052,L
2021-11-08 16:07,2.275,H
2021-11-09 00:28,-0.670,L
2021-11-09 09:17,2.395,H
2021-11-09 13:24,2.087,L
2021-11-09 16:16,2.130,H
2021-11-10 01:23,-0.486,L
2021-11-10 10:22,2.389,H
2021-11-11 02:21,-0.238,L
2021-11-11 11:16,2.370,H
2021-11-12 03:22,0.046,L
2021-11-12 11:59,2.339,H
2021-11-12 19:04,1.391,L
2021-11-12 21:11,1.448,H
2021-11-13 04:24,0.345,L
2021-11-13 12:34,2.302,H
2021-11-13 19:32,1.096,L
2021-11-13 23:41,1.375,H
2021-11-14 05:25,0.644,L
2021-11-14 12:59,2.262,H
2021-11-14 19:59,0.805,L
2021-11-15 01:44,1.481,H
2021-11-15 06:23,0.937,L
2021-11-15 13:14,2.229,H
2021-11-15 20:22,0.531,L
2021-11-16 03:02,1.652,H
2021-11-16 07:16,1.214,L
2021-11-16 13:22,2.212,H
2021-11-16 20:43,0.286,L
2021-11-17 04:05,1.835,H
2021-11-17 08:03,1.466,L
2021-11-17 13:34,2.210,H
2021-11-17 21:03,0.075,L
2021-11-18 04:58,2.001,H
2021-11-18 08:45,1.681,L
2021-11-18 13:51,2.207,H
2021-11-18 21:26,-0.093,L
2021-11-19 05:44,2.136,H
2021-11-19 09:26,1.850,L
2021-11-19 14:10,2.191,H
2021-11-19 21:53,-0.211,L
2021-11-20 06:25,2.234,H
2021-11-20 10:07,1.973,L
2021-11-20 14:27,2.159,H
2021-11-20 22:23,-0.273,L
2021-11-21 07:05,2.296,H
2021-11-21 10:51,2.052,L
2021-11-21 14:19,2.118,H
2021-11-21 22:58,-0.281,L
2021-11-22 07:45,2.326,H
2021-11-22 23:36,-0.244,L
2021-11-23 08:29,2.333,H
2021-11-24 00:18,-0.173,L
2021-11-24 09:16,2.329,H
2021-11-25 01:02,-0.074,L
2021-11-25 10:01,2.321,H
2021-11-26 01:49,0.053,L
2021-11-26 10:37,2.311,H
2021-11-27 02:37,0.216,L
2021-11-27 11:02,2.302,H
2021-11-28 03:26,0.424,L
2021-11-28 11:20,2.301,H
2021-11-28 19:19,1.182,L
2021-11-28 22:12,1.293,H
2021-11-29 04:18,0.677,L
2021-11-29 11:38,2.320,H
2021-11-29 18:58,0.845,L
2021-11-30 00:14,1.368,H
2021-11-30 05:13,0.966,L
2021-11-30 11:59,2.361,H
2021-11-30 19:15,0.427,L
