Date Time, Prediction, Type
2021-11-01 00:07,1.261,H
2021-11-01 06:19,0.485,L
2021-11-01 13:34,1.883,H
2021-11-01 19:58,0.700,L
2021-11-02 01:44,1.379,H
2021-11-02 07:12,0.657,L
2021-11-02 13:45,1.898,H
2021-11-02 20:27,0.378,L
2021-11-03 03:05,1.538,H
2021-11-03 08:02,0.864,L
2021-11-03 14:02,1.928,H
2021-11-03 21:02,0.055,L
2021-11-04 04:17,1.709,H
2021-11-04 08:52,1.093,L
2021-11-04 14:24,1.966,H
2021-11-04 21:42,-0.235,L
2021-11-05 05:23,1.864,H
2021-11-05 09:41,1.323,L
2021-11-05 14:50,2.002,H
2021-11-05 22:24,-0.456,L
2021-11-06 06:27,1.981,H
2021-11-06 10:32,1.529,L
2021-11-06 15:18,2.023,H
2021-11-06 23:09,-0.583,L
2021-11-07 07:34,2.056,H
2021-11-07 11:25,1.692,L
2021-11-07 15:48,2.013,H
2021-11-07 23:56,-0.604,L
2021-11-08 08:41,2.097,H
2021-11-08 12:25,1.794,L
2021-11-08 16:18,1.959,H
2021-11-09 00:47,-0.527,L
2021-11-09 09:45,2.113,H
2021-11-09 13:49,1.817,L
2021-11-09 16:40,1.852,H
2021-11-10 01:41,-0.371,L
2021-11-10 10:41,2.110,H
2021-11-11 02:37,-0.162,L
2021-11-11 11:29,2.092,H
2021-11-12 03:33,0.079,L
2021-11-12 12:09,2.064,H
2021-11-12 19:12,1.207,L
2021-11-12 21:10,1.240,H
2021-11-13 04:29,0.333,L
2021-11-13 12:41,2.031,H
2021-11-13 19:35,0.940,L
2021-11-14 00:12,1.200,H
2021-11-14 05:25,0.583,L
2021-11-14 13:07,1.994,H
2021-11-14 20:02,0.678,L
2021-11-15 01:47,1.300,H
2021-11-15 06:20,0.818,L
2021-11-15 13:26,1.959,H
2021-11-15 20:28,0.438,L
2021-11-16 02:59,1.433,H
2021-11-16 07:10,1.030,L
2021-11-16 13:38,1.929,H
2021-11-16 20:53,0.230,L
2021-11-17 04:01,1.574,H
2021-11-17 07:56,1.217,L
2021-11-17 13:47,1.909,H
2021-11-17 21:17,0.061,L
2021-11-18 04:55,1.706,H
2021-11-18 08:40,1.378,L
2021-11-18 14:00,1.894,H
2021-11-18 21:42,-0.068,L
2021-11-19 05:44,1.815,H
2021-11-19 09:25,1.511,L
2021-11-19 14:17,1.878,H
2021-11-19 22:10,-0.157,L
2021-11-20 06:31,1.897,H
2021-11-20 10:11,1.618,L
2021-11-20 14:35,1.858,H
2021-11-20 22:41,-0.203,L
2021-11-21 07:20,1.953,H
2021-11-21 10:57,1.701,L
2021-11-21 14:47,1.835,H
2021-11-21 23:14,-0.212,L
2021-11-22 08:12,1.990,H
2021-11-22 11:48,1.763,L
2021-11-22 14:30,1.817,H
2021-11-22 23:50,-0.186,L
2021-11-23 09:03,2.016,H
2021-11-24 00:28,-0.130,L
2021-11-24 09:52,2.034,H
2021-11-25 01:10,-0.047,L
2021-11-25 10:35,2.042,H
2021-11-26 01:54,0.065,L
2021-11-26 11:09,2.039,H
2021-11-27 02:41,0.211,L
2021-11-27 11:32,2.025,H
2021-11-28 03:31,0.397,L
2021-11-28 11:45,2.011,H
2021-11-28 19:11,1.024,L
2021-11-28 22:13,1.121,H
2021-11-29 04:23,0.622,L
2021-11-29 11:53,2.014,H
2021-11-29 19:03,0.718,L
2021-11-30 00:56,1.220,H
2021-11-30 05:21,0.876,L
2021-11-30 12:08,2.040,H
2021-11-30 19:27,0.363,L
