Year,Month,Day,net_move,Tide_Station
2021,10,01,3.3089999999999997,TWC1165
2021,10,02,4.928,TWC1165
2021,10,03,5.745000000000001,TWC1165
2021,10,04,6.417999999999999,TWC1165
2021,10,05,7.0889999999999995,TWC1165
2021,10,06,7.654999999999999,TWC1165
2021,10,07,8.024000000000001,TWC1165
2021,10,08,8.126999999999999,TWC1165
2021,10,09,4.99,TWC1165
2021,10,10,7.507000000000001,TWC1165
2021,10,11,7.01,TWC1165
2021,10,12,6.485999999999999,TWC1165
2021,10,13,6.168999999999999,TWC1165
2021,10,14,6.029999999999999,TWC1165
2021,10,15,5.578,TWC1165
2021,10,16,5.957000000000001,TWC1165
2021,10,17,6.203,TWC1165
2021,10,18,6.444999999999999,TWC1165
2021,10,19,6.607,TWC1165
2021,10,20,6.686,TWC1165
2021,10,21,6.689,TWC1165
2021,10,22,6.586,TWC1165
2021,10,23,6.356,TWC1165
2021,10,24,3.6820000000000004,TWC1165
2021,10,25,5.725,TWC1165
2021,10,26,4.7219999999999995,TWC1165
2021,10,27,4.9190000000000005,TWC1165
2021,10,28,4.715999999999999,TWC1165
2021,10,29,5.626,TWC1165
2021,10,30,4.976,TWC1165
2021,10,31,4.776,TWC1165
