Year,Month,Day,net_move,Tide_Station
2021,11,01,4.9670000000000005,9449161
2021,11,02,6.301,9449161
2021,11,03,7.185,9449161
2021,11,04,7.981,9449161
2021,11,05,8.557,9449161
2021,11,06,5.348000000000001,9449161
2021,11,07,8.725000000000001,9449161
2021,11,08,8.462,9449161
2021,11,09,7.989999999999999,9449161
2021,11,10,6.451,9449161
2021,11,11,6.593999999999999,9449161
2021,11,12,7.487,9449161
2021,11,13,5.407,9449161
2021,11,14,5.516,9449161
2021,11,15,5.767,9449161
2021,11,16,6.090999999999999,9449161
2021,11,17,6.381,9449161
2021,11,18,6.594000000000001,9449161
2021,11,19,6.699000000000001,9449161
2021,11,20,6.692,9449161
2021,11,21,3.925,9449161
2021,11,22,5.844,9449161
2021,11,23,6.329000000000001,9449161
2021,11,24,6.198,9449161
2021,11,25,5.975,9449161
2021,11,26,5.654999999999999,9449161
2021,11,27,5.223000000000001,9449161
2021,11,28,6.576,9449161
2021,11,29,4.638,9449161
2021,11,30,5.518999999999999,9449161
