Date_Time (LST/LDT), Event, Speed (knots)
2020-01-01 00:14, ebb,-0.9
2020-01-01 04:54, slack,-
2020-01-01 08:08, flood,0.8
2020-01-01 11:14, slack,-
2020-01-01 15:14, ebb,-0.6
2020-01-01 19:44, ebb,-0.3
2020-01-02 00:56, ebb,-0.7
2020-01-02 05:30, slack,-
2020-01-02 08:50, flood,0.7
2020-01-02 11:38, slack,-
2020-01-02 15:50, ebb,-0.8
2020-01-02 20:56, ebb,-0.2
2020-01-03 01:44, ebb,-0.4
2020-01-03 06:00, slack,-
2020-01-03 09:32, flood,0.6
2020-01-03 12:02, slack,-
2020-01-03 16:26, ebb,-1.0
2020-01-03 22:26, ebb,-0.1
2020-01-04 03:02, ebb,-0.2
2020-01-04 06:24, slack,-
2020-01-04 10:14, flood,0.5
2020-01-04 12:20, slack,-
2020-01-04 17:02, ebb,-1.1
2020-01-04 22:48, slack,-
2020-01-05 01:02, flood,0.1
2020-01-05 02:20, slack,-
2020-01-05 04:38, ebb,-0.1
2020-01-05 07:00, slack,-
2020-01-05 10:56, flood,0.4
2020-01-05 12:44, slack,-
2020-01-05 17:32, ebb,-1.3
2020-01-05 22:48, slack,-
2020-01-06 01:32, flood,0.4
2020-01-06 04:20, slack,-
2020-01-06 08:00, slack,-
2020-01-06 11:38, flood,0.3
2020-01-06 13:02, slack,-
2020-01-06 18:08, ebb,-1.5
2020-01-06 23:06, slack,-
2020-01-07 01:56, flood,0.6
2020-01-07 05:20, slack,-
2020-01-07 09:18, slack,-
2020-01-07 12:32, flood,0.2
2020-01-07 13:26, slack,-
2020-01-07 18:44, ebb,-1.6
2020-01-07 23:30, slack,-
2020-01-08 02:26, flood,0.9
2020-01-08 06:02, slack,-
2020-01-08 08:02, ebb,-0.1
2020-01-08 11:12, slack,-
2020-01-08 13:26, flood,0.1
2020-01-08 13:50, slack,-
2020-01-08 19:14, ebb,-1.7
2020-01-09 00:00, slack,-
2020-01-09 03:02, flood,1.1
2020-01-09 06:44, slack,-
2020-01-09 08:56, ebb,-0.2
2020-01-09 12:54, slack,-
2020-01-09 14:20, slack,-
2020-01-09 19:56, ebb,-1.8
2020-01-10 00:36, slack,-
2020-01-10 03:38, flood,1.2
2020-01-10 07:20, slack,-
2020-01-10 09:56, ebb,-0.3
2020-01-10 14:06, slack,-
2020-01-10 20:32, ebb,-1.8
2020-01-11 01:12, slack,-
2020-01-11 04:20, flood,1.3
2020-01-11 08:02, slack,-
2020-01-11 10:50, ebb,-0.3
2020-01-11 15:06, slack,-
2020-01-11 21:14, ebb,-1.7
2020-01-12 01:54, slack,-
2020-01-12 05:02, flood,1.4
2020-01-12 08:38, slack,-
2020-01-12 11:38, ebb,-0.4
2020-01-12 16:12, slack,-
2020-01-12 22:02, ebb,-1.6
2020-01-13 02:36, slack,-
2020-01-13 05:44, flood,1.3
2020-01-13 09:14, slack,-
2020-01-13 12:32, ebb,-0.5
2020-01-13 16:50, slack,-
2020-01-13 22:50, ebb,-1.5
2020-01-14 03:18, slack,-
2020-01-14 06:32, flood,1.3
2020-01-14 09:44, slack,-
2020-01-14 13:20, ebb,-0.7
2020-01-14 17:56, slack,-
2020-01-14 23:44, ebb,-1.2
2020-01-15 04:00, slack,-
2020-01-15 07:14, flood,1.1
2020-01-15 10:14, slack,-
2020-01-15 14:02, ebb,-0.8
2020-01-15 19:12, slack,-
2020-01-16 00:38, ebb,-0.9
2020-01-16 04:48, slack,-
2020-01-16 08:02, flood,1.0
2020-01-16 10:44, slack,-
2020-01-16 14:50, ebb,-1.0
2020-01-16 19:48, slack,-
2020-01-16 20:50, flood,0.1
2020-01-16 21:14, slack,-
2020-01-17 01:50, ebb,-0.7
2020-01-17 05:36, slack,-
2020-01-17 08:50, flood,0.8
2020-01-17 11:14, slack,-
2020-01-17 15:38, ebb,-1.2
2020-01-17 20:30, slack,-
2020-01-17 22:08, flood,0.3
2020-01-17 23:50, slack,-
2020-01-18 03:20, ebb,-0.4
2020-01-18 06:30, slack,-
2020-01-18 09:38, flood,0.6
2020-01-18 11:38, slack,-
2020-01-18 16:26, ebb,-1.4
2020-01-18 21:12, slack,-
2020-01-18 23:32, flood,0.5
2020-01-19 02:14, slack,-
2020-01-19 04:56, ebb,-0.3
2020-01-19 07:48, slack,-
2020-01-19 10:32, flood,0.4
2020-01-19 12:08, slack,-
2020-01-19 17:08, ebb,-1.5
2020-01-19 21:48, slack,-
2020-01-20 00:50, flood,0.7
2020-01-20 03:56, slack,-
2020-01-20 06:14, ebb,-0.3
2020-01-20 09:36, slack,-
2020-01-20 11:32, flood,0.2
2020-01-20 12:32, slack,-
2020-01-20 17:56, ebb,-1.6
2020-01-20 22:30, slack,-
2020-01-21 01:44, flood,1.0
2020-01-21 05:08, slack,-
2020-01-21 07:38, ebb,-0.3
2020-01-21 11:24, slack,-
2020-01-21 12:56, slack,-
2020-01-21 18:38, ebb,-1.7
2020-01-21 23:12, slack,-
2020-01-22 02:26, flood,1.1
2020-01-22 05:56, slack,-
2020-01-22 08:50, ebb,-0.4
2020-01-22 13:00, slack,-
2020-01-22 19:20, ebb,-1.7
2020-01-22 23:54, slack,-
2020-01-23 03:08, flood,1.3
2020-01-23 06:44, slack,-
2020-01-23 09:56, ebb,-0.4
2020-01-23 13:50, slack,-
2020-01-23 20:02, ebb,-1.6
2020-01-24 00:36, slack,-
2020-01-24 03:50, flood,1.3
2020-01-24 07:26, slack,-
2020-01-24 10:38, ebb,-0.4
2020-01-24 14:32, slack,-
2020-01-24 20:38, ebb,-1.6
2020-01-25 01:18, slack,-
2020-01-25 04:26, flood,1.3
2020-01-25 08:02, slack,-
2020-01-25 11:20, ebb,-0.4
2020-01-25 15:14, slack,-
2020-01-25 21:20, ebb,-1.5
2020-01-26 02:00, slack,-
2020-01-26 05:02, flood,1.2
2020-01-26 08:38, slack,-
2020-01-26 11:50, ebb,-0.4
2020-01-26 15:56, slack,-
2020-01-26 22:02, ebb,-1.4
2020-01-27 02:42, slack,-
2020-01-27 05:38, flood,1.1
2020-01-27 09:02, slack,-
2020-01-27 12:14, ebb,-0.5
2020-01-27 16:38, slack,-
2020-01-27 22:38, ebb,-1.2
2020-01-28 03:18, slack,-
2020-01-28 06:14, flood,1.0
2020-01-28 09:26, slack,-
2020-01-28 12:50, ebb,-0.5
2020-01-28 17:20, slack,-
2020-01-28 23:14, ebb,-1.0
2020-01-29 03:48, slack,-
2020-01-29 06:50, flood,0.9
2020-01-29 09:44, slack,-
2020-01-29 13:26, ebb,-0.7
2020-01-29 18:14, slack,-
2020-01-29 23:44, ebb,-0.8
2020-01-30 04:18, slack,-
2020-01-30 07:26, flood,0.8
2020-01-30 10:08, slack,-
2020-01-30 14:02, ebb,-0.8
2020-01-30 19:14, slack,-
2020-01-31 00:20, ebb,-0.6
2020-01-31 04:42, slack,-
2020-01-31 08:08, flood,0.7
2020-01-31 10:26, slack,-
2020-01-31 14:38, ebb,-0.9
2020-01-31 20:14, slack,-
2020-02-01 01:08, ebb,-0.4
2020-02-01 05:06, slack,-
2020-02-01 08:44, flood,0.6
2020-02-01 10:44, slack,-
2020-02-01 15:20, ebb,-1.1
2020-02-01 20:48, slack,-
2020-02-01 22:32, slack,-
2020-02-02 02:08, ebb,-0.2
2020-02-02 05:30, slack,-
2020-02-02 09:20, flood,0.4
2020-02-02 11:08, slack,-
2020-02-02 16:02, ebb,-1.2
2020-02-02 21:12, slack,-
2020-02-02 23:02, flood,0.2
2020-02-03 01:50, slack,-
2020-02-03 06:12, slack,-
2020-02-03 10:02, flood,0.3
