Date_Time (LST/LDT), Event, Speed (knots)
2020-01-01 01:12, ebb,-0.9
2020-01-01 04:42, slack,-
2020-01-01 07:18, flood,0.5
2020-01-01 11:12, slack,-
2020-01-01 15:00, ebb,-0.8
2020-01-01 19:42, ebb,-0.4
2020-01-02 01:48, ebb,-0.8
2020-01-02 05:18, slack,-
2020-01-02 07:54, flood,0.5
2020-01-02 11:48, slack,-
2020-01-02 15:36, ebb,-0.8
2020-01-02 20:36, ebb,-0.4
2020-01-03 02:24, ebb,-0.7
2020-01-03 05:54, slack,-
2020-01-03 08:24, flood,0.3
2020-01-03 12:18, slack,-
2020-01-03 16:18, ebb,-0.9
2020-01-03 23:06, ebb,-0.3
2020-01-04 02:54, ebb,-0.5
2020-01-04 06:36, slack,-
2020-01-04 09:06, flood,0.2
2020-01-04 12:42, slack,-
2020-01-04 17:00, ebb,-0.9
2020-01-04 23:48, ebb,-0.2
2020-01-05 03:48, ebb,-0.4
2020-01-05 07:24, slack,-
2020-01-05 11:00, flood,0.1
2020-01-05 12:54, slack,-
2020-01-05 17:42, ebb,-1.0
2020-01-06 00:30, slack,-
2020-01-06 05:06, ebb,-0.3
2020-01-06 10:12, slack,-
2020-01-06 12:48, slack,-
2020-01-06 18:24, ebb,-1.2
2020-01-06 23:36, slack,-
2020-01-07 01:00, flood,0.1
2020-01-07 02:54, slack,-
2020-01-07 06:06, ebb,-0.1
2020-01-07 08:24, slack,-
2020-01-07 11:54, slack,-
2020-01-07 19:18, ebb,-1.3
2020-01-07 23:54, slack,-
2020-01-08 01:48, flood,0.3
2020-01-08 05:18, slack,-
2020-01-08 10:12, ebb,-0.1
2020-01-08 12:42, slack,-
2020-01-08 20:12, ebb,-1.4
2020-01-09 00:24, slack,-
2020-01-09 02:30, flood,0.4
2020-01-09 07:24, slack,-
2020-01-09 10:12, ebb,-0.2
2020-01-09 13:36, slack,-
2020-01-09 21:00, ebb,-1.5
2020-01-10 00:54, slack,-
2020-01-10 03:06, flood,0.5
2020-01-10 07:54, slack,-
2020-01-10 10:30, ebb,-0.3
2020-01-10 14:18, slack,-
