Year,Month,Day,Amplitude,Station
2019,10,01,3.9,PUG1708
2019,10,02,4.5,PUG1708
2019,10,03,4.4,PUG1708
2019,10,04,4.3,PUG1708
2019,10,05,3.8,PUG1708
2019,10,06,3.4000000000000004,PUG1708
2019,10,07,2.9,PUG1708
2019,10,08,2.8,PUG1708
2019,10,09,2.7,PUG1708
2019,10,10,2.8,PUG1708
2019,10,11,2.9000000000000004,PUG1708
2019,10,12,3.1,PUG1708
2019,10,13,3.2,PUG1708
2019,10,14,3.1,PUG1708
2019,10,15,2.7,PUG1708
2019,10,16,3.8,PUG1708
2019,10,17,4,PUG1708
2019,10,18,4,PUG1708
2019,10,19,3.9000000000000004,PUG1708
2019,10,20,3.7,PUG1708
2019,10,21,3.3,PUG1708
2019,10,22,3,PUG1708
2019,10,23,2.9000000000000004,PUG1708
2019,10,24,3,PUG1708
2019,10,25,3.2,PUG1708
2019,10,26,3.5999999999999996,PUG1708
2019,10,27,3.7,PUG1708
2019,10,28,4.4,PUG1708
2019,10,29,4.9,PUG1708
2019,10,30,5.1,PUG1708
2019,10,31,4.3,PUG1708
2019,11,01,4.9,PUG1708
2019,11,02,4.300000000000001,PUG1708
2019,11,03,3.5999999999999996,PUG1708
2019,11,04,3,PUG1708
2019,11,05,2.5,PUG1708
2019,11,06,2.4000000000000004,PUG1708
2019,11,07,2.5,PUG1708
2019,11,08,2.7,PUG1708
2019,11,09,3,PUG1708
2019,11,10,3.0999999999999996,PUG1708
2019,11,11,3.5999999999999996,PUG1708
2019,11,12,4.2,PUG1708
2019,11,13,4.7,PUG1708
2019,11,14,5,PUG1708
2019,11,15,4.9,PUG1708
2019,11,16,4.699999999999999,PUG1708
2019,11,17,4.2,PUG1708
2019,11,18,2.7,PUG1708
2019,11,19,3.4,PUG1708
2019,11,20,2.9000000000000004,PUG1708
2019,11,21,2.8,PUG1708
2019,11,22,3,PUG1708
2019,11,23,3.2,PUG1708
2019,11,24,3.7,PUG1708
2019,11,25,4.4,PUG1708
2019,11,26,5,PUG1708
2019,11,27,5.4,PUG1708
2019,11,28,5.4,PUG1708
2019,11,29,5.1,PUG1708
2019,11,30,4.5,PUG1708
2019,12,01,3.5,PUG1708
2019,12,02,3.5,PUG1708
2019,12,03,2.9,PUG1708
2019,12,04,2.6,PUG1708
2019,12,05,2.7,PUG1708
2019,12,06,2.7,PUG1708
2019,12,07,2.7,PUG1708
2019,12,08,2.8,PUG1708
2019,12,09,3.6,PUG1708
2019,12,10,4.5,PUG1708
2019,12,11,5.1,PUG1708
2019,12,12,5.5,PUG1708
2019,12,13,5.6,PUG1708
2019,12,14,5.4,PUG1708
2019,12,15,5,PUG1708
2019,12,16,4.4,PUG1708
2019,12,17,3.0999999999999996,PUG1708
2019,12,18,3.5,PUG1708
2019,12,19,3,PUG1708
2019,12,20,2.9,PUG1708
2019,12,21,2.9,PUG1708
2019,12,22,3.4,PUG1708
2019,12,23,4.1,PUG1708
2019,12,24,4.800000000000001,PUG1708
2019,12,25,5.2,PUG1708
2019,12,26,5.3,PUG1708
2019,12,27,5.1,PUG1708
2019,12,28,4.7,PUG1708
2019,12,29,4.2,PUG1708
2019,12,30,3.7,PUG1708
2019,12,31,3.1,PUG1708
