Year,Month,Day,Amplitude,Station
2020,10,01,2.3,PCT1966
2020,10,02,2.2,PCT1966
2020,10,03,2.1,PCT1966
2020,10,04,2.3,PCT1966
2020,10,05,2.5,PCT1966
2020,10,06,1.7000000000000002,PCT1966
2020,10,07,2.6,PCT1966
2020,10,08,2.5,PCT1966
2020,10,09,2.5,PCT1966
2020,10,10,2.3,PCT1966
2020,10,11,2.2,PCT1966
2020,10,12,2.2,PCT1966
2020,10,13,2.4000000000000004,PCT1966
2020,10,14,2.5,PCT1966
2020,10,15,2.5,PCT1966
2020,10,16,2.8,PCT1966
2020,10,17,3.2,PCT1966
2020,10,18,3.6,PCT1966
2020,10,19,3.9,PCT1966
2020,10,20,3.8,PCT1966
2020,10,21,2.8000000000000003,PCT1966
2020,10,22,3.5,PCT1966
2020,10,23,3,PCT1966
2020,10,24,2.5,PCT1966
2020,10,25,2.2,PCT1966
2020,10,26,2,PCT1966
2020,10,27,1.9000000000000001,PCT1966
2020,10,28,1.9,PCT1966
2020,10,29,2,PCT1966
2020,10,30,2.1,PCT1966
2020,10,31,2.5,PCT1966
2020,11,01,2.8,PCT1966
2020,11,02,3.1,PCT1966
2020,11,03,3.3,PCT1966
2020,11,04,3.2,PCT1966
2020,11,05,3.1,PCT1966
2020,11,06,2,PCT1966
2020,11,07,2.8,PCT1966
2020,11,08,2.5,PCT1966
2020,11,09,2.3,PCT1966
2020,11,10,2.1,PCT1966
2020,11,11,2.2,PCT1966
2020,11,12,2.4000000000000004,PCT1966
2020,11,13,2.7,PCT1966
2020,11,14,3.5,PCT1966
2020,11,15,4.1,PCT1966
2020,11,16,4.4,PCT1966
2020,11,17,4.4,PCT1966
2020,11,18,4.300000000000001,PCT1966
2020,11,19,3.9,PCT1966
2020,11,20,2.8000000000000003,PCT1966
2020,11,21,2.9000000000000004,PCT1966
2020,11,22,2.4,PCT1966
2020,11,23,2,PCT1966
2020,11,24,1.9,PCT1966
2020,11,25,1.8,PCT1966
2020,11,26,1.9,PCT1966
2020,11,27,2.2,PCT1966
2020,11,28,2.7,PCT1966
2020,11,29,3,PCT1966
2020,11,30,3.3,PCT1966
2020,12,01,3.5,PCT1966
2020,12,02,3.7,PCT1966
2020,12,03,3.6,PCT1966
2020,12,04,3.5,PCT1966
2020,12,05,3.2,PCT1966
2020,12,06,2.3,PCT1966
2020,12,07,2.6,PCT1966
2020,12,08,2.3,PCT1966
2020,12,09,2.3,PCT1966
2020,12,10,2.4,PCT1966
2020,12,11,2.6,PCT1966
2020,12,12,3.4000000000000004,PCT1966
2020,12,13,4,PCT1966
2020,12,14,4.4,PCT1966
2020,12,15,4.699999999999999,PCT1966
2020,12,16,4.5,PCT1966
2020,12,17,4.2,PCT1966
2020,12,18,3.8,PCT1966
2020,12,19,3.3000000000000003,PCT1966
2020,12,20,2.5,PCT1966
2020,12,21,2.3,PCT1966
2020,12,22,2.1,PCT1966
2020,12,23,1.9,PCT1966
2020,12,24,1.7999999999999998,PCT1966
2020,12,25,1.9,PCT1966
2020,12,26,2.4,PCT1966
2020,12,27,2.8,PCT1966
2020,12,28,3.2,PCT1966
2020,12,29,3.5,PCT1966
2020,12,30,3.7,PCT1966
2020,12,31,3.8000000000000003,PCT1966
