point,longitude,latitude,grid_id,left_bound,top_bound,right_bound,bottom_bound
5258,-123.2002764,48.72208626,1,484958.5416,5397096.821,485958.5416,5396096.821
5259,-123.1935436,48.72208626,1,484958.5416,5397096.821,485958.5416,5396096.821
5330,-123.2002764,48.72658616,1,484958.5416,5397096.821,485958.5416,5396096.821
5331,-123.1935436,48.72658616,1,484958.5416,5397096.821,485958.5416,5396096.821
5114,-123.2002764,48.71308648,2,484958.5416,5396096.821,485958.5416,5395096.821
5115,-123.1935436,48.71308648,2,484958.5416,5396096.821,485958.5416,5395096.821
5186,-123.2002764,48.71758637,2,484958.5416,5396096.821,485958.5416,5395096.821
5187,-123.1935436,48.71758637,2,484958.5416,5396096.821,485958.5416,5395096.821
4970,-123.2002764,48.70408669,3,484958.5416,5395096.821,485958.5416,5394096.821
4971,-123.1935436,48.70408669,3,484958.5416,5395096.821,485958.5416,5394096.821
5042,-123.2002764,48.70858658,3,484958.5416,5395096.821,485958.5416,5394096.821
5043,-123.1935436,48.70858658,3,484958.5416,5395096.821,485958.5416,5394096.821
4826,-123.2002764,48.6950869,4,484958.5416,5394096.821,485958.5416,5393096.821
4827,-123.1935436,48.6950869,4,484958.5416,5394096.821,485958.5416,5393096.821
4898,-123.2002764,48.6995868,4,484958.5416,5394096.821,485958.5416,5393096.821
4899,-123.1935436,48.6995868,4,484958.5416,5394096.821,485958.5416,5393096.821
4682,-123.2002764,48.68608712,5,484958.5416,5393096.821,485958.5416,5392096.821
4683,-123.1935436,48.68608712,5,484958.5416,5393096.821,485958.5416,5392096.821
4754,-123.2002764,48.69058701,5,484958.5416,5393096.821,485958.5416,5392096.821
4755,-123.1935436,48.69058701,5,484958.5416,5393096.821,485958.5416,5392096.821
4538,-123.2002764,48.67708733,6,484958.5416,5392096.821,485958.5416,5391096.821
4539,-123.1935436,48.67708733,6,484958.5416,5392096.821,485958.5416,5391096.821
4610,-123.2002764,48.68158723,6,484958.5416,5392096.821,485958.5416,5391096.821
4611,-123.1935436,48.68158723,6,484958.5416,5392096.821,485958.5416,5391096.821
