Date,Station,ObsTemp,ObsSalt
2017-10-03,N,11.1744,29.034300000000002
2017-10-03,S,11.0054,30.2634
2017-10-10,N,10.7027,29.7609
2017-10-10,S,10.1144,31.1907
2017-10-19,N,10.0385,30.799
2017-10-24,N,9.8823,31.1091
2017-10-24,S,9.995,31.2633
2017-10-31,N,9.9699,28.9391
2017-10-31,S,9.9854,30.2145
2017-11-07,N,9.3791,30.5538
2017-11-07,S,9.0527,31.2972
2017-11-16,N,9.11,30.9555
2017-11-16,S,9.0302,31.1721
2018-10-02,N,10.9532,30.1833
2018-10-02,S,10.9468,30.677
2018-10-11,N,10.5011,30.0539
2018-10-11,N,10.6542,30.246
2018-10-11,S,10.1065,31.2808
2018-10-16,N,11.087,28.8436
2018-10-16,N,11.0187,29.4449
2018-10-16,S,10.5294,30.9646
2018-10-23,N,10.39,30.2389
2018-10-23,N,10.3256,30.4773
2018-10-23,S,10.4205,30.6032
2018-10-30,N,9.9189,31.1851
2018-10-30,N,10.0585,30.9125
2018-10-30,S,10.025,31.2325
2018-11-06,N,9.9449,30.867
2018-11-06,N,10.0165,30.9095
2018-11-06,S,9.9937,31.158
2019-10-12,N,10.6902,29.6213
2019-10-12,S,10.4618,30.6697
2019-10-19,N,10.0837,30.9051
2019-10-19,S,9.9213,31.1349
2019-10-23,N,10.0263,31.4226
2019-10-23,S,10.2864,30.8845
2019-10-30,N,10.0044,30.031
2019-10-30,N,9.8365,30.1729
2019-11-05,N,9.938,29.3683
2019-11-05,N,9.8422,30.2707
2020-10-08,N,11.5242,28.3206
2020-10-08,N,11.1247,29.1353
2020-10-08,N,11.5916,28.3167
2020-10-15,N,10.2834,30.4835
2020-10-15,N,10.2534,30.7631
2020-10-15,S,10.3672,30.7125
2020-10-20,N,10.2935,29.5337
2020-10-20,N,10.2982,30.1982
2020-10-20,S,10.0267,31.0804
2020-10-26,N,9.7976,29.9763
2020-10-26,N,9.8429,30.3453
2020-10-26,S,9.7983,30.365
2020-11-02,N,9.8346,29.8275
2020-11-02,N,9.8355,30.0771
2020-11-02,S,9.7053,30.731
2020-11-10,N,9.2335,28.4766
2020-11-10,N,9.5171,28.2706
2020-11-10,S,9.1307,29.89
2021-10-07,N,10.309,30.0563
2021-10-07,N,10.6499,30.2651
2021-10-12,N,10.4456,29.2604
2021-10-12,S,10.1292,31.1413
2021-10-19,N,10.1141,30.8022
2021-10-19,S,10.0473,30.7752
2021-10-26,N,9.8923,30.9859
2021-10-26,N,9.8959,30.7487
2021-10-26,S,9.8819,31.2495
2021-11-02,N,9.8955,29.0327
2021-11-02,S,9.8722,29.8177
2021-11-11,N,9.667,30.4858
2021-11-11,S,9.6359,30.4644
