"","station","location","latitude","longitude"
"1","9449746","Waldron Island",48.6868,-123.0376
"2","9449834","Roche Harbor",48.61,-123.155
"3","9449828","Mosquito Pass",48.5817,-123.17
"4","9449856","Kanaka Bay",48.485,-123.083
"5","9449712","Sucia Island",48.7567,-122.897
"6","9449880","Friday Harbor",48.5453,-123.0129
"7","9449904","Shaw Island",48.585,-122.928
"8","9449982","R. Lopez Island",48.4467,-122.9
"9","9449798","Orcas Island",48.6,-122.95
"10","9449911","H. Lopez Island",48.5717,-122.885
"11","9449771","ES. Orcas Island",48.6467,-122.87
"12","9449161","Lummi Island",48.7167,-122.708
"13","9448918","TP Cypress",48.5867,-122.748
"14","TWC1165","Peavine Pass",48.6,-122.8
"15","9448876","SB Cypress Island",48.565,-122.722
"16","9449932","Armitage Island",48.535,-122.797
"17","9448772","SH Fidalgo Island",48.5067,-122.677
"18","9448683","Allen Island",48.46,-122.695
"19","9449988","TB Lopez Island",48.4433,-122.805
"20","9449994","AB Lopez Island",48.425,-122.853
