Date Time, Prediction, Type
2017-10-01 06:24,0.359,L
2017-10-01 14:27,2.282,H
2017-10-01 19:56,1.236,L
2017-10-02 00:57,1.843,H
2017-10-02 07:11,0.351,L
2017-10-02 14:49,2.305,H
2017-10-02 20:15,1.068,L
2017-10-03 01:57,1.945,H
2017-10-03 07:54,0.367,L
2017-10-03 15:10,2.332,H
2017-10-03 20:40,0.859,L
2017-10-04 02:51,2.057,H
2017-10-04 08:34,0.424,L
2017-10-04 15:34,2.365,H
2017-10-04 21:09,0.619,L
2017-10-05 03:43,2.164,H
2017-10-05 09:14,0.528,L
2017-10-05 16:00,2.396,H
2017-10-05 21:44,0.367,L
2017-10-06 04:35,2.254,H
2017-10-06 09:55,0.681,L
2017-10-06 16:29,2.417,H
2017-10-06 22:22,0.130,L
2017-10-07 05:29,2.320,H
2017-10-07 10:37,0.871,L
2017-10-07 17:00,2.421,H
2017-10-07 23:04,-0.065,L
2017-10-08 06:26,2.357,H
2017-10-08 11:23,1.082,L
2017-10-08 17:34,2.398,H
2017-10-08 23:49,-0.195,L
2017-10-09 07:27,2.367,H
2017-10-09 12:14,1.289,L
2017-10-09 18:12,2.344,H
2017-10-10 00:39,-0.247,L
2017-10-10 08:34,2.361,H
2017-10-10 13:14,1.464,L
2017-10-10 18:54,2.254,H
2017-10-11 01:34,-0.220,L
2017-10-11 09:47,2.358,H
2017-10-11 14:28,1.573,L
2017-10-11 19:45,2.133,H
2017-10-12 02:34,-0.131,L
2017-10-12 11:04,2.379,H
2017-10-12 16:03,1.575,L
2017-10-12 20:50,1.995,H
2017-10-13 03:40,-0.008,L
2017-10-13 12:12,2.423,H
2017-10-13 17:43,1.450,L
2017-10-13 22:11,1.879,H
2017-10-14 04:50,0.123,L
2017-10-14 13:06,2.464,H
2017-10-14 18:49,1.248,L
2017-10-14 23:44,1.840,H
2017-10-15 05:56,0.252,L
2017-10-15 13:50,2.490,H
2017-10-15 19:34,1.017,L
2017-10-16 01:13,1.896,H
2017-10-16 06:55,0.387,L
2017-10-16 14:27,2.493,H
2017-10-16 20:10,0.781,L
2017-10-17 02:26,2.004,H
2017-10-17 07:47,0.539,L
2017-10-17 14:58,2.476,H
2017-10-17 20:43,0.558,L
2017-10-18 03:26,2.119,H
2017-10-18 08:33,0.708,L
2017-10-18 15:24,2.442,H
2017-10-18 21:14,0.358,L
2017-10-19 04:19,2.216,H
2017-10-19 09:16,0.891,L
2017-10-19 15:48,2.400,H
2017-10-19 21:46,0.194,L
2017-10-20 05:08,2.291,H
2017-10-20 09:58,1.074,L
2017-10-20 16:11,2.350,H
2017-10-20 22:19,0.070,L
2017-10-21 05:56,2.347,H
2017-10-21 10:40,1.250,L
2017-10-21 16:35,2.292,H
2017-10-21 22:53,-0.004,L
2017-10-22 06:42,2.380,H
2017-10-22 11:26,1.407,L
2017-10-22 17:02,2.220,H
2017-10-22 23:29,-0.029,L
2017-10-23 07:30,2.394,H
2017-10-23 12:18,1.536,L
2017-10-23 17:31,2.132,H
2017-10-24 00:08,-0.005,L
2017-10-24 08:20,2.390,H
2017-10-24 13:19,1.629,L
2017-10-24 18:04,2.026,H
2017-10-25 00:50,0.061,L
2017-10-25 09:14,2.376,H
2017-10-25 14:47,1.665,L
2017-10-25 18:43,1.909,H
2017-10-26 01:36,0.158,L
2017-10-26 10:14,2.361,H
2017-10-26 17:06,1.612,L
2017-10-26 19:31,1.787,H
2017-10-27 02:28,0.270,L
2017-10-27 11:13,2.356,H
2017-10-27 18:16,1.499,L
2017-10-27 20:37,1.673,H
2017-10-28 03:27,0.381,L
2017-10-28 12:01,2.360,H
2017-10-28 18:52,1.364,L
2017-10-28 21:58,1.600,H
2017-10-29 04:28,0.478,L
2017-10-29 12:39,2.369,H
2017-10-29 19:11,1.205,L
2017-10-29 23:25,1.605,H
2017-10-30 05:28,0.562,L
2017-10-30 13:09,2.385,H
2017-10-30 19:24,1.005,L
2017-10-31 00:48,1.699,H
2017-10-31 06:22,0.648,L
2017-10-31 13:36,2.411,H
2017-10-31 19:43,0.756,L
