Date Time, Prediction, Type
2017-11-01 02:07,1.819,H
2017-11-01 07:38,0.867,L
2017-11-01 14:12,2.394,H
2017-11-01 20:35,0.541,L
2017-11-02 03:07,2.002,H
2017-11-02 08:24,1.012,L
2017-11-02 14:40,2.430,H
2017-11-02 21:07,0.187,L
2017-11-03 04:01,2.185,H
2017-11-03 09:09,1.184,L
2017-11-03 15:10,2.463,H
2017-11-03 21:43,-0.147,L
2017-11-04 04:54,2.346,H
2017-11-04 09:55,1.375,L
2017-11-04 15:42,2.478,H
2017-11-04 22:23,-0.419,L
2017-11-05 05:48,2.472,H
2017-11-05 10:42,1.567,L
2017-11-05 16:17,2.466,H
2017-11-05 23:06,-0.597,L
2017-11-06 06:43,2.553,H
2017-11-06 11:34,1.739,L
2017-11-06 16:55,2.414,H
2017-11-06 23:52,-0.657,L
2017-11-07 07:40,2.591,H
2017-11-07 12:32,1.870,L
2017-11-07 17:38,2.316,H
2017-11-08 00:41,-0.597,L
2017-11-08 08:39,2.597,H
2017-11-08 13:40,1.932,L
2017-11-08 18:28,2.168,H
2017-11-09 01:34,-0.428,L
2017-11-09 09:40,2.586,H
2017-11-09 15:08,1.893,L
2017-11-09 19:29,1.981,H
2017-11-10 02:32,-0.180,L
2017-11-10 10:41,2.572,H
2017-11-10 17:01,1.716,L
2017-11-10 20:46,1.787,H
2017-11-11 03:35,0.115,L
2017-11-11 11:37,2.561,H
2017-11-11 18:22,1.434,L
2017-11-11 22:20,1.643,H
2017-11-12 04:41,0.420,L
2017-11-12 12:27,2.550,H
2017-11-12 19:14,1.120,L
2017-11-13 00:12,1.630,H
2017-11-13 05:48,0.710,L
2017-11-13 13:08,2.531,H
2017-11-13 19:53,0.811,L
2017-11-14 01:49,1.759,H
2017-11-14 06:50,0.976,L
2017-11-14 13:43,2.501,H
2017-11-14 20:25,0.527,L
2017-11-15 03:00,1.944,H
2017-11-15 07:46,1.219,L
2017-11-15 14:13,2.460,H
2017-11-15 20:53,0.283,L
2017-11-16 03:58,2.122,H
2017-11-16 08:36,1.438,L
2017-11-16 14:38,2.413,H
2017-11-16 21:20,0.080,L
2017-11-17 04:47,2.272,H
2017-11-17 09:22,1.629,L
2017-11-17 15:01,2.366,H
2017-11-17 21:48,-0.078,L
2017-11-18 05:32,2.385,H
2017-11-18 10:07,1.786,L
2017-11-18 15:24,2.316,H
2017-11-18 22:18,-0.185,L
2017-11-19 06:13,2.465,H
2017-11-19 10:52,1.908,L
2017-11-19 15:49,2.258,H
2017-11-19 22:51,-0.239,L
2017-11-20 06:53,2.512,H
2017-11-20 11:40,1.994,L
2017-11-20 16:18,2.186,H
2017-11-20 23:25,-0.240,L
2017-11-21 07:31,2.533,H
2017-11-21 12:33,2.043,L
2017-11-21 16:49,2.095,H
2017-11-22 00:02,-0.190,L
2017-11-22 08:11,2.535,H
2017-11-22 13:38,2.050,L
2017-11-22 17:24,1.986,H
2017-11-23 00:42,-0.093,L
2017-11-23 08:51,2.524,H
2017-11-23 15:20,2.000,L
2017-11-23 18:04,1.860,H
2017-11-24 01:24,0.044,L
2017-11-24 09:32,2.505,H
2017-11-24 17:26,1.867,L
2017-11-24 18:56,1.721,H
2017-11-25 02:10,0.216,L
2017-11-25 10:14,2.487,H
2017-11-25 18:14,1.691,L
2017-11-25 20:08,1.581,H
2017-11-26 03:00,0.416,L
2017-11-26 10:53,2.473,H
2017-11-26 18:37,1.483,L
2017-11-26 21:34,1.479,H
2017-11-27 03:56,0.635,L
2017-11-27 11:30,2.467,H
2017-11-27 18:48,1.227,L
2017-11-27 23:11,1.464,H
2017-11-28 04:56,0.864,L
2017-11-28 12:05,2.474,H
2017-11-28 19:06,0.910,L
2017-11-29 00:51,1.576,H
2017-11-29 05:56,1.088,L
2017-11-29 12:38,2.493,H
2017-11-29 19:32,0.542,L
2017-11-30 02:14,1.791,H
2017-11-30 06:53,1.304,L
2017-11-30 13:10,2.524,H
2017-11-30 20:04,0.147,L
