Date Time, Prediction, Type
2017-11-01 02:20,1.839,H
2017-11-01 07:50,0.808,L
2017-11-01 14:25,2.420,H
2017-11-01 20:47,0.504,L
2017-11-02 03:20,2.024,H
2017-11-02 08:36,0.942,L
2017-11-02 14:53,2.456,H
2017-11-02 21:19,0.174,L
2017-11-03 04:14,2.208,H
2017-11-03 09:21,1.103,L
2017-11-03 15:23,2.489,H
2017-11-03 21:55,-0.137,L
2017-11-04 05:07,2.372,H
2017-11-04 10:07,1.281,L
2017-11-04 15:55,2.505,H
2017-11-04 22:35,-0.390,L
2017-11-05 06:01,2.499,H
2017-11-05 10:54,1.459,L
2017-11-05 16:30,2.493,H
2017-11-05 23:18,-0.556,L
2017-11-06 06:56,2.580,H
2017-11-06 11:46,1.620,L
2017-11-06 17:08,2.440,H
2017-11-07 00:04,-0.612,L
2017-11-07 07:53,2.619,H
2017-11-07 12:44,1.741,L
2017-11-07 17:51,2.341,H
2017-11-08 00:53,-0.556,L
2017-11-08 08:52,2.625,H
2017-11-08 13:52,1.799,L
2017-11-08 18:41,2.191,H
2017-11-09 01:46,-0.399,L
2017-11-09 09:53,2.614,H
2017-11-09 15:20,1.763,L
2017-11-09 19:42,2.002,H
2017-11-10 02:44,-0.167,L
2017-11-10 10:54,2.600,H
2017-11-10 17:13,1.598,L
2017-11-10 20:59,1.806,H
2017-11-11 03:47,0.107,L
2017-11-11 11:50,2.589,H
2017-11-11 18:34,1.336,L
2017-11-11 22:33,1.661,H
2017-11-12 04:53,0.391,L
2017-11-12 12:40,2.577,H
2017-11-12 19:26,1.043,L
2017-11-13 00:25,1.648,H
2017-11-13 06:00,0.661,L
2017-11-13 13:21,2.559,H
2017-11-13 20:05,0.755,L
2017-11-14 02:02,1.778,H
2017-11-14 07:02,0.909,L
2017-11-14 13:56,2.528,H
2017-11-14 20:37,0.491,L
2017-11-15 03:13,1.965,H
2017-11-15 07:58,1.135,L
2017-11-15 14:26,2.486,H
2017-11-15 21:05,0.263,L
2017-11-16 04:11,2.145,H
2017-11-16 08:48,1.340,L
2017-11-16 14:51,2.439,H
2017-11-16 21:32,0.074,L
2017-11-17 05:00,2.296,H
2017-11-17 09:34,1.517,L
2017-11-17 15:14,2.391,H
2017-11-17 22:00,-0.072,L
2017-11-18 05:45,2.411,H
2017-11-18 10:19,1.663,L
2017-11-18 15:37,2.341,H
2017-11-18 22:30,-0.172,L
2017-11-19 06:26,2.491,H
2017-11-19 11:04,1.777,L
2017-11-19 16:02,2.282,H
2017-11-19 23:03,-0.222,L
2017-11-20 07:06,2.539,H
2017-11-20 11:52,1.857,L
2017-11-20 16:31,2.210,H
2017-11-20 23:37,-0.223,L
2017-11-21 07:44,2.561,H
2017-11-21 12:45,1.903,L
2017-11-21 17:02,2.118,H
2017-11-22 00:14,-0.177,L
2017-11-22 08:24,2.562,H
2017-11-22 13:50,1.909,L
2017-11-22 17:37,2.008,H
2017-11-23 00:54,-0.086,L
2017-11-23 09:04,2.551,H
2017-11-23 15:32,1.863,L
2017-11-23 18:17,1.880,H
2017-11-24 01:36,0.041,L
2017-11-24 09:45,2.532,H
2017-11-25 02:22,0.201,L
2017-11-25 10:27,2.514,H
2017-11-26 03:12,0.388,L
2017-11-26 11:06,2.499,H
2017-11-26 18:49,1.381,L
2017-11-26 21:47,1.495,H
2017-11-27 04:08,0.592,L
2017-11-27 11:43,2.494,H
2017-11-27 19:00,1.143,L
2017-11-27 23:24,1.480,H
2017-11-28 05:08,0.805,L
2017-11-28 12:18,2.500,H
2017-11-28 19:18,0.847,L
2017-11-29 01:04,1.593,H
2017-11-29 06:08,1.014,L
2017-11-29 12:51,2.520,H
2017-11-29 19:44,0.504,L
2017-11-30 02:27,1.810,H
2017-11-30 07:05,1.214,L
2017-11-30 13:23,2.551,H
2017-11-30 20:16,0.137,L
