Date Time, Prediction, Type
2017-10-01 00:10,1.757,H
2017-10-01 07:02,0.388,L
2017-10-01 14:49,2.258,H
2017-10-01 20:34,1.335,L
2017-10-02 01:19,1.824,H
2017-10-02 07:49,0.379,L
2017-10-02 15:11,2.280,H
2017-10-02 20:53,1.153,L
2017-10-03 02:19,1.924,H
2017-10-03 08:32,0.396,L
2017-10-03 15:32,2.308,H
2017-10-03 21:18,0.927,L
2017-10-04 03:13,2.035,H
2017-10-04 09:12,0.458,L
2017-10-04 15:56,2.340,H
2017-10-04 21:47,0.668,L
2017-10-05 04:05,2.141,H
2017-10-05 09:52,0.570,L
2017-10-05 16:22,2.371,H
2017-10-05 22:22,0.396,L
2017-10-06 04:57,2.231,H
2017-10-06 10:33,0.735,L
2017-10-06 16:51,2.391,H
2017-10-06 23:00,0.141,L
2017-10-07 05:51,2.295,H
2017-10-07 11:15,0.941,L
2017-10-07 17:22,2.395,H
2017-10-07 23:42,-0.070,L
2017-10-08 06:48,2.332,H
2017-10-08 12:01,1.168,L
2017-10-08 17:56,2.373,H
2017-10-09 00:27,-0.211,L
2017-10-09 07:49,2.342,H
2017-10-09 12:52,1.392,L
2017-10-09 18:34,2.319,H
2017-10-10 01:17,-0.267,L
2017-10-10 08:56,2.336,H
2017-10-10 13:52,1.581,L
2017-10-10 19:16,2.231,H
2017-10-11 02:12,-0.238,L
2017-10-11 10:09,2.333,H
2017-10-11 15:06,1.699,L
2017-10-11 20:07,2.110,H
2017-10-12 03:12,-0.142,L
2017-10-12 11:26,2.354,H
2017-10-12 16:41,1.701,L
2017-10-12 21:12,1.974,H
2017-10-13 04:18,-0.009,L
2017-10-13 12:34,2.397,H
2017-10-13 18:21,1.566,L
2017-10-13 22:33,1.859,H
2017-10-14 05:28,0.133,L
2017-10-14 13:28,2.438,H
2017-10-14 19:27,1.347,L
2017-10-15 00:06,1.821,H
2017-10-15 06:34,0.272,L
2017-10-15 14:12,2.464,H
2017-10-15 20:12,1.098,L
2017-10-16 01:35,1.876,H
2017-10-16 07:33,0.418,L
2017-10-16 14:49,2.467,H
2017-10-16 20:48,0.844,L
2017-10-17 02:48,1.983,H
2017-10-17 08:25,0.581,L
2017-10-17 15:20,2.450,H
2017-10-17 21:21,0.602,L
2017-10-18 03:48,2.096,H
2017-10-18 09:11,0.765,L
2017-10-18 15:46,2.417,H
2017-10-18 21:52,0.387,L
2017-10-19 04:41,2.193,H
2017-10-19 09:54,0.961,L
2017-10-19 16:10,2.374,H
2017-10-19 22:24,0.209,L
2017-10-20 05:30,2.267,H
2017-10-20 10:36,1.160,L
2017-10-20 16:33,2.326,H
2017-10-20 22:57,0.076,L
2017-10-21 06:18,2.322,H
2017-10-21 11:18,1.349,L
2017-10-21 16:57,2.268,H
2017-10-21 23:31,-0.005,L
2017-10-22 07:04,2.355,H
2017-10-22 12:04,1.519,L
2017-10-22 17:24,2.197,H
2017-10-23 00:07,-0.031,L
2017-10-23 07:52,2.369,H
2017-10-23 12:56,1.659,L
2017-10-23 17:53,2.109,H
2017-10-24 00:46,-0.006,L
2017-10-24 08:42,2.365,H
2017-10-24 13:57,1.758,L
2017-10-24 18:26,2.005,H
2017-10-25 01:28,0.066,L
2017-10-25 09:36,2.351,H
2017-10-25 15:25,1.797,L
2017-10-25 19:05,1.889,H
2017-10-26 02:14,0.170,L
2017-10-26 10:36,2.336,H
2017-10-26 17:44,1.740,L
2017-10-26 19:53,1.768,H
2017-10-27 03:06,0.292,L
2017-10-27 11:35,2.331,H
2017-10-27 18:54,1.618,L
2017-10-27 20:59,1.655,H
2017-10-28 04:05,0.411,L
2017-10-28 12:23,2.335,H
2017-10-28 19:30,1.473,L
2017-10-28 22:20,1.583,H
2017-10-29 05:06,0.516,L
2017-10-29 13:01,2.344,H
2017-10-29 19:49,1.301,L
2017-10-29 23:47,1.588,H
2017-10-30 06:06,0.607,L
2017-10-30 13:31,2.360,H
2017-10-30 20:02,1.085,L
2017-10-31 01:10,1.681,H
2017-10-31 07:00,0.699,L
2017-10-31 13:58,2.386,H
2017-10-31 20:21,0.816,L
