Date Time, Prediction, Type
2017-10-01 00:16,1.764,H
2017-10-01 07:18,0.371,L
2017-10-01 14:51,2.456,H
2017-10-01 20:59,1.391,L
2017-10-02 01:32,1.829,H
2017-10-02 08:07,0.372,L
2017-10-02 15:21,2.497,H
2017-10-02 21:27,1.185,L
2017-10-03 02:34,1.940,H
2017-10-03 08:53,0.407,L
2017-10-03 15:48,2.524,H
2017-10-03 21:56,0.950,L
2017-10-04 03:32,2.074,H
2017-10-04 09:37,0.491,L
2017-10-04 16:14,2.537,H
2017-10-04 22:27,0.695,L
2017-10-05 04:26,2.218,H
2017-10-05 10:20,0.630,L
2017-10-05 16:40,2.536,H
2017-10-05 23:00,0.435,L
2017-10-06 05:20,2.356,H
2017-10-06 11:04,0.821,L
2017-10-06 17:06,2.521,H
2017-10-06 23:36,0.189,L
2017-10-07 06:14,2.470,H
2017-10-07 11:49,1.052,L
2017-10-07 17:32,2.493,H
2017-10-08 00:14,-0.020,L
2017-10-08 07:10,2.547,H
2017-10-08 12:36,1.303,L
2017-10-08 18:00,2.449,H
2017-10-09 00:57,-0.170,L
2017-10-09 08:12,2.589,H
2017-10-09 13:29,1.546,L
2017-10-09 18:31,2.384,H
2017-10-10 01:44,-0.246,L
2017-10-10 09:20,2.609,H
2017-10-10 14:32,1.742,L
2017-10-10 19:05,2.289,H
2017-10-11 02:37,-0.244,L
2017-10-11 10:31,2.627,H
2017-10-11 15:50,1.850,L
2017-10-11 19:48,2.157,H
2017-10-12 03:35,-0.175,L
2017-10-12 11:41,2.653,H
2017-10-12 17:25,1.827,L
2017-10-12 20:53,1.995,H
2017-10-13 04:39,-0.054,L
2017-10-13 12:43,2.682,H
2017-10-13 18:58,1.657,L
2017-10-13 22:31,1.854,H
2017-10-14 05:47,0.092,L
2017-10-14 13:34,2.700,H
2017-10-14 19:58,1.398,L
2017-10-15 00:17,1.818,H
2017-10-15 06:55,0.245,L
2017-10-15 14:17,2.699,H
2017-10-15 20:42,1.108,L
2017-10-16 01:46,1.894,H
2017-10-16 07:57,0.408,L
2017-10-16 14:54,2.679,H
2017-10-16 21:21,0.818,L
2017-10-17 02:59,2.025,H
2017-10-17 08:52,0.589,L
2017-10-17 15:27,2.640,H
2017-10-17 21:57,0.553,L
2017-10-18 04:02,2.168,H
2017-10-18 09:42,0.789,L
2017-10-18 15:57,2.586,H
2017-10-18 22:31,0.332,L
2017-10-19 04:58,2.299,H
2017-10-19 10:28,0.997,L
2017-10-19 16:25,2.516,H
2017-10-19 23:04,0.165,L
2017-10-20 05:48,2.405,H
2017-10-20 11:13,1.205,L
2017-10-20 16:51,2.432,H
2017-10-20 23:36,0.056,L
2017-10-21 06:36,2.477,H
2017-10-21 11:56,1.400,L
2017-10-21 17:14,2.337,H
2017-10-22 00:08,0.001,L
2017-10-22 07:23,2.517,H
2017-10-22 12:41,1.577,L
2017-10-22 17:34,2.237,H
2017-10-23 00:40,-0.007,L
2017-10-23 08:12,2.530,H
2017-10-23 13:30,1.724,L
2017-10-23 17:53,2.136,H
2017-10-24 01:13,0.024,L
2017-10-24 09:04,2.526,H
2017-10-24 14:29,1.830,L
2017-10-24 18:08,2.036,H
2017-10-25 01:50,0.086,L
2017-10-25 09:59,2.517,H
2017-10-25 15:45,1.876,L
2017-10-25 18:16,1.935,H
2017-10-26 02:30,0.173,L
2017-10-26 10:54,2.513,H
2017-10-27 03:16,0.277,L
2017-10-27 11:47,2.520,H
2017-10-28 04:08,0.393,L
2017-10-28 12:32,2.536,H
2017-10-29 05:05,0.515,L
2017-10-29 13:09,2.556,H
2017-10-29 20:13,1.315,L
2017-10-30 00:01,1.516,H
2017-10-30 06:08,0.636,L
2017-10-30 13:41,2.575,H
2017-10-30 20:30,1.068,L
2017-10-31 01:32,1.651,H
2017-10-31 07:09,0.758,L
2017-10-31 14:10,2.590,H
2017-10-31 20:53,0.780,L
