Date Time, Prediction, Type
2017-11-01 02:50,1.986,H
2017-11-01 08:43,0.850,L
2017-11-01 14:55,2.604,H
2017-11-01 21:40,0.530,L
2017-11-02 03:50,2.183,H
2017-11-02 09:29,0.992,L
2017-11-02 15:23,2.643,H
2017-11-02 22:12,0.183,L
2017-11-03 04:44,2.379,H
2017-11-03 10:14,1.161,L
2017-11-03 15:53,2.678,H
2017-11-03 22:48,-0.144,L
2017-11-04 05:37,2.553,H
2017-11-04 11:00,1.348,L
2017-11-04 16:25,2.695,H
2017-11-04 23:28,-0.411,L
2017-11-05 06:31,2.688,H
2017-11-05 11:47,1.536,L
2017-11-05 17:00,2.682,H
2017-11-06 00:11,-0.585,L
2017-11-06 07:26,2.775,H
2017-11-06 12:39,1.705,L
2017-11-06 17:38,2.626,H
2017-11-07 00:57,-0.644,L
2017-11-07 08:23,2.816,H
2017-11-07 13:37,1.833,L
2017-11-07 18:21,2.520,H
2017-11-08 01:46,-0.585,L
2017-11-08 09:22,2.823,H
2017-11-08 14:45,1.894,L
2017-11-08 19:11,2.361,H
2017-11-09 02:39,-0.420,L
2017-11-09 10:23,2.811,H
2017-11-09 16:13,1.856,L
2017-11-09 20:12,2.160,H
2017-11-10 03:37,-0.176,L
2017-11-10 11:24,2.796,H
2017-11-10 18:06,1.682,L
2017-11-10 21:29,1.951,H
2017-11-11 04:40,0.113,L
2017-11-11 12:20,2.784,H
2017-11-11 19:27,1.406,L
2017-11-11 23:03,1.797,H
2017-11-12 05:46,0.412,L
2017-11-12 13:10,2.772,H
2017-11-12 20:19,1.098,L
2017-11-13 00:55,1.783,H
2017-11-13 06:53,0.696,L
2017-11-13 13:51,2.752,H
2017-11-13 20:58,0.795,L
2017-11-14 02:32,1.921,H
2017-11-14 07:55,0.957,L
2017-11-14 14:26,2.719,H
2017-11-14 21:30,0.517,L
2017-11-15 03:43,2.120,H
2017-11-15 08:51,1.195,L
2017-11-15 14:56,2.675,H
2017-11-15 21:58,0.277,L
2017-11-16 04:41,2.312,H
2017-11-16 09:41,1.410,L
2017-11-16 15:21,2.625,H
2017-11-16 22:25,0.078,L
2017-11-17 05:30,2.473,H
2017-11-17 10:27,1.597,L
2017-11-17 15:44,2.574,H
2017-11-17 22:53,-0.076,L
2017-11-18 06:15,2.595,H
2017-11-18 11:12,1.751,L
2017-11-18 16:07,2.520,H
2017-11-18 23:23,-0.181,L
2017-11-19 06:56,2.680,H
2017-11-19 11:57,1.871,L
2017-11-19 16:32,2.458,H
2017-11-19 23:56,-0.234,L
2017-11-20 07:36,2.731,H
2017-11-20 12:45,1.955,L
2017-11-20 17:01,2.381,H
2017-11-21 00:30,-0.235,L
2017-11-21 08:14,2.754,H
2017-11-21 13:38,2.003,L
2017-11-21 17:32,2.283,H
2017-11-22 01:07,-0.186,L
2017-11-22 08:54,2.756,H
2017-11-22 14:43,2.010,L
2017-11-22 18:07,2.166,H
2017-11-23 01:47,-0.091,L
2017-11-23 09:34,2.744,H
2017-11-23 16:25,1.961,L
2017-11-23 18:47,2.030,H
2017-11-24 02:29,0.043,L
2017-11-24 10:15,2.724,H
2017-11-24 18:31,1.830,L
2017-11-24 19:39,1.880,H
2017-11-25 03:15,0.212,L
2017-11-25 10:57,2.704,H
2017-11-25 19:19,1.658,L
2017-11-25 20:51,1.730,H
2017-11-26 04:05,0.408,L
2017-11-26 11:36,2.689,H
2017-11-26 19:42,1.454,L
2017-11-26 22:17,1.620,H
2017-11-27 05:01,0.623,L
2017-11-27 12:13,2.683,H
2017-11-27 19:53,1.203,L
2017-11-27 23:54,1.604,H
2017-11-28 06:01,0.847,L
2017-11-28 12:48,2.690,H
2017-11-28 20:11,0.892,L
2017-11-29 01:34,1.725,H
2017-11-29 07:01,1.067,L
2017-11-29 13:21,2.711,H
2017-11-29 20:37,0.531,L
2017-11-30 02:57,1.956,H
2017-11-30 07:58,1.278,L
2017-11-30 13:53,2.744,H
2017-11-30 21:09,0.144,L
