Date Time, Prediction, Type
2017-10-01 00:02,1.764,H
2017-10-01 07:15,0.406,L
2017-10-01 14:53,2.324,H
2017-10-01 20:47,1.419,L
2017-10-02 01:27,1.816,H
2017-10-02 08:04,0.413,L
2017-10-02 15:23,2.354,H
2017-10-02 21:17,1.216,L
2017-10-03 02:32,1.908,H
2017-10-03 08:50,0.452,L
2017-10-03 15:50,2.372,H
2017-10-03 21:48,0.984,L
2017-10-04 03:31,2.020,H
2017-10-04 09:34,0.539,L
2017-10-04 16:16,2.380,H
2017-10-04 22:20,0.734,L
2017-10-05 04:28,2.140,H
2017-10-05 10:17,0.678,L
2017-10-05 16:39,2.379,H
2017-10-05 22:55,0.479,L
2017-10-06 05:23,2.255,H
2017-10-06 11:00,0.867,L
2017-10-06 17:03,2.373,H
2017-10-06 23:32,0.240,L
2017-10-07 06:19,2.350,H
2017-10-07 11:45,1.093,L
2017-10-07 17:27,2.363,H
2017-10-08 00:12,0.039,L
2017-10-08 07:18,2.414,H
2017-10-08 12:31,1.338,L
2017-10-08 17:52,2.345,H
2017-10-09 00:56,-0.101,L
2017-10-09 08:22,2.449,H
2017-10-09 13:23,1.572,L
2017-10-09 18:21,2.310,H
2017-10-10 01:44,-0.169,L
2017-10-10 09:31,2.470,H
2017-10-10 14:24,1.760,L
2017-10-10 18:53,2.245,H
2017-10-11 02:38,-0.163,L
2017-10-11 10:43,2.489,H
2017-10-11 15:41,1.866,L
2017-10-11 19:34,2.140,H
2017-10-12 03:36,-0.092,L
2017-10-12 11:51,2.514,H
2017-10-12 17:16,1.850,L
2017-10-12 20:34,1.995,H
2017-10-13 04:39,0.027,L
2017-10-13 12:51,2.537,H
2017-10-13 18:50,1.696,L
2017-10-13 22:14,1.849,H
2017-10-14 05:47,0.171,L
2017-10-14 13:39,2.546,H
2017-10-14 19:52,1.455,L
2017-10-15 00:16,1.800,H
2017-10-15 06:54,0.324,L
2017-10-15 14:20,2.538,H
2017-10-15 20:36,1.178,L
2017-10-16 01:47,1.862,H
2017-10-16 07:55,0.486,L
2017-10-16 14:56,2.515,H
2017-10-16 21:16,0.899,L
2017-10-17 02:59,1.970,H
2017-10-17 08:49,0.662,L
2017-10-17 15:28,2.480,H
2017-10-17 21:52,0.640,L
2017-10-18 04:02,2.089,H
2017-10-18 09:37,0.852,L
2017-10-18 15:57,2.434,H
2017-10-18 22:26,0.423,L
2017-10-19 04:58,2.201,H
2017-10-19 10:23,1.047,L
2017-10-19 16:23,2.378,H
2017-10-19 22:59,0.255,L
2017-10-20 05:49,2.293,H
2017-10-20 11:06,1.239,L
2017-10-20 16:46,2.312,H
2017-10-20 23:31,0.142,L
2017-10-21 06:38,2.360,H
2017-10-21 11:48,1.420,L
2017-10-21 17:06,2.242,H
2017-10-22 00:02,0.081,L
2017-10-22 07:26,2.398,H
2017-10-22 12:30,1.583,L
2017-10-22 17:23,2.173,H
2017-10-23 00:35,0.065,L
2017-10-23 08:17,2.413,H
2017-10-23 13:17,1.722,L
2017-10-23 17:39,2.105,H
2017-10-24 01:10,0.089,L
2017-10-24 09:10,2.413,H
2017-10-24 14:13,1.824,L
2017-10-24 17:56,2.036,H
2017-10-25 01:48,0.145,L
2017-10-25 10:05,2.408,H
2017-10-25 15:25,1.875,L
2017-10-25 18:14,1.957,H
2017-10-26 02:30,0.225,L
2017-10-26 11:01,2.406,H
2017-10-27 03:17,0.322,L
2017-10-27 11:53,2.412,H
2017-10-28 04:09,0.429,L
2017-10-28 12:38,2.424,H
2017-10-29 05:05,0.543,L
2017-10-29 13:15,2.437,H
2017-10-29 19:59,1.369,L
2017-10-29 23:50,1.540,H
2017-10-30 06:06,0.659,L
2017-10-30 13:46,2.448,H
2017-10-30 20:21,1.124,L
2017-10-31 01:32,1.653,H
2017-10-31 07:06,0.781,L
2017-10-31 14:13,2.457,H
2017-10-31 20:47,0.841,L
