Date Time, Prediction, Type
2017-11-01 02:19,1.709,H
2017-11-01 07:37,0.873,L
2017-11-01 14:12,2.334,H
2017-11-01 20:56,0.529,L
2017-11-02 03:24,1.901,H
2017-11-02 08:29,1.032,L
2017-11-02 14:33,2.344,H
2017-11-02 21:28,0.224,L
2017-11-03 04:25,2.104,H
2017-11-03 09:20,1.214,L
2017-11-03 14:57,2.355,H
2017-11-03 22:04,-0.061,L
2017-11-04 05:22,2.292,H
2017-11-04 10:12,1.407,L
2017-11-04 15:25,2.361,H
2017-11-04 22:43,-0.298,L
2017-11-05 06:17,2.442,H
2017-11-05 11:05,1.595,L
2017-11-05 15:57,2.353,H
2017-11-05 23:25,-0.456,L
2017-11-06 07:14,2.542,H
2017-11-06 11:59,1.761,L
2017-11-06 16:32,2.320,H
2017-11-07 00:10,-0.517,L
2017-11-07 08:15,2.598,H
2017-11-07 13:01,1.881,L
2017-11-07 17:09,2.248,H
2017-11-08 00:57,-0.472,L
2017-11-08 09:16,2.622,H
2017-11-08 14:25,1.921,L
2017-11-08 17:49,2.125,H
2017-11-09 01:49,-0.332,L
2017-11-09 10:14,2.623,H
2017-11-09 16:00,1.844,L
2017-11-09 18:35,1.945,H
2017-11-10 02:45,-0.119,L
2017-11-10 11:07,2.608,H
2017-11-10 17:28,1.657,L
2017-11-10 19:44,1.720,H
2017-11-11 03:41,0.144,L
2017-11-11 11:56,2.582,H
2017-11-11 18:37,1.390,L
2017-11-11 21:50,1.527,H
2017-11-12 04:40,0.434,L
2017-11-12 12:37,2.549,H
2017-11-12 19:24,1.087,L
2017-11-13 00:25,1.520,H
2017-11-13 05:44,0.722,L
2017-11-13 13:12,2.510,H
2017-11-13 20:03,0.785,L
2017-11-14 01:54,1.655,H
2017-11-14 06:49,0.982,L
2017-11-14 13:42,2.464,H
2017-11-14 20:38,0.508,L
2017-11-15 03:04,1.823,H
2017-11-15 07:48,1.207,L
2017-11-15 14:07,2.415,H
2017-11-15 21:12,0.274,L
2017-11-16 04:06,1.995,H
2017-11-16 08:40,1.401,L
2017-11-16 14:27,2.364,H
2017-11-16 21:43,0.090,L
2017-11-17 04:59,2.153,H
2017-11-17 09:30,1.565,L
2017-11-17 14:44,2.314,H
2017-11-17 22:13,-0.043,L
2017-11-18 05:46,2.283,H
2017-11-18 10:19,1.698,L
2017-11-18 15:02,2.265,H
2017-11-18 22:42,-0.127,L
2017-11-19 06:30,2.378,H
2017-11-19 11:06,1.802,L
2017-11-19 15:23,2.213,H
2017-11-19 23:11,-0.165,L
2017-11-20 07:13,2.441,H
2017-11-20 11:54,1.882,L
2017-11-20 15:48,2.155,H
2017-11-20 23:42,-0.160,L
2017-11-21 07:59,2.477,H
2017-11-21 12:47,1.937,L
2017-11-21 16:14,2.088,H
2017-11-22 00:14,-0.114,L
2017-11-22 08:45,2.495,H
2017-11-22 14:07,1.954,L
2017-11-22 16:39,2.007,H
2017-11-23 00:49,-0.030,L
2017-11-23 09:30,2.502,H
2017-11-24 01:28,0.086,L
2017-11-24 10:12,2.501,H
2017-11-25 02:09,0.233,L
2017-11-25 10:51,2.494,H
2017-11-26 02:55,0.406,L
2017-11-26 11:24,2.483,H
2017-11-27 03:43,0.608,L
2017-11-27 11:51,2.474,H
2017-11-27 19:10,1.172,L
2017-11-27 22:47,1.356,H
2017-11-28 04:36,0.837,L
2017-11-28 12:14,2.472,H
2017-11-28 19:29,0.875,L
2017-11-29 01:19,1.500,H
2017-11-29 05:37,1.080,L
2017-11-29 12:35,2.483,H
2017-11-29 19:55,0.539,L
2017-11-30 02:36,1.746,H
2017-11-30 06:44,1.315,L
2017-11-30 13:00,2.505,H
2017-11-30 20:26,0.187,L
