Date Time, Prediction, Type
2017-10-01 06:53,0.360,L
2017-10-01 14:39,2.186,H
2017-10-01 20:28,1.355,L
2017-10-02 00:50,1.708,H
2017-10-02 07:42,0.374,L
2017-10-02 15:07,2.209,H
2017-10-02 20:56,1.170,L
2017-10-03 01:59,1.786,H
2017-10-03 08:26,0.419,L
2017-10-03 15:32,2.219,H
2017-10-03 21:26,0.955,L
2017-10-04 03:01,1.879,H
2017-10-04 09:09,0.508,L
2017-10-04 15:54,2.221,H
2017-10-04 21:58,0.717,L
2017-10-05 04:01,1.978,H
2017-10-05 09:52,0.645,L
2017-10-05 16:14,2.219,H
2017-10-05 22:33,0.471,L
2017-10-06 05:00,2.074,H
2017-10-06 10:35,0.827,L
2017-10-06 16:34,2.216,H
2017-10-06 23:10,0.236,L
2017-10-07 05:58,2.154,H
2017-10-07 11:19,1.042,L
2017-10-07 16:58,2.213,H
2017-10-07 23:50,0.037,L
2017-10-08 06:58,2.205,H
2017-10-08 12:05,1.275,L
2017-10-08 17:24,2.203,H
2017-10-09 00:34,-0.106,L
2017-10-09 08:06,2.236,H
2017-10-09 12:56,1.498,L
2017-10-09 17:54,2.177,H
2017-10-10 01:22,-0.177,L
2017-10-10 09:21,2.265,H
2017-10-10 13:58,1.680,L
2017-10-10 18:28,2.122,H
2017-10-11 02:17,-0.179,L
2017-10-11 10:34,2.301,H
2017-10-11 15:18,1.780,L
2017-10-11 19:09,2.028,H
2017-10-12 03:16,-0.119,L
2017-10-12 11:42,2.341,H
2017-10-12 16:56,1.768,L
2017-10-12 20:06,1.896,H
2017-10-13 04:17,-0.008,L
2017-10-13 12:40,2.377,H
2017-10-13 18:34,1.625,L
2017-10-13 21:34,1.756,H
2017-10-14 05:24,0.135,L
2017-10-14 13:26,2.395,H
2017-10-14 19:33,1.400,L
2017-10-14 23:38,1.684,H
2017-10-15 06:31,0.289,L
2017-10-15 14:04,2.391,H
2017-10-15 20:17,1.141,L
2017-10-16 01:24,1.736,H
2017-10-16 07:32,0.451,L
2017-10-16 14:38,2.369,H
2017-10-16 20:55,0.878,L
2017-10-17 02:37,1.833,H
2017-10-17 08:24,0.627,L
2017-10-17 15:08,2.332,H
2017-10-17 21:31,0.632,L
2017-10-18 03:42,1.937,H
2017-10-18 09:12,0.815,L
2017-10-18 15:35,2.285,H
2017-10-18 22:06,0.420,L
2017-10-19 04:41,2.036,H
2017-10-19 09:57,1.005,L
2017-10-19 15:58,2.230,H
2017-10-19 22:38,0.253,L
2017-10-20 05:34,2.118,H
2017-10-20 10:39,1.189,L
2017-10-20 16:16,2.172,H
2017-10-20 23:09,0.135,L
2017-10-21 06:23,2.176,H
2017-10-21 11:20,1.360,L
2017-10-21 16:33,2.114,H
2017-10-21 23:40,0.066,L
2017-10-22 07:12,2.209,H
2017-10-22 12:02,1.514,L
2017-10-22 16:51,2.058,H
2017-10-23 00:13,0.042,L
2017-10-23 08:05,2.224,H
2017-10-23 12:47,1.646,L
2017-10-23 17:12,2.000,H
2017-10-24 00:47,0.059,L
2017-10-24 09:02,2.233,H
2017-10-24 13:46,1.745,L
2017-10-24 17:34,1.936,H
2017-10-25 01:26,0.110,L
2017-10-25 09:59,2.242,H
2017-10-25 15:12,1.792,L
2017-10-25 17:56,1.860,H
2017-10-26 02:10,0.186,L
2017-10-26 10:54,2.256,H
2017-10-27 02:58,0.278,L
2017-10-27 11:46,2.276,H
2017-10-28 03:48,0.381,L
2017-10-28 12:29,2.297,H
2017-10-29 04:42,0.494,L
2017-10-29 13:03,2.312,H
2017-10-29 19:45,1.317,L
2017-10-29 22:58,1.461,H
2017-10-30 05:41,0.614,L
2017-10-30 13:30,2.322,H
2017-10-30 20:05,1.091,L
2017-10-31 01:04,1.544,H
2017-10-31 06:41,0.737,L
2017-10-31 13:52,2.327,H
2017-10-31 20:28,0.825,L
