Date Time, Prediction, Type
2017-11-01 02:22,1.760,H
2017-11-01 08:05,0.765,L
2017-11-01 14:27,2.317,H
2017-11-01 21:02,0.477,L
2017-11-02 03:22,1.938,H
2017-11-02 08:51,0.893,L
2017-11-02 14:55,2.352,H
2017-11-02 21:34,0.165,L
2017-11-03 04:16,2.114,H
2017-11-03 09:36,1.045,L
2017-11-03 15:25,2.383,H
2017-11-03 22:10,-0.130,L
2017-11-04 05:09,2.271,H
2017-11-04 10:22,1.213,L
2017-11-04 15:57,2.399,H
2017-11-04 22:50,-0.370,L
2017-11-05 06:03,2.392,H
2017-11-05 11:09,1.382,L
2017-11-05 16:32,2.387,H
2017-11-05 23:33,-0.527,L
2017-11-06 06:58,2.471,H
2017-11-06 12:01,1.535,L
2017-11-06 17:10,2.336,H
2017-11-07 00:19,-0.580,L
2017-11-07 07:55,2.507,H
2017-11-07 12:59,1.650,L
2017-11-07 17:53,2.241,H
2017-11-08 01:08,-0.527,L
2017-11-08 08:54,2.514,H
2017-11-08 14:07,1.705,L
2017-11-08 18:43,2.098,H
2017-11-09 02:01,-0.378,L
2017-11-09 09:55,2.503,H
2017-11-09 15:35,1.670,L
2017-11-09 19:44,1.917,H
2017-11-10 02:59,-0.158,L
2017-11-10 10:56,2.489,H
2017-11-10 17:28,1.514,L
2017-11-10 21:01,1.729,H
2017-11-11 04:02,0.102,L
2017-11-11 11:52,2.479,H
2017-11-11 18:49,1.265,L
2017-11-11 22:35,1.590,H
2017-11-12 05:08,0.371,L
2017-11-12 12:42,2.468,H
2017-11-12 19:41,0.988,L
2017-11-13 00:27,1.578,H
2017-11-13 06:15,0.626,L
2017-11-13 13:23,2.450,H
2017-11-13 20:20,0.716,L
2017-11-14 02:04,1.702,H
2017-11-14 07:17,0.861,L
2017-11-14 13:58,2.420,H
2017-11-14 20:52,0.465,L
2017-11-15 03:15,1.881,H
2017-11-15 08:13,1.076,L
2017-11-15 14:28,2.381,H
2017-11-15 21:20,0.249,L
2017-11-16 04:13,2.054,H
2017-11-16 09:03,1.269,L
2017-11-16 14:53,2.336,H
2017-11-16 21:47,0.070,L
2017-11-17 05:02,2.199,H
2017-11-17 09:49,1.437,L
2017-11-17 15:16,2.290,H
2017-11-17 22:15,-0.068,L
2017-11-18 05:47,2.309,H
2017-11-18 10:34,1.576,L
2017-11-18 15:39,2.241,H
2017-11-18 22:45,-0.163,L
2017-11-19 06:28,2.385,H
2017-11-19 11:19,1.684,L
2017-11-19 16:04,2.185,H
2017-11-19 23:18,-0.211,L
2017-11-20 07:08,2.431,H
2017-11-20 12:07,1.760,L
2017-11-20 16:33,2.116,H
2017-11-20 23:52,-0.212,L
2017-11-21 07:46,2.452,H
2017-11-21 13:00,1.803,L
2017-11-21 17:04,2.028,H
2017-11-22 00:29,-0.167,L
2017-11-22 08:26,2.453,H
2017-11-22 14:05,1.809,L
2017-11-22 17:39,1.922,H
2017-11-23 01:09,-0.082,L
2017-11-23 09:06,2.443,H
2017-11-23 15:47,1.765,L
2017-11-23 18:19,1.800,H
2017-11-24 01:51,0.039,L
2017-11-24 09:47,2.425,H
2017-11-25 02:37,0.191,L
2017-11-25 10:29,2.407,H
2017-11-25 18:41,1.492,L
2017-11-25 20:23,1.530,H
2017-11-26 03:27,0.367,L
2017-11-26 11:08,2.393,H
2017-11-26 19:04,1.309,L
2017-11-26 21:49,1.431,H
2017-11-27 04:23,0.561,L
2017-11-27 11:45,2.388,H
2017-11-27 19:15,1.083,L
2017-11-27 23:26,1.417,H
2017-11-28 05:23,0.762,L
2017-11-28 12:20,2.394,H
2017-11-28 19:33,0.803,L
2017-11-29 01:06,1.526,H
2017-11-29 06:23,0.960,L
2017-11-29 12:53,2.413,H
2017-11-29 19:59,0.478,L
2017-11-30 02:29,1.733,H
2017-11-30 07:20,1.150,L
2017-11-30 13:25,2.443,H
2017-11-30 20:31,0.130,L
