Date Time, Prediction, Type
2017-11-01 02:22,1.760,H
2017-11-01 07:56,0.842,L
2017-11-01 14:27,2.317,H
2017-11-01 20:53,0.525,L
2017-11-02 03:22,1.938,H
2017-11-02 08:42,0.982,L
2017-11-02 14:55,2.352,H
2017-11-02 21:25,0.181,L
2017-11-03 04:16,2.114,H
2017-11-03 09:27,1.149,L
2017-11-03 15:25,2.383,H
2017-11-03 22:01,-0.143,L
2017-11-04 05:09,2.271,H
2017-11-04 10:13,1.335,L
2017-11-04 15:57,2.399,H
2017-11-04 22:41,-0.407,L
2017-11-05 06:03,2.392,H
2017-11-05 11:00,1.521,L
2017-11-05 16:32,2.387,H
2017-11-05 23:24,-0.579,L
2017-11-06 06:58,2.471,H
2017-11-06 11:52,1.688,L
2017-11-06 17:10,2.336,H
2017-11-07 00:10,-0.638,L
2017-11-07 07:55,2.507,H
2017-11-07 12:50,1.815,L
2017-11-07 17:53,2.241,H
2017-11-08 00:59,-0.579,L
2017-11-08 08:54,2.514,H
2017-11-08 13:58,1.875,L
2017-11-08 18:43,2.098,H
2017-11-09 01:52,-0.416,L
2017-11-09 09:55,2.503,H
2017-11-09 15:26,1.837,L
2017-11-09 19:44,1.917,H
2017-11-10 02:50,-0.174,L
2017-11-10 10:56,2.489,H
2017-11-10 17:19,1.665,L
2017-11-10 21:01,1.729,H
2017-11-11 03:53,0.112,L
2017-11-11 11:52,2.479,H
2017-11-11 18:40,1.392,L
2017-11-11 22:35,1.590,H
2017-11-12 04:59,0.408,L
2017-11-12 12:42,2.468,H
2017-11-12 19:32,1.087,L
2017-11-13 00:27,1.578,H
2017-11-13 06:06,0.689,L
2017-11-13 13:23,2.450,H
2017-11-13 20:11,0.787,L
2017-11-14 02:04,1.702,H
2017-11-14 07:08,0.947,L
2017-11-14 13:58,2.420,H
2017-11-14 20:43,0.512,L
2017-11-15 03:15,1.881,H
2017-11-15 08:04,1.183,L
2017-11-15 14:28,2.381,H
2017-11-15 21:11,0.274,L
2017-11-16 04:13,2.054,H
2017-11-16 08:54,1.396,L
2017-11-16 14:53,2.336,H
2017-11-16 21:38,0.077,L
2017-11-17 05:02,2.199,H
2017-11-17 09:40,1.581,L
2017-11-17 15:16,2.290,H
2017-11-17 22:06,-0.075,L
2017-11-18 05:47,2.309,H
2017-11-18 10:25,1.733,L
2017-11-18 15:39,2.241,H
2017-11-18 22:36,-0.179,L
2017-11-19 06:28,2.385,H
2017-11-19 11:10,1.852,L
2017-11-19 16:04,2.185,H
2017-11-19 23:09,-0.232,L
2017-11-20 07:08,2.431,H
2017-11-20 11:58,1.935,L
2017-11-20 16:33,2.116,H
2017-11-20 23:43,-0.233,L
2017-11-21 07:46,2.452,H
2017-11-21 12:51,1.983,L
2017-11-21 17:04,2.028,H
2017-11-22 00:20,-0.184,L
2017-11-22 08:26,2.453,H
2017-11-22 13:56,1.990,L
2017-11-22 17:39,1.922,H
2017-11-23 01:00,-0.090,L
2017-11-23 09:06,2.443,H
2017-11-23 15:38,1.941,L
2017-11-23 18:19,1.800,H
2017-11-24 01:42,0.043,L
2017-11-24 09:47,2.425,H
2017-11-24 17:44,1.812,L
2017-11-24 19:11,1.665,H
2017-11-25 02:28,0.210,L
2017-11-25 10:29,2.407,H
2017-11-25 18:32,1.641,L
2017-11-25 20:23,1.530,H
2017-11-26 03:18,0.404,L
2017-11-26 11:08,2.393,H
2017-11-26 18:55,1.439,L
2017-11-26 21:49,1.431,H
2017-11-27 04:14,0.617,L
2017-11-27 11:45,2.388,H
2017-11-27 19:06,1.191,L
2017-11-27 23:26,1.417,H
2017-11-28 05:14,0.839,L
2017-11-28 12:20,2.394,H
2017-11-28 19:24,0.883,L
2017-11-29 01:06,1.526,H
2017-11-29 06:14,1.056,L
2017-11-29 12:53,2.413,H
2017-11-29 19:50,0.526,L
2017-11-30 02:29,1.733,H
2017-11-30 07:11,1.265,L
2017-11-30 13:25,2.443,H
2017-11-30 20:22,0.143,L
