Date Time, Prediction, Type
2017-10-01 00:12,1.682,H
2017-10-01 07:08,0.404,L
2017-10-01 14:51,2.162,H
2017-10-01 20:40,1.391,L
2017-10-02 01:21,1.746,H
2017-10-02 07:55,0.395,L
2017-10-02 15:13,2.183,H
2017-10-02 20:59,1.202,L
2017-10-03 02:21,1.842,H
2017-10-03 08:38,0.413,L
2017-10-03 15:34,2.210,H
2017-10-03 21:24,0.966,L
2017-10-04 03:15,1.949,H
2017-10-04 09:18,0.477,L
2017-10-04 15:58,2.240,H
2017-10-04 21:53,0.696,L
2017-10-05 04:07,2.050,H
2017-10-05 09:58,0.594,L
2017-10-05 16:24,2.270,H
2017-10-05 22:28,0.413,L
2017-10-06 04:59,2.136,H
2017-10-06 10:39,0.766,L
2017-10-06 16:53,2.290,H
2017-10-06 23:06,0.147,L
2017-10-07 05:53,2.198,H
2017-10-07 11:21,0.980,L
2017-10-07 17:24,2.293,H
2017-10-07 23:48,-0.073,L
2017-10-08 06:50,2.233,H
2017-10-08 12:07,1.218,L
2017-10-08 17:58,2.272,H
2017-10-09 00:33,-0.220,L
2017-10-09 07:51,2.243,H
2017-10-09 12:58,1.450,L
2017-10-09 18:36,2.220,H
2017-10-10 01:23,-0.278,L
2017-10-10 08:58,2.237,H
2017-10-10 13:58,1.647,L
2017-10-10 19:18,2.136,H
2017-10-11 02:18,-0.248,L
2017-10-11 10:11,2.234,H
2017-10-11 15:12,1.770,L
2017-10-11 20:09,2.021,H
2017-10-12 03:18,-0.148,L
2017-10-12 11:28,2.254,H
2017-10-12 16:47,1.772,L
2017-10-12 21:14,1.890,H
2017-10-13 04:24,-0.009,L
2017-10-13 12:36,2.295,H
2017-10-13 18:27,1.632,L
2017-10-13 22:35,1.780,H
2017-10-14 05:34,0.139,L
2017-10-14 13:30,2.335,H
2017-10-14 19:33,1.404,L
2017-10-15 00:08,1.743,H
2017-10-15 06:40,0.283,L
2017-10-15 14:14,2.359,H
2017-10-15 20:18,1.144,L
2017-10-16 01:37,1.796,H
2017-10-16 07:39,0.436,L
2017-10-16 14:51,2.362,H
2017-10-16 20:54,0.879,L
2017-10-17 02:50,1.899,H
2017-10-17 08:31,0.606,L
2017-10-17 15:22,2.345,H
2017-10-17 21:27,0.628,L
2017-10-18 03:50,2.007,H
2017-10-18 09:17,0.797,L
2017-10-18 15:48,2.314,H
2017-10-18 21:58,0.403,L
2017-10-19 04:43,2.100,H
2017-10-19 10:00,1.002,L
2017-10-19 16:12,2.273,H
2017-10-19 22:30,0.218,L
2017-10-20 05:32,2.171,H
2017-10-20 10:42,1.209,L
2017-10-20 16:35,2.227,H
2017-10-20 23:03,0.079,L
2017-10-21 06:20,2.223,H
2017-10-21 11:24,1.406,L
2017-10-21 16:59,2.172,H
2017-10-21 23:37,-0.005,L
2017-10-22 07:06,2.255,H
2017-10-22 12:10,1.583,L
2017-10-22 17:26,2.103,H
2017-10-23 00:13,-0.033,L
2017-10-23 07:54,2.268,H
2017-10-23 13:02,1.729,L
2017-10-23 17:55,2.020,H
2017-10-24 00:52,-0.006,L
2017-10-24 08:44,2.264,H
2017-10-24 14:03,1.832,L
2017-10-24 18:28,1.920,H
2017-10-25 01:34,0.068,L
2017-10-25 09:38,2.251,H
2017-10-25 15:31,1.873,L
2017-10-25 19:07,1.809,H
2017-10-26 02:20,0.177,L
2017-10-26 10:38,2.237,H
2017-10-26 17:50,1.814,L
2017-10-26 19:55,1.693,H
2017-10-27 03:12,0.304,L
2017-10-27 11:37,2.232,H
2017-10-27 19:00,1.686,L
2017-10-27 21:01,1.585,H
2017-10-28 04:11,0.429,L
2017-10-28 12:25,2.236,H
2017-10-28 19:36,1.535,L
2017-10-28 22:22,1.516,H
2017-10-29 05:12,0.538,L
2017-10-29 13:03,2.245,H
2017-10-29 19:55,1.355,L
2017-10-29 23:49,1.520,H
2017-10-30 06:12,0.633,L
2017-10-30 13:33,2.260,H
2017-10-30 20:08,1.131,L
2017-10-31 01:12,1.609,H
2017-10-31 07:06,0.729,L
2017-10-31 14:00,2.284,H
2017-10-31 20:27,0.850,L
