Date Time, Prediction, Type
2017-11-01 01:18,1.588,H
2017-11-01 06:55,0.823,L
2017-11-01 13:21,2.206,H
2017-11-01 20:13,0.526,L
2017-11-02 02:30,1.746,H
2017-11-02 07:46,0.985,L
2017-11-02 13:46,2.236,H
2017-11-02 20:46,0.230,L
2017-11-03 03:36,1.917,H
2017-11-03 08:36,1.168,L
2017-11-03 14:14,2.263,H
2017-11-03 21:24,-0.046,L
2017-11-04 04:38,2.078,H
2017-11-04 09:25,1.362,L
2017-11-04 14:45,2.281,H
2017-11-04 22:04,-0.273,L
2017-11-05 05:38,2.209,H
2017-11-05 10:16,1.551,L
2017-11-05 15:17,2.282,H
2017-11-05 22:46,-0.425,L
2017-11-06 06:39,2.300,H
2017-11-06 11:08,1.717,L
2017-11-06 15:52,2.255,H
2017-11-06 23:32,-0.484,L
2017-11-07 07:43,2.356,H
2017-11-07 12:08,1.837,L
2017-11-07 16:30,2.188,H
2017-11-08 00:20,-0.445,L
2017-11-08 08:47,2.387,H
2017-11-08 13:22,1.883,L
2017-11-08 17:11,2.069,H
2017-11-09 01:13,-0.318,L
2017-11-09 09:47,2.400,H
2017-11-09 15:03,1.821,L
2017-11-09 18:00,1.895,H
2017-11-10 02:07,-0.122,L
2017-11-10 10:41,2.399,H
2017-11-10 17:03,1.632,L
2017-11-10 19:14,1.681,H
2017-11-11 03:03,0.122,L
2017-11-11 11:25,2.388,H
2017-11-11 18:08,1.364,L
2017-11-11 20:57,1.490,H
2017-11-12 04:01,0.391,L
2017-11-12 12:02,2.369,H
2017-11-12 18:51,1.069,L
2017-11-12 23:17,1.423,H
2017-11-13 05:00,0.661,L
2017-11-13 12:31,2.345,H
2017-11-13 19:29,0.777,L
2017-11-14 01:12,1.520,H
2017-11-14 05:59,0.912,L
2017-11-14 12:55,2.320,H
2017-11-14 20:02,0.509,L
2017-11-15 02:30,1.669,H
2017-11-15 06:55,1.136,L
2017-11-15 13:14,2.296,H
2017-11-15 20:33,0.281,L
2017-11-16 03:34,1.825,H
2017-11-16 07:46,1.330,L
2017-11-16 13:34,2.271,H
2017-11-16 21:03,0.102,L
2017-11-17 04:29,1.967,H
2017-11-17 08:34,1.494,L
2017-11-17 13:56,2.241,H
2017-11-17 21:31,-0.029,L
2017-11-18 05:18,2.084,H
2017-11-18 09:21,1.631,L
2017-11-18 14:20,2.203,H
2017-11-18 22:01,-0.113,L
2017-11-19 06:03,2.172,H
2017-11-19 10:07,1.741,L
2017-11-19 14:46,2.153,H
2017-11-19 22:31,-0.151,L
2017-11-20 06:49,2.231,H
2017-11-20 10:54,1.827,L
2017-11-20 15:12,2.094,H
2017-11-20 23:04,-0.146,L
2017-11-21 07:36,2.269,H
2017-11-21 11:45,1.888,L
2017-11-21 15:35,2.025,H
2017-11-21 23:38,-0.103,L
2017-11-22 08:23,2.290,H
2017-11-22 12:50,1.916,L
2017-11-22 15:42,1.947,H
2017-11-23 00:15,-0.024,L
2017-11-23 09:08,2.301,H
2017-11-24 00:55,0.085,L
2017-11-24 09:49,2.305,H
2017-11-25 01:37,0.220,L
2017-11-25 10:23,2.305,H
2017-11-26 02:22,0.382,L
2017-11-26 10:46,2.305,H
2017-11-27 03:10,0.571,L
2017-11-27 11:04,2.313,H
2017-11-27 18:45,1.155,L
2017-11-27 21:57,1.298,H
2017-11-28 04:02,0.784,L
2017-11-28 11:24,2.334,H
2017-11-28 18:50,0.871,L
2017-11-29 00:07,1.380,H
2017-11-29 05:01,1.013,L
2017-11-29 11:48,2.367,H
2017-11-29 19:13,0.544,L
2017-11-30 01:51,1.586,H
2017-11-30 06:03,1.242,L
2017-11-30 12:17,2.407,H
2017-11-30 19:45,0.202,L
