Date Time, Prediction, Type
2017-10-01 06:12,0.328,L
2017-10-01 14:08,2.011,H
2017-10-01 19:41,1.320,L
2017-10-01 23:58,1.651,H
2017-10-02 07:00,0.345,L
2017-10-02 14:28,2.030,H
2017-10-02 20:07,1.140,L
2017-10-03 01:04,1.709,H
2017-10-03 07:44,0.393,L
2017-10-03 14:43,2.047,H
2017-10-03 20:38,0.930,L
2017-10-04 02:05,1.779,H
2017-10-04 08:27,0.484,L
2017-10-04 15:01,2.066,H
2017-10-04 21:13,0.700,L
2017-10-05 03:05,1.851,H
2017-10-05 09:09,0.621,L
2017-10-05 15:22,2.085,H
2017-10-05 21:49,0.463,L
2017-10-06 04:06,1.920,H
2017-10-06 09:52,0.802,L
2017-10-06 15:47,2.102,H
2017-10-06 22:28,0.239,L
2017-10-07 05:05,1.974,H
2017-10-07 10:35,1.015,L
2017-10-07 16:14,2.113,H
2017-10-07 23:10,0.049,L
2017-10-08 06:08,2.008,H
2017-10-08 11:20,1.242,L
2017-10-08 16:44,2.113,H
2017-10-08 23:55,-0.088,L
2017-10-09 07:21,2.026,H
2017-10-09 12:11,1.456,L
2017-10-09 17:16,2.095,H
2017-10-10 00:45,-0.160,L
2017-10-10 08:44,2.049,H
2017-10-10 13:10,1.628,L
2017-10-10 17:52,2.047,H
2017-10-11 01:40,-0.167,L
2017-10-11 10:10,2.093,H
2017-10-11 14:22,1.726,L
2017-10-11 18:35,1.962,H
2017-10-12 02:39,-0.116,L
2017-10-12 11:21,2.147,H
2017-10-12 15:52,1.721,L
2017-10-12 19:36,1.841,H
2017-10-13 03:40,-0.018,L
2017-10-13 12:14,2.189,H
2017-10-13 17:54,1.588,L
2017-10-13 20:59,1.713,H
2017-10-14 04:44,0.112,L
2017-10-14 12:55,2.209,H
2017-10-14 18:55,1.369,L
2017-10-14 22:39,1.635,H
2017-10-15 05:48,0.258,L
2017-10-15 13:29,2.207,H
2017-10-15 19:37,1.119,L
2017-10-16 00:21,1.643,H
2017-10-16 06:46,0.417,L
2017-10-16 13:58,2.193,H
2017-10-16 20:14,0.864,L
2017-10-17 01:44,1.706,H
2017-10-17 07:37,0.591,L
2017-10-17 14:23,2.170,H
2017-10-17 20:49,0.625,L
2017-10-18 02:55,1.784,H
2017-10-18 08:24,0.775,L
2017-10-18 14:43,2.144,H
2017-10-18 21:22,0.419,L
2017-10-19 03:58,1.862,H
2017-10-19 09:07,0.962,L
2017-10-19 15:03,2.114,H
2017-10-19 21:54,0.256,L
2017-10-20 04:53,1.928,H
2017-10-20 09:48,1.143,L
2017-10-20 15:24,2.079,H
2017-10-20 22:26,0.140,L
2017-10-21 05:45,1.975,H
2017-10-21 10:29,1.312,L
2017-10-21 15:46,2.036,H
2017-10-21 22:59,0.072,L
2017-10-22 06:38,2.005,H
2017-10-22 11:11,1.465,L
2017-10-22 16:11,1.984,H
2017-10-22 23:33,0.048,L
2017-10-23 07:34,2.023,H
2017-10-23 11:56,1.596,L
2017-10-23 16:35,1.926,H
2017-10-24 00:11,0.063,L
2017-10-24 08:36,2.038,H
2017-10-24 12:51,1.695,L
2017-10-24 16:56,1.860,H
2017-10-25 00:51,0.110,L
2017-10-25 09:40,2.056,H
2017-10-25 14:02,1.748,L
2017-10-25 17:05,1.788,H
2017-10-26 01:36,0.178,L
2017-10-26 10:40,2.081,H
2017-10-27 02:25,0.261,L
2017-10-27 11:28,2.107,H
2017-10-28 03:16,0.354,L
2017-10-28 12:04,2.128,H
2017-10-29 04:10,0.455,L
2017-10-29 12:29,2.142,H
2017-10-29 19:19,1.289,L
2017-10-29 22:18,1.412,H
2017-10-30 05:06,0.565,L
2017-10-30 12:45,2.157,H
2017-10-30 19:25,1.075,L
2017-10-30 23:56,1.464,H
2017-10-31 06:02,0.685,L
2017-10-31 13:01,2.178,H
2017-10-31 19:44,0.815,L
