Date Time, Prediction, Type
2017-11-01 02:17,1.704,H
2017-11-01 07:36,0.858,L
2017-11-01 14:11,2.316,H
2017-11-01 20:53,0.526,L
2017-11-02 03:24,1.900,H
2017-11-02 08:28,1.016,L
2017-11-02 14:32,2.329,H
2017-11-02 21:26,0.219,L
2017-11-03 04:23,2.104,H
2017-11-03 09:20,1.196,L
2017-11-03 14:58,2.343,H
2017-11-03 22:02,-0.069,L
2017-11-04 05:19,2.289,H
2017-11-04 10:11,1.389,L
2017-11-04 15:26,2.352,H
2017-11-04 22:41,-0.305,L
2017-11-05 06:15,2.435,H
2017-11-05 11:02,1.580,L
2017-11-05 15:58,2.347,H
2017-11-05 23:23,-0.462,L
2017-11-06 07:13,2.533,H
2017-11-06 11:57,1.749,L
2017-11-06 16:32,2.314,H
2017-11-07 00:09,-0.522,L
2017-11-07 08:14,2.588,H
2017-11-07 13:01,1.870,L
2017-11-07 17:08,2.241,H
2017-11-08 00:57,-0.478,L
2017-11-08 09:15,2.610,H
2017-11-08 14:20,1.910,L
2017-11-08 17:48,2.116,H
2017-11-09 01:49,-0.341,L
2017-11-09 10:14,2.610,H
2017-11-09 15:56,1.841,L
2017-11-09 18:36,1.934,H
2017-11-10 02:43,-0.127,L
2017-11-10 11:09,2.596,H
2017-11-10 17:33,1.652,L
2017-11-10 19:48,1.712,H
2017-11-11 03:40,0.140,L
2017-11-11 11:56,2.571,H
2017-11-11 18:39,1.381,L
2017-11-11 21:50,1.522,H
2017-11-12 04:41,0.431,L
2017-11-12 12:37,2.536,H
2017-11-12 19:25,1.080,L
2017-11-13 00:24,1.522,H
2017-11-13 05:45,0.715,L
2017-11-13 13:12,2.494,H
2017-11-13 20:03,0.779,L
2017-11-14 01:54,1.654,H
2017-11-14 06:49,0.971,L
2017-11-14 13:41,2.445,H
2017-11-14 20:38,0.504,L
2017-11-15 03:05,1.825,H
2017-11-15 07:47,1.197,L
2017-11-15 14:07,2.394,H
2017-11-15 21:11,0.271,L
2017-11-16 04:06,1.999,H
2017-11-16 08:40,1.390,L
2017-11-16 14:27,2.343,H
2017-11-16 21:42,0.087,L
2017-11-17 04:58,2.154,H
2017-11-17 09:29,1.552,L
2017-11-17 14:45,2.295,H
2017-11-17 22:11,-0.044,L
2017-11-18 05:44,2.277,H
2017-11-18 10:16,1.685,L
2017-11-18 15:04,2.248,H
2017-11-18 22:39,-0.127,L
2017-11-19 06:29,2.368,H
2017-11-19 11:02,1.792,L
2017-11-19 15:25,2.199,H
2017-11-19 23:09,-0.163,L
2017-11-20 07:13,2.427,H
2017-11-20 11:50,1.874,L
2017-11-20 15:49,2.143,H
2017-11-20 23:40,-0.156,L
2017-11-21 07:58,2.461,H
2017-11-21 12:46,1.929,L
2017-11-21 16:14,2.078,H
2017-11-22 00:13,-0.110,L
2017-11-22 08:44,2.476,H
2017-11-22 14:00,1.946,L
2017-11-22 16:36,2.000,H
2017-11-23 00:49,-0.028,L
2017-11-23 09:30,2.480,H
2017-11-24 01:28,0.085,L
2017-11-24 10:13,2.477,H
2017-11-25 02:09,0.229,L
2017-11-25 10:52,2.471,H
2017-11-26 02:53,0.402,L
2017-11-26 11:25,2.462,H
2017-11-27 03:41,0.605,L
2017-11-27 11:50,2.454,H
2017-11-27 19:08,1.175,L
2017-11-27 22:47,1.358,H
2017-11-28 04:37,0.832,L
2017-11-28 12:11,2.455,H
2017-11-28 19:26,0.877,L
2017-11-29 01:13,1.497,H
2017-11-29 05:39,1.069,L
2017-11-29 12:33,2.468,H
2017-11-29 19:51,0.539,L
2017-11-30 02:35,1.742,H
2017-11-30 06:45,1.299,L
2017-11-30 12:58,2.491,H
2017-11-30 20:23,0.185,L
