Date Time, Prediction, Type
2017-11-01 02:14,1.744,H
2017-11-01 07:29,0.911,L
2017-11-01 14:12,2.329,H
2017-11-01 20:39,0.543,L
2017-11-02 03:20,1.915,H
2017-11-02 08:17,1.060,L
2017-11-02 14:32,2.364,H
2017-11-02 21:08,0.206,L
2017-11-03 04:19,2.093,H
2017-11-03 09:03,1.234,L
2017-11-03 14:56,2.402,H
2017-11-03 21:43,-0.115,L
2017-11-04 05:15,2.258,H
2017-11-04 09:49,1.425,L
2017-11-04 15:23,2.429,H
2017-11-04 22:21,-0.380,L
2017-11-05 06:11,2.393,H
2017-11-05 10:37,1.615,L
2017-11-05 15:54,2.430,H
2017-11-05 23:04,-0.556,L
2017-11-06 07:08,2.489,H
2017-11-06 11:30,1.782,L
2017-11-06 16:29,2.389,H
2017-11-06 23:49,-0.620,L
2017-11-07 08:07,2.546,H
2017-11-07 12:31,1.903,L
2017-11-07 17:08,2.297,H
2017-11-08 00:37,-0.568,L
2017-11-08 09:09,2.571,H
2017-11-08 13:53,1.947,L
2017-11-08 17:53,2.148,H
2017-11-09 01:29,-0.412,L
2017-11-09 10:10,2.576,H
2017-11-09 16:07,1.859,L
2017-11-09 18:51,1.951,H
2017-11-10 02:24,-0.173,L
2017-11-10 11:07,2.570,H
2017-11-10 17:37,1.637,L
2017-11-10 20:10,1.731,H
2017-11-11 03:24,0.117,L
2017-11-11 11:58,2.553,H
2017-11-11 18:35,1.357,L
2017-11-11 22:09,1.561,H
2017-11-12 04:29,0.424,L
2017-11-12 12:42,2.526,H
2017-11-12 19:20,1.057,L
2017-11-13 00:24,1.558,H
2017-11-13 05:39,0.720,L
2017-11-13 13:19,2.488,H
2017-11-13 19:58,0.763,L
2017-11-14 02:01,1.697,H
2017-11-14 06:46,0.987,L
2017-11-14 13:49,2.443,H
2017-11-14 20:32,0.495,L
2017-11-15 03:15,1.888,H
2017-11-15 07:47,1.225,L
2017-11-15 14:12,2.397,H
2017-11-15 21:01,0.267,L
2017-11-16 04:15,2.077,H
2017-11-16 08:41,1.436,L
2017-11-16 14:27,2.357,H
2017-11-16 21:28,0.083,L
2017-11-17 05:07,2.239,H
2017-11-17 09:29,1.620,L
2017-11-17 14:38,2.328,H
2017-11-17 21:54,-0.054,L
2017-11-18 05:53,2.365,H
2017-11-18 10:15,1.771,L
2017-11-18 14:56,2.302,H
2017-11-18 22:20,-0.147,L
2017-11-19 06:36,2.452,H
2017-11-19 11:02,1.887,L
2017-11-19 15:19,2.262,H
2017-11-19 22:49,-0.192,L
2017-11-20 07:16,2.506,H
2017-11-20 11:53,1.966,L
2017-11-20 15:47,2.200,H
2017-11-20 23:21,-0.190,L
2017-11-21 07:57,2.532,H
2017-11-21 13:02,2.003,L
2017-11-21 16:18,2.115,H
2017-11-21 23:55,-0.141,L
2017-11-22 08:37,2.537,H
2017-11-23 00:33,-0.050,L
2017-11-23 09:19,2.528,H
2017-11-24 01:14,0.078,L
2017-11-24 10:02,2.511,H
2017-11-25 01:57,0.239,L
2017-11-25 10:42,2.492,H
2017-11-26 02:44,0.428,L
2017-11-26 11:17,2.474,H
2017-11-26 18:56,1.385,L
2017-11-26 21:05,1.442,H
2017-11-27 03:36,0.643,L
2017-11-27 11:47,2.460,H
2017-11-27 19:12,1.155,L
2017-11-27 23:02,1.400,H
2017-11-28 04:33,0.875,L
2017-11-28 12:13,2.457,H
2017-11-28 19:24,0.870,L
2017-11-29 01:11,1.508,H
2017-11-29 05:35,1.112,L
2017-11-29 12:36,2.471,H
2017-11-29 19:42,0.528,L
2017-11-30 02:40,1.728,H
2017-11-30 06:38,1.340,L
2017-11-30 13:00,2.504,H
2017-11-30 20:09,0.155,L
