Date Time, Prediction, Type
2017-10-01 06:43,0.440,L
2017-10-01 14:49,2.175,H
2017-10-01 20:36,1.369,L
2017-10-02 00:50,1.767,H
2017-10-02 07:32,0.441,L
2017-10-02 15:12,2.181,H
2017-10-02 20:51,1.202,L
2017-10-03 01:55,1.845,H
2017-10-03 08:15,0.466,L
2017-10-03 15:31,2.192,H
2017-10-03 21:09,0.982,L
2017-10-04 02:54,1.933,H
2017-10-04 08:55,0.536,L
2017-10-04 15:50,2.211,H
2017-10-04 21:35,0.722,L
2017-10-05 03:51,2.020,H
2017-10-05 09:35,0.660,L
2017-10-05 16:10,2.237,H
2017-10-05 22:08,0.444,L
2017-10-06 04:49,2.095,H
2017-10-06 10:15,0.837,L
2017-10-06 16:32,2.261,H
2017-10-06 22:47,0.179,L
2017-10-07 05:48,2.154,H
2017-10-07 10:57,1.056,L
2017-10-07 16:58,2.274,H
2017-10-07 23:29,-0.043,L
2017-10-08 06:50,2.194,H
2017-10-08 11:43,1.294,L
2017-10-08 17:27,2.267,H
2017-10-09 00:14,-0.197,L
2017-10-09 07:58,2.219,H
2017-10-09 12:34,1.524,L
2017-10-09 18:00,2.230,H
2017-10-10 01:03,-0.268,L
2017-10-10 09:13,2.241,H
2017-10-10 13:35,1.714,L
2017-10-10 18:38,2.156,H
2017-10-11 01:57,-0.252,L
2017-10-11 10:32,2.274,H
2017-10-11 15:02,1.824,L
2017-10-11 19:24,2.045,H
2017-10-12 02:55,-0.162,L
2017-10-12 11:45,2.319,H
2017-10-12 17:26,1.779,L
2017-10-12 20:28,1.906,H
2017-10-13 03:58,-0.022,L
2017-10-13 12:45,2.358,H
2017-10-13 18:43,1.605,L
2017-10-13 21:56,1.778,H
2017-10-14 05:07,0.138,L
2017-10-14 13:34,2.378,H
2017-10-14 19:33,1.378,L
2017-10-14 23:46,1.725,H
2017-10-15 06:15,0.300,L
2017-10-15 14:15,2.376,H
2017-10-15 20:13,1.128,L
2017-10-16 01:25,1.773,H
2017-10-16 07:18,0.464,L
2017-10-16 14:48,2.355,H
2017-10-16 20:48,0.875,L
2017-10-17 02:43,1.877,H
2017-10-17 08:12,0.640,L
2017-10-17 15:16,2.322,H
2017-10-17 21:19,0.636,L
2017-10-18 03:47,1.991,H
2017-10-18 09:00,0.834,L
2017-10-18 15:38,2.284,H
2017-10-18 21:49,0.424,L
2017-10-19 04:43,2.096,H
2017-10-19 09:44,1.040,L
2017-10-19 15:54,2.248,H
2017-10-19 22:18,0.249,L
2017-10-20 05:35,2.182,H
2017-10-20 10:26,1.247,L
2017-10-20 16:07,2.218,H
2017-10-20 22:48,0.119,L
2017-10-21 06:25,2.247,H
2017-10-21 11:09,1.443,L
2017-10-21 16:25,2.183,H
2017-10-21 23:19,0.038,L
2017-10-22 07:14,2.291,H
2017-10-22 11:55,1.615,L
2017-10-22 16:48,2.132,H
2017-10-22 23:53,0.010,L
2017-10-23 08:04,2.316,H
2017-10-23 12:50,1.751,L
2017-10-23 17:16,2.060,H
2017-10-24 00:29,0.033,L
2017-10-24 08:57,2.325,H
2017-10-24 14:17,1.837,L
2017-10-24 17:47,1.968,H
2017-10-25 01:09,0.100,L
2017-10-25 09:54,2.323,H
2017-10-25 16:30,1.827,L
2017-10-25 18:20,1.860,H
2017-10-26 01:53,0.200,L
2017-10-26 10:52,2.318,H
2017-10-27 02:41,0.321,L
2017-10-27 11:45,2.314,H
2017-10-28 03:36,0.447,L
2017-10-28 12:29,2.309,H
2017-10-28 19:28,1.476,L
2017-10-28 21:42,1.543,H
2017-10-29 04:36,0.567,L
2017-10-29 13:03,2.304,H
2017-10-29 19:50,1.315,L
2017-10-29 23:20,1.531,H
2017-10-30 05:38,0.678,L
2017-10-30 13:30,2.301,H
2017-10-30 20:06,1.113,L
2017-10-31 00:55,1.605,H
2017-10-31 06:37,0.787,L
2017-10-31 13:52,2.308,H
2017-10-31 20:19,0.855,L
