Date Time, Prediction, Type
2017-11-01 01:07,1.602,H
2017-11-01 06:50,0.792,L
2017-11-01 13:18,2.177,H
2017-11-01 19:59,0.554,L
2017-11-02 02:12,1.746,H
2017-11-02 07:37,0.936,L
2017-11-02 13:45,2.225,H
2017-11-02 20:32,0.230,L
2017-11-03 03:12,1.900,H
2017-11-03 08:22,1.103,L
2017-11-03 14:13,2.270,H
2017-11-03 21:09,-0.077,L
2017-11-04 04:10,2.043,H
2017-11-04 09:07,1.286,L
2017-11-04 14:43,2.300,H
2017-11-04 21:49,-0.329,L
2017-11-05 05:08,2.159,H
2017-11-05 09:53,1.469,L
2017-11-05 15:16,2.304,H
2017-11-05 22:33,-0.497,L
2017-11-06 06:07,2.239,H
2017-11-06 10:43,1.633,L
2017-11-06 15:50,2.269,H
2017-11-06 23:19,-0.564,L
2017-11-07 07:09,2.283,H
2017-11-07 11:39,1.759,L
2017-11-07 16:27,2.187,H
2017-11-08 00:09,-0.527,L
2017-11-08 08:14,2.301,H
2017-11-08 12:47,1.824,L
2017-11-08 17:09,2.054,H
2017-11-09 01:02,-0.397,L
2017-11-09 09:21,2.306,H
2017-11-09 14:22,1.801,L
2017-11-09 18:03,1.871,H
2017-11-10 01:58,-0.193,L
2017-11-10 10:22,2.304,H
2017-11-10 17:22,1.621,L
2017-11-10 19:21,1.659,H
2017-11-11 02:56,0.061,L
2017-11-11 11:13,2.297,H
2017-11-11 18:19,1.358,L
2017-11-11 21:02,1.474,H
2017-11-12 03:58,0.340,L
2017-11-12 11:55,2.284,H
2017-11-12 18:59,1.076,L
2017-11-12 23:15,1.403,H
2017-11-13 05:01,0.621,L
2017-11-13 12:28,2.266,H
2017-11-13 19:34,0.796,L
2017-11-14 01:20,1.503,H
2017-11-14 06:04,0.886,L
2017-11-14 12:53,2.248,H
2017-11-14 20:03,0.536,L
2017-11-15 02:39,1.670,H
2017-11-15 07:03,1.126,L
2017-11-15 13:13,2.234,H
2017-11-15 20:30,0.309,L
2017-11-16 03:41,1.840,H
2017-11-16 07:56,1.337,L
2017-11-16 13:33,2.224,H
2017-11-16 20:55,0.122,L
2017-11-17 04:33,1.989,H
2017-11-17 08:42,1.518,L
2017-11-17 13:56,2.211,H
2017-11-17 21:20,-0.022,L
2017-11-18 05:19,2.105,H
2017-11-18 09:25,1.665,L
2017-11-18 14:22,2.184,H
2017-11-18 21:49,-0.119,L
2017-11-19 06:01,2.187,H
2017-11-19 10:07,1.777,L
2017-11-19 14:50,2.140,H
2017-11-19 22:20,-0.167,L
2017-11-20 06:40,2.241,H
2017-11-20 10:51,1.856,L
2017-11-20 15:17,2.075,H
2017-11-20 22:53,-0.167,L
2017-11-21 07:18,2.271,H
2017-11-21 11:42,1.901,L
2017-11-21 15:40,1.993,H
2017-11-21 23:30,-0.123,L
2017-11-22 07:57,2.284,H
2017-11-23 00:10,-0.042,L
2017-11-23 08:38,2.285,H
2017-11-24 00:51,0.069,L
2017-11-24 09:19,2.280,H
2017-11-25 01:35,0.207,L
2017-11-25 09:56,2.273,H
2017-11-26 02:21,0.371,L
2017-11-26 10:27,2.267,H
2017-11-27 03:10,0.558,L
2017-11-27 10:55,2.267,H
2017-11-27 18:55,1.146,L
2017-11-27 22:08,1.302,H
2017-11-28 04:02,0.765,L
2017-11-28 11:22,2.280,H
2017-11-28 18:46,0.877,L
2017-11-28 23:54,1.369,H
2017-11-29 04:58,0.983,L
2017-11-29 11:49,2.308,H
2017-11-29 19:04,0.545,L
2017-11-30 01:37,1.543,H
2017-11-30 05:56,1.199,L
2017-11-30 12:18,2.352,H
2017-11-30 19:34,0.184,L
