Date Time, Prediction, Type
2017-10-01 06:09,0.351,L
2017-10-01 14:06,1.961,H
2017-10-01 19:55,1.354,L
2017-10-02 00:03,1.664,H
2017-10-02 06:56,0.347,L
2017-10-02 14:19,1.975,H
2017-10-02 19:58,1.184,L
2017-10-03 01:01,1.736,H
2017-10-03 07:38,0.371,L
2017-10-03 14:31,2.004,H
2017-10-03 20:21,0.962,L
2017-10-04 01:56,1.814,H
2017-10-04 08:18,0.438,L
2017-10-04 14:50,2.045,H
2017-10-04 20:54,0.709,L
2017-10-05 02:51,1.887,H
2017-10-05 08:57,0.558,L
2017-10-05 15:15,2.087,H
2017-10-05 21:31,0.445,L
2017-10-06 03:47,1.947,H
2017-10-06 09:36,0.730,L
2017-10-06 15:43,2.119,H
2017-10-06 22:12,0.198,L
2017-10-07 04:44,1.988,H
2017-10-07 10:17,0.942,L
2017-10-07 16:13,2.134,H
2017-10-07 22:56,-0.008,L
2017-10-08 05:45,2.010,H
2017-10-08 11:01,1.171,L
2017-10-08 16:45,2.128,H
2017-10-08 23:43,-0.154,L
2017-10-09 06:51,2.015,H
2017-10-09 11:50,1.391,L
2017-10-09 17:19,2.095,H
2017-10-10 00:35,-0.227,L
2017-10-10 08:07,2.014,H
2017-10-10 12:46,1.574,L
2017-10-10 17:56,2.031,H
2017-10-11 01:30,-0.227,L
2017-10-11 09:38,2.028,H
2017-10-11 13:56,1.693,L
2017-10-11 18:41,1.933,H
2017-10-12 02:29,-0.164,L
2017-10-12 11:02,2.065,H
2017-10-12 15:35,1.714,L
2017-10-12 19:44,1.809,H
2017-10-13 03:32,-0.056,L
2017-10-13 12:05,2.102,H
2017-10-13 18:16,1.582,L
2017-10-13 21:08,1.687,H
2017-10-14 04:37,0.077,L
2017-10-14 12:52,2.124,H
2017-10-14 19:07,1.375,L
2017-10-14 22:42,1.618,H
2017-10-15 05:42,0.224,L
2017-10-15 13:29,2.130,H
2017-10-15 19:42,1.142,L
2017-10-16 00:20,1.625,H
2017-10-16 06:41,0.382,L
2017-10-16 13:57,2.127,H
2017-10-16 20:13,0.900,L
2017-10-17 01:46,1.692,H
2017-10-17 07:34,0.557,L
2017-10-17 14:19,2.122,H
2017-10-17 20:42,0.664,L
2017-10-18 02:55,1.779,H
2017-10-18 08:21,0.749,L
2017-10-18 14:37,2.119,H
2017-10-18 21:11,0.452,L
2017-10-19 03:54,1.864,H
2017-10-19 09:03,0.951,L
2017-10-19 14:56,2.116,H
2017-10-19 21:41,0.274,L
2017-10-20 04:47,1.937,H
2017-10-20 09:43,1.154,L
2017-10-20 15:20,2.100,H
2017-10-20 22:13,0.143,L
2017-10-21 05:38,1.997,H
2017-10-21 10:24,1.343,L
2017-10-21 15:46,2.064,H
2017-10-21 22:47,0.064,L
2017-10-22 06:27,2.042,H
2017-10-22 11:07,1.510,L
2017-10-22 16:15,2.004,H
2017-10-22 23:24,0.036,L
2017-10-23 07:18,2.071,H
2017-10-23 11:55,1.644,L
2017-10-23 16:44,1.925,H
2017-10-24 00:03,0.056,L
2017-10-24 08:14,2.086,H
2017-10-24 12:55,1.738,L
2017-10-24 17:10,1.833,H
2017-10-25 00:46,0.112,L
2017-10-25 09:16,2.092,H
2017-10-26 01:32,0.193,L
2017-10-26 10:19,2.097,H
2017-10-27 02:22,0.287,L
2017-10-27 11:11,2.100,H
2017-10-28 03:15,0.384,L
2017-10-28 11:51,2.101,H
2017-10-29 04:11,0.478,L
2017-10-29 12:18,2.102,H
2017-10-29 19:38,1.298,L
2017-10-29 22:33,1.434,H
2017-10-30 05:07,0.572,L
2017-10-30 12:36,2.111,H
2017-10-30 19:29,1.116,L
2017-10-30 23:54,1.490,H
2017-10-31 06:00,0.673,L
2017-10-31 12:55,2.137,H
2017-10-31 19:35,0.860,L
