Date Time, Prediction, Type
2017-11-01 01:41,1.353,H
2017-11-01 07:00,0.691,L
2017-11-01 13:36,1.854,H
2017-11-01 20:15,0.445,L
2017-11-02 02:51,1.495,H
2017-11-02 07:50,0.827,L
2017-11-02 13:56,1.882,H
2017-11-02 20:50,0.188,L
2017-11-03 03:55,1.642,H
2017-11-03 08:39,0.981,L
2017-11-03 14:22,1.911,H
2017-11-03 21:28,-0.051,L
2017-11-04 04:54,1.780,H
2017-11-04 09:29,1.146,L
2017-11-04 14:52,1.933,H
2017-11-04 22:09,-0.248,L
2017-11-05 05:52,1.890,H
2017-11-05 10:19,1.305,L
2017-11-05 15:24,1.941,H
2017-11-05 22:52,-0.378,L
2017-11-06 06:52,1.965,H
2017-11-06 11:11,1.444,L
2017-11-06 15:58,1.925,H
2017-11-06 23:38,-0.429,L
2017-11-07 07:54,2.010,H
2017-11-07 12:07,1.546,L
2017-11-07 16:36,1.871,H
2017-11-08 00:26,-0.394,L
2017-11-08 08:57,2.034,H
2017-11-08 13:15,1.592,L
2017-11-08 17:16,1.772,H
2017-11-09 01:18,-0.282,L
2017-11-09 09:56,2.044,H
2017-11-09 14:49,1.554,L
2017-11-09 18:03,1.623,H
2017-11-10 02:12,-0.110,L
2017-11-10 10:48,2.042,H
2017-11-10 17:08,1.403,L
2017-11-10 19:15,1.436,H
2017-11-11 03:08,0.101,L
2017-11-11 11:34,2.032,H
2017-11-11 18:18,1.174,L
2017-11-11 21:06,1.268,H
2017-11-12 04:05,0.333,L
2017-11-12 12:13,2.016,H
2017-11-12 19:01,0.921,L
2017-11-12 23:46,1.225,H
2017-11-13 05:04,0.565,L
2017-11-13 12:45,1.995,H
2017-11-13 19:38,0.671,L
2017-11-14 01:26,1.321,H
2017-11-14 06:03,0.780,L
2017-11-14 13:12,1.971,H
2017-11-14 20:11,0.443,L
2017-11-15 02:38,1.449,H
2017-11-15 06:59,0.970,L
2017-11-15 13:33,1.944,H
2017-11-15 20:41,0.249,L
2017-11-16 03:40,1.579,H
2017-11-16 07:50,1.133,L
2017-11-16 13:50,1.919,H
2017-11-16 21:09,0.095,L
2017-11-17 04:34,1.698,H
2017-11-17 08:37,1.271,L
2017-11-17 14:08,1.893,H
2017-11-17 21:37,-0.018,L
2017-11-18 05:23,1.795,H
2017-11-18 09:22,1.386,L
2017-11-18 14:29,1.863,H
2017-11-18 22:06,-0.091,L
2017-11-19 06:09,1.867,H
2017-11-19 10:08,1.477,L
2017-11-19 14:53,1.826,H
2017-11-19 22:37,-0.126,L
2017-11-20 06:55,1.914,H
2017-11-20 10:54,1.549,L
2017-11-20 15:17,1.781,H
2017-11-20 23:10,-0.125,L
2017-11-21 07:42,1.942,H
2017-11-21 11:42,1.600,L
2017-11-21 15:38,1.729,H
2017-11-21 23:44,-0.090,L
2017-11-22 08:31,1.957,H
2017-11-22 12:38,1.626,L
2017-11-22 15:40,1.670,H
2017-11-23 00:21,-0.025,L
2017-11-23 09:18,1.965,H
2017-11-24 01:01,0.067,L
2017-11-24 10:01,1.967,H
2017-11-25 01:43,0.183,L
2017-11-25 10:37,1.964,H
2017-11-26 02:29,0.322,L
2017-11-26 11:06,1.958,H
2017-11-27 03:17,0.482,L
2017-11-27 11:24,1.956,H
2017-11-27 18:54,1.006,L
2017-11-27 22:03,1.110,H
2017-11-28 04:09,0.664,L
2017-11-28 11:39,1.968,H
2017-11-28 18:53,0.760,L
2017-11-29 00:40,1.188,H
2017-11-29 05:06,0.858,L
2017-11-29 11:59,1.995,H
2017-11-29 19:16,0.476,L
2017-11-30 02:11,1.374,H
2017-11-30 06:07,1.053,L
2017-11-30 12:25,2.034,H
2017-11-30 19:49,0.179,L
