Date Time, Prediction, Type
2017-11-01 01:31,1.721,H
2017-11-01 07:01,0.748,L
2017-11-01 13:36,2.265,H
2017-11-01 19:58,0.466,L
2017-11-02 02:31,1.895,H
2017-11-02 07:47,0.873,L
2017-11-02 14:04,2.299,H
2017-11-02 20:30,0.161,L
2017-11-03 03:25,2.067,H
2017-11-03 08:32,1.022,L
2017-11-03 14:34,2.330,H
2017-11-03 21:06,-0.127,L
2017-11-04 04:18,2.220,H
2017-11-04 09:18,1.186,L
2017-11-04 15:06,2.345,H
2017-11-04 21:46,-0.362,L
2017-11-05 05:12,2.339,H
2017-11-05 10:05,1.352,L
2017-11-05 15:41,2.334,H
2017-11-05 22:29,-0.515,L
2017-11-06 06:07,2.416,H
2017-11-06 10:57,1.500,L
2017-11-06 16:19,2.284,H
2017-11-06 23:15,-0.567,L
2017-11-07 07:04,2.452,H
2017-11-07 11:55,1.613,L
2017-11-07 17:02,2.191,H
2017-11-08 00:04,-0.515,L
2017-11-08 08:03,2.458,H
2017-11-08 13:03,1.667,L
2017-11-08 17:52,2.051,H
2017-11-09 00:57,-0.370,L
2017-11-09 09:04,2.447,H
2017-11-09 14:31,1.633,L
2017-11-09 18:53,1.874,H
2017-11-10 01:55,-0.155,L
2017-11-10 10:05,2.434,H
2017-11-10 16:24,1.480,L
2017-11-10 20:10,1.690,H
2017-11-11 02:58,0.099,L
2017-11-11 11:01,2.424,H
2017-11-11 17:45,1.237,L
2017-11-11 21:44,1.555,H
2017-11-12 04:04,0.363,L
2017-11-12 11:51,2.413,H
2017-11-12 18:37,0.966,L
2017-11-12 23:36,1.543,H
2017-11-13 05:11,0.612,L
2017-11-13 12:32,2.395,H
2017-11-13 19:16,0.700,L
2017-11-14 01:13,1.664,H
2017-11-14 06:13,0.842,L
2017-11-14 13:07,2.366,H
2017-11-14 19:48,0.455,L
2017-11-15 02:24,1.839,H
2017-11-15 07:09,1.052,L
2017-11-15 13:37,2.328,H
2017-11-15 20:16,0.244,L
2017-11-16 03:22,2.008,H
2017-11-16 07:59,1.241,L
2017-11-16 14:02,2.284,H
2017-11-16 20:43,0.069,L
2017-11-17 04:11,2.150,H
2017-11-17 08:45,1.405,L
2017-11-17 14:25,2.239,H
2017-11-17 21:11,-0.067,L
2017-11-18 04:56,2.257,H
2017-11-18 09:30,1.541,L
2017-11-18 14:48,2.191,H
2017-11-18 21:41,-0.159,L
2017-11-19 05:37,2.332,H
2017-11-19 10:15,1.646,L
2017-11-19 15:13,2.137,H
2017-11-19 22:14,-0.206,L
2017-11-20 06:17,2.377,H
2017-11-20 11:03,1.720,L
2017-11-20 15:42,2.069,H
2017-11-20 22:48,-0.207,L
2017-11-21 06:55,2.397,H
2017-11-21 11:56,1.763,L
2017-11-21 16:13,1.983,H
2017-11-21 23:25,-0.164,L
2017-11-22 07:35,2.399,H
2017-11-22 13:01,1.769,L
2017-11-22 16:48,1.880,H
2017-11-23 00:05,-0.080,L
2017-11-23 08:15,2.388,H
2017-11-23 14:43,1.726,L
2017-11-23 17:28,1.760,H
2017-11-24 00:47,0.038,L
2017-11-24 08:56,2.371,H
2017-11-25 01:33,0.187,L
2017-11-25 09:38,2.353,H
2017-11-25 17:37,1.459,L
2017-11-25 19:32,1.496,H
2017-11-26 02:23,0.359,L
2017-11-26 10:17,2.340,H
2017-11-26 18:00,1.280,L
2017-11-26 20:58,1.399,H
2017-11-27 03:19,0.548,L
2017-11-27 10:54,2.335,H
2017-11-27 18:11,1.059,L
2017-11-27 22:35,1.385,H
2017-11-28 04:19,0.745,L
2017-11-28 11:29,2.341,H
2017-11-28 18:29,0.785,L
2017-11-29 00:15,1.492,H
2017-11-29 05:19,0.939,L
2017-11-29 12:02,2.359,H
2017-11-29 18:55,0.467,L
2017-11-30 01:38,1.695,H
2017-11-30 06:16,1.125,L
2017-11-30 12:34,2.388,H
2017-11-30 19:27,0.127,L
