Date Time, Prediction, Type
2018-11-01 03:54,0.002,L
2018-11-01 12:05,2.478,H
2018-11-01 18:24,1.618,L
2018-11-01 22:17,1.719,H
2018-11-02 05:02,0.212,L
2018-11-02 12:53,2.497,H
2018-11-02 19:11,1.299,L
2018-11-03 00:00,1.706,H
2018-11-03 06:07,0.430,L
2018-11-03 13:32,2.512,H
2018-11-03 19:50,0.948,L
2018-11-04 01:34,1.812,H
2018-11-04 07:07,0.659,L
2018-11-04 14:07,2.517,H
2018-11-04 20:25,0.593,L
2018-11-05 02:50,1.981,H
2018-11-05 08:02,0.902,L
2018-11-05 14:37,2.509,H
2018-11-05 21:00,0.265,L
2018-11-06 03:54,2.156,H
2018-11-06 08:52,1.153,L
2018-11-06 15:05,2.487,H
2018-11-06 21:35,-0.007,L
2018-11-07 04:50,2.306,H
2018-11-07 09:40,1.397,L
2018-11-07 15:33,2.445,H
2018-11-07 22:10,-0.205,L
2018-11-08 05:42,2.422,H
2018-11-08 10:28,1.621,L
2018-11-08 16:00,2.383,H
2018-11-08 22:46,-0.316,L
2018-11-09 06:32,2.498,H
2018-11-09 11:17,1.807,L
2018-11-09 16:27,2.298,H
2018-11-09 23:23,-0.343,L
2018-11-10 07:21,2.537,H
2018-11-10 12:12,1.946,L
2018-11-10 16:57,2.193,H
2018-11-11 00:02,-0.292,L
2018-11-11 08:11,2.543,H
2018-11-11 13:17,2.027,L
2018-11-11 17:29,2.068,H
2018-11-12 00:43,-0.175,L
2018-11-12 09:02,2.525,H
2018-11-12 14:52,2.032,L
2018-11-12 18:05,1.930,H
2018-11-13 01:27,-0.010,L
2018-11-13 09:54,2.494,H
2018-11-13 17:12,1.924,L
2018-11-13 18:51,1.779,H
2018-11-14 02:15,0.186,L
2018-11-14 10:45,2.461,H
2018-11-14 18:20,1.754,L
2018-11-14 19:55,1.628,H
2018-11-15 03:08,0.395,L
2018-11-15 11:31,2.432,H
2018-11-15 19:00,1.562,L
2018-11-15 21:18,1.504,H
2018-11-16 04:07,0.601,L
2018-11-16 12:08,2.409,H
2018-11-16 19:27,1.353,L
2018-11-16 22:54,1.452,H
2018-11-17 05:07,0.794,L
2018-11-17 12:38,2.396,H
2018-11-17 19:46,1.122,L
2018-11-18 00:37,1.512,H
2018-11-18 06:05,0.974,L
2018-11-18 13:04,2.394,H
2018-11-18 20:01,0.861,L
2018-11-19 02:01,1.667,H
2018-11-19 06:58,1.151,L
2018-11-19 13:29,2.405,H
2018-11-19 20:19,0.565,L
2018-11-20 03:02,1.865,H
2018-11-20 07:46,1.326,L
2018-11-20 13:55,2.424,H
2018-11-20 20:43,0.247,L
2018-11-21 03:52,2.069,H
2018-11-21 08:32,1.502,L
2018-11-21 14:22,2.444,H
2018-11-21 21:13,-0.070,L
2018-11-22 04:39,2.261,H
2018-11-22 09:16,1.673,L
2018-11-22 14:51,2.459,H
2018-11-22 21:46,-0.356,L
2018-11-23 05:25,2.424,H
2018-11-23 10:01,1.830,L
2018-11-23 15:21,2.459,H
2018-11-23 22:24,-0.577,L
2018-11-24 06:13,2.548,H
2018-11-24 10:49,1.961,L
2018-11-24 15:54,2.434,H
2018-11-24 23:05,-0.708,L
2018-11-25 07:01,2.627,H
2018-11-25 11:40,2.055,L
2018-11-25 16:31,2.373,H
2018-11-25 23:50,-0.731,L
2018-11-26 07:52,2.666,H
2018-11-26 12:39,2.094,L
2018-11-26 17:15,2.266,H
2018-11-27 00:38,-0.644,L
2018-11-27 08:44,2.674,H
2018-11-27 13:50,2.059,L
2018-11-27 18:09,2.109,H
2018-11-28 01:30,-0.451,L
2018-11-28 09:37,2.664,H
2018-11-28 15:19,1.921,L
2018-11-28 19:18,1.910,H
2018-11-29 02:25,-0.172,L
2018-11-29 10:28,2.649,H
2018-11-29 17:02,1.656,L
2018-11-29 20:44,1.707,H
2018-11-30 03:25,0.167,L
2018-11-30 11:16,2.634,H
2018-11-30 18:10,1.308,L
2018-11-30 22:27,1.572,H
