Date Time, Prediction, Type
2018-10-01 02:20,-0.074,L
2018-10-01 10:15,2.134,H
2018-10-01 15:00,1.855,L
2018-10-01 20:02,2.076,H
2018-10-02 03:20,-0.083,L
2018-10-02 11:40,2.185,H
2018-10-02 16:26,1.918,L
2018-10-02 21:00,1.997,H
2018-10-03 04:25,-0.064,L
2018-10-03 12:50,2.265,H
2018-10-03 17:54,1.839,L
2018-10-03 22:17,1.932,H
2018-10-04 05:33,-0.036,L
2018-10-04 13:42,2.338,H
2018-10-04 19:00,1.646,L
2018-10-04 23:43,1.916,H
2018-10-05 06:37,0.009,L
2018-10-05 14:22,2.393,H
2018-10-05 19:49,1.380,L
2018-10-06 01:07,1.968,H
2018-10-06 07:35,0.092,L
2018-10-06 14:57,2.427,H
2018-10-06 20:32,1.071,L
2018-10-07 02:21,2.060,H
2018-10-07 08:27,0.232,L
2018-10-07 15:29,2.444,H
2018-10-07 21:12,0.752,L
2018-10-08 03:26,2.157,H
2018-10-08 09:14,0.431,L
2018-10-08 15:58,2.444,H
2018-10-08 21:52,0.454,L
2018-10-09 04:26,2.234,H
2018-10-09 10:00,0.682,L
2018-10-09 16:27,2.426,H
2018-10-09 22:32,0.205,L
2018-10-10 05:23,2.286,H
2018-10-10 10:45,0.964,L
2018-10-10 16:56,2.385,H
2018-10-10 23:12,0.029,L
2018-10-11 06:20,2.314,H
2018-10-11 11:32,1.248,L
2018-10-11 17:25,2.317,H
2018-10-11 23:53,-0.064,L
2018-10-12 07:18,2.321,H
2018-10-12 12:23,1.513,L
2018-10-12 17:55,2.224,H
2018-10-13 00:36,-0.074,L
2018-10-13 08:19,2.314,H
2018-10-13 13:21,1.730,L
2018-10-13 18:27,2.108,H
2018-10-14 01:20,-0.010,L
2018-10-14 09:26,2.303,H
2018-10-14 14:37,1.874,L
2018-10-14 19:03,1.977,H
2018-10-15 02:09,0.108,L
2018-10-15 10:39,2.298,H
2018-10-15 16:41,1.900,L
2018-10-15 19:45,1.840,H
2018-10-16 03:03,0.254,L
2018-10-16 11:49,2.308,H
2018-10-16 18:26,1.800,L
2018-10-16 20:43,1.712,H
2018-10-17 04:04,0.397,L
2018-10-17 12:46,2.319,H
2018-10-17 19:23,1.654,L
2018-10-17 21:59,1.617,H
2018-10-18 05:08,0.511,L
2018-10-18 13:29,2.322,H
2018-10-18 19:58,1.494,L
2018-10-18 23:28,1.592,H
2018-10-19 06:10,0.595,L
2018-10-19 14:01,2.314,H
2018-10-19 20:22,1.322,L
2018-10-20 00:52,1.649,H
2018-10-20 07:03,0.665,L
2018-10-20 14:24,2.304,H
2018-10-20 20:39,1.128,L
2018-10-21 01:59,1.757,H
2018-10-21 07:49,0.744,L
2018-10-21 14:43,2.303,H
2018-10-21 20:55,0.903,L
2018-10-22 02:54,1.884,H
2018-10-22 08:30,0.848,L
2018-10-22 15:02,2.314,H
2018-10-22 21:17,0.648,L
2018-10-23 03:43,2.014,H
2018-10-23 09:09,0.982,L
2018-10-23 15:24,2.331,H
2018-10-23 21:43,0.375,L
2018-10-24 04:30,2.140,H
2018-10-24 09:47,1.146,L
2018-10-24 15:49,2.343,H
2018-10-24 22:14,0.109,L
2018-10-25 05:17,2.251,H
2018-10-25 10:26,1.333,L
2018-10-25 16:16,2.342,H
2018-10-25 22:49,-0.125,L
2018-10-26 06:07,2.341,H
2018-10-26 11:09,1.531,L
2018-10-26 16:45,2.322,H
2018-10-26 23:28,-0.304,L
2018-10-27 07:00,2.401,H
2018-10-27 11:55,1.720,L
2018-10-27 17:16,2.280,H
2018-10-28 00:11,-0.403,L
2018-10-28 07:56,2.434,H
2018-10-28 12:48,1.881,L
2018-10-28 17:50,2.212,H
2018-10-29 00:58,-0.413,L
2018-10-29 08:58,2.444,H
2018-10-29 13:52,1.985,L
2018-10-29 18:31,2.114,H
2018-10-30 01:51,-0.337,L
2018-10-30 10:03,2.448,H
2018-10-30 15:15,1.996,L
2018-10-30 19:26,1.981,H
2018-10-31 02:50,-0.190,L
2018-10-31 11:08,2.458,H
2018-10-31 17:01,1.870,L
2018-10-31 20:43,1.832,H
